GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
N00000001,591,97,494,71,12,59,220,15,205,277,52,225,23,18,5,411,16,395,44,1,43,185,5,180,176,7,169,6,3,3,180,81,99,27,11,16,35,10,25,101,45,56,17,15,2
N00000002,170,45,125,50,9,41,44,6,38,63,25,38,13,5,8,92,15,77,26,2,24,31,2,29,27,9,18,8,2,6,78,30,48,24,7,17,13,4,9,36,16,20,5,3,2
N00000003,115,31,84,40,6,34,25,4,21,40,14,26,10,7,3,59,7,52,22,2,20,18,2,16,15,1,14,4,2,2,56,24,32,18,4,14,7,2,5,25,13,12,6,5,1
N00000004,310,95,215,60,9,51,90,15,75,125,55,70,35,16,19,177,29,148,32,2,30,72,8,64,48,11,37,25,8,17,133,66,67,28,7,21,18,7,11,77,44,33,10,8,2
N00000005,210,48,162,53,8,45,81,13,68,59,19,40,17,8,9,116,13,103,33,2,31,54,5,49,19,4,15,10,2,8,94,35,59,20,6,14,27,8,19,40,15,25,7,6,1
N00000006,134,41,93,30,4,26,48,11,37,50,24,26,6,2,4,71,10,61,14,0,14,35,4,31,19,5,14,3,1,2,63,31,32,16,4,12,13,7,6,31,19,12,3,1,2
N00000007,130,28,102,34,5,29,39,5,34,47,14,33,10,4,6,73,8,65,17,1,16,31,2,29,18,3,15,7,2,5,57,20,37,17,4,13,8,3,5,29,11,18,3,2,1
N00000008,162,30,132,49,8,41,49,8,41,54,12,42,10,2,8,91,11,80,24,3,21,37,4,33,24,4,20,6,0,6,71,19,52,25,5,20,12,4,8,30,8,22,4,2,2
N00000009,408,97,311,138,21,117,102,15,87,132,48,84,36,13,23,211,20,191,69,4,65,71,5,66,50,7,43,21,4,17,197,77,120,69,17,52,31,10,21,82,41,41,15,9,6
N00000010,113,31,82,22,5,17,36,2,34,41,18,23,14,6,8,62,8,54,10,0,10,31,1,30,14,4,10,7,3,4,51,23,28,12,5,7,5,1,4,27,14,13,7,3,4
N00000011,130,40,90,15,2,13,34,5,29,53,20,33,28,13,15,65,8,57,7,0,7,24,1,23,15,1,14,19,6,13,65,32,33,8,2,6,10,4,6,38,19,19,9,7,2
N00000012,132,43,89,8,2,6,26,4,22,66,24,42,32,13,19,68,3,65,4,0,4,19,0,19,28,2,26,17,1,16,64,40,24,4,2,2,7,4,3,38,22,16,15,12,3
N00000013,116,25,91,19,1,18,26,2,24,54,17,37,17,5,12,62,3,59,11,0,11,22,0,22,20,2,18,9,1,8,54,22,32,8,1,7,4,2,2,34,15,19,8,4,4
N00000014,265,71,194,35,7,28,63,8,55,130,47,83,37,9,28,132,15,117,15,2,13,44,1,43,53,9,44,20,3,17,133,56,77,20,5,15,19,7,12,77,38,39,17,6,11
N00000015,85,30,55,6,1,5,19,2,17,34,15,19,26,12,14,45,10,35,1,0,1,15,2,13,16,5,11,13,3,10,40,20,20,5,1,4,4,0,4,18,10,8,13,9,4
N00000016,98,20,78,15,1,14,30,1,29,38,10,28,15,8,7,53,3,50,8,0,8,23,0,23,17,2,15,5,1,4,45,17,28,7,1,6,7,1,6,21,8,13,10,7,3
N00000017,150,50,100,18,2,16,33,2,31,70,28,42,29,18,11,74,12,62,5,0,5,26,1,25,29,5,24,14,6,8,76,38,38,13,2,11,7,1,6,41,23,18,15,12,3
N00000018,109,24,85,19,0,19,21,3,18,52,12,40,17,9,8,59,9,50,7,0,7,16,2,14,24,3,21,12,4,8,50,15,35,12,0,12,5,1,4,28,9,19,5,5,0
N00000019,116,34,82,12,3,9,21,2,19,49,12,37,34,17,17,70,15,55,7,0,7,19,2,17,23,4,19,21,9,12,46,19,27,5,3,2,2,0,2,26,8,18,13,8,5
N00000020,88,28,60,4,1,3,16,1,15,43,12,31,25,14,11,32,4,28,0,0,0,11,0,11,11,2,9,10,2,8,56,24,32,4,1,3,5,1,4,32,10,22,15,12,3
N00000021,114,27,87,15,2,13,35,2,33,42,18,24,22,5,17,58,3,55,6,0,6,23,0,23,13,2,11,16,1,15,56,24,32,9,2,7,12,2,10,29,16,13,6,4,2
N00000022,110,35,75,11,3,8,19,2,17,62,24,38,18,6,12,53,8,45,3,1,2,17,1,16,23,5,18,10,1,9,57,27,30,8,2,6,2,1,1,39,19,20,8,5,3
N00000023,88,32,56,9,1,8,25,5,20,39,14,25,15,12,3,45,8,37,4,0,4,19,2,17,18,3,15,4,3,1,43,24,19,5,1,4,6,3,3,21,11,10,11,9,2
N00000024,281,86,195,77,20,57,102,17,85,86,42,44,16,7,9,149,21,128,32,2,30,77,10,67,34,8,26,6,1,5,132,65,67,45,18,27,25,7,18,52,34,18,10,6,4
N00000025,241,67,174,53,8,45,73,13,60,96,39,57,19,7,12,139,24,115,28,2,26,58,5,53,44,13,31,9,4,5,102,43,59,25,6,19,15,8,7,52,26,26,10,3,7
N00000026,260,74,186,63,17,46,91,11,80,85,35,50,21,11,10,129,13,116,28,1,27,61,3,58,29,6,23,11,3,8,131,61,70,35,16,19,30,8,22,56,29,27,10,8,2
N00000027,257,72,185,50,6,44,85,12,73,104,43,61,18,11,7,146,24,122,26,0,26,66,9,57,45,11,34,9,4,5,111,48,63,24,6,18,19,3,16,59,32,27,9,7,2
N00000028,123,36,87,18,0,18,32,6,26,62,23,39,11,7,4,62,8,54,9,0,9,20,2,18,28,4,24,5,2,3,61,28,33,9,0,9,12,4,8,34,19,15,6,5,1
N00000029,218,70,148,57,10,47,74,17,57,71,34,37,16,9,7,125,17,108,33,1,32,57,4,53,27,7,20,8,5,3,93,53,40,24,9,15,17,13,4,44,27,17,8,4,4
N00000030,190,52,138,37,5,32,74,15,59,67,29,38,12,3,9,98,9,89,13,0,13,55,6,49,22,3,19,8,0,8,92,43,49,24,5,19,19,9,10,45,26,19,4,3,1
N00000031,338,82,256,92,12,80,109,10,99,118,50,68,19,10,9,182,18,164,44,2,42,85,3,82,40,9,31,13,4,9,156,64,92,48,10,38,24,7,17,78,41,37,6,6,0
