GeographyCode,LC2103NI0001,LC2103NI0002,LC2103NI0003,LC2103NI0004,LC2103NI0005,LC2103NI0006,LC2103NI0007,LC2103NI0008,LC2103NI0009,LC2103NI0010,LC2103NI0011,LC2103NI0012,LC2103NI0013,LC2103NI0014,LC2103NI0015,LC2103NI0016
95AA01S1,1113,269,699,145,522,161,318,43,370,48,252,70,221,60,129,32
95AA01S2,1829,1666,109,54,631,600,18,13,178,147,12,19,1020,919,79,22
95AA01S3,1502,1320,98,84,455,425,14,16,245,191,20,34,802,704,64,34
95AA02W1,1734,1505,137,92,438,400,16,22,228,174,17,37,1068,931,104,33
95AA03W1,1822,1632,111,79,595,553,25,17,238,205,7,26,989,874,79,36
95AA04W1,3013,2791,168,54,1020,975,30,15,282,259,15,8,1711,1557,123,31
95AA05W1,2701,2477,137,87,944,892,32,20,320,287,11,22,1437,1298,94,45
95AA06S1,1953,1792,116,45,760,722,21,17,245,220,17,8,948,850,78,20
95AA06S2,2694,2504,139,51,1146,1095,41,10,313,278,16,19,1235,1131,82,22
95AA07W1,2140,1956,114,70,643,602,23,18,236,208,11,17,1261,1146,80,35
95AA08W1,1698,1465,134,99,555,503,26,26,248,201,18,29,895,761,90,44
95AA09W1,2220,1898,164,158,701,642,25,34,306,227,23,56,1213,1029,116,68
95AA10W1,1953,1721,145,87,655,617,18,20,220,176,15,29,1078,928,112,38
95AA11S1,2800,2344,194,262,814,714,31,69,461,316,27,118,1525,1314,136,75
95AA11S2,2564,2094,263,207,936,791,84,61,419,307,43,69,1209,996,136,77
95AA12W1,2775,2582,157,36,930,892,31,7,191,183,4,4,1654,1507,122,25
95AA13S1,1745,1512,121,112,623,568,15,40,225,176,15,34,897,768,91,38
95AA13S2,1562,1383,87,92,539,493,16,30,215,185,6,24,808,705,65,38
95AA14W1,2349,2185,130,34,771,731,35,5,210,192,9,9,1368,1262,86,20
95AA15S1,2641,2096,184,361,914,784,34,96,586,408,35,143,1141,904,115,122
95AA15S2,1545,1232,116,197,595,528,23,44,283,190,17,76,667,514,76,77
95AA16W1,1807,1490,144,173,564,483,32,49,310,220,18,72,933,787,94,52
95AA17W1,2142,1857,165,120,739,684,22,33,321,249,29,43,1082,924,114,44
95AA18W1,2439,2201,146,92,584,552,18,14,219,183,12,24,1636,1466,116,54
95AA19W1,2687,2551,84,52,1061,1022,21,18,362,340,6,16,1264,1189,57,18
95BB01S1,1574,1481,67,26,525,510,10,5,159,148,4,7,890,823,53,14
95BB01S2,2035,1903,97,35,701,666,24,11,200,192,4,4,1134,1045,69,20
95BB02W1,2347,2122,147,78,574,526,29,19,290,249,14,27,1483,1347,104,32
95BB03S1,2026,1815,165,46,602,568,29,5,295,255,23,17,1129,992,113,24
95BB03S2,2193,1969,187,37,609,579,21,9,193,170,16,7,1391,1220,150,21
95BB04S1,1438,1306,88,44,332,311,9,12,149,132,4,13,957,863,75,19
95BB04S2,1610,1471,106,33,382,368,10,4,141,123,9,9,1087,980,87,20
95BB05S1,1490,1360,103,27,422,411,5,6,152,137,7,8,916,812,91,13
95BB05S2,1911,1743,120,48,546,525,17,4,231,205,17,9,1134,1013,86,35
95BB06W1,2870,2564,153,153,760,683,35,42,442,360,32,50,1668,1521,86,61
95BB07S1,1658,1472,102,84,436,400,12,24,253,205,20,28,969,867,70,32
95BB07S2,1295,1209,68,18,379,364,12,3,141,128,5,8,775,717,51,7
95BB08S1,1331,1236,58,37,394,374,11,9,166,146,10,10,771,716,37,18
95BB08S2,1294,1182,73,39,392,372,12,8,204,178,9,17,698,632,52,14
95BB09S1,1325,1191,84,50,302,284,8,10,139,121,4,14,884,786,72,26
95BB09S2,1618,1489,84,45,434,417,8,9,198,172,14,12,986,900,62,24
95BB10S1,1690,1425,173,92,364,315,22,27,177,144,18,15,1149,966,133,50
95BB10S2,1637,1473,143,21,430,404,24,2,122,111,6,5,1085,958,113,14
95BB11S1,1408,1289,94,25,439,423,14,2,146,134,6,6,823,732,74,17
95BB11S2,1547,1375,129,43,351,335,7,9,104,89,7,8,1092,951,115,26
95BB12S1,1440,1300,73,67,503,470,17,16,227,191,10,26,710,639,46,25
95BB12S2,1336,1206,99,31,421,401,17,3,111,102,6,3,804,703,76,25
95BB13S1,1392,1262,98,32,529,504,17,8,123,98,15,10,740,660,66,14
95BB13S2,1472,1369,57,46,419,400,5,14,160,141,7,12,893,828,45,20
95BB13S3,1580,1444,97,39,543,521,14,8,203,177,12,14,834,746,71,17
95BB14S1,1510,1377,93,40,444,425,10,9,136,127,2,7,930,825,81,24
95BB14S2,1606,1379,161,66,465,411,37,17,148,116,10,22,993,852,114,27
95BB15S1,2005,1864,101,40,658,639,9,10,229,205,9,15,1118,1020,83,15
95BB15S2,1484,1364,77,43,522,492,13,17,174,157,9,8,788,715,55,18
95BB16S1,1533,1429,87,17,429,407,18,4,114,108,5,1,990,914,64,12
95BB16S2,1603,1477,91,35,443,419,10,14,134,123,5,6,1026,935,76,15
95BB17S1,1793,1645,106,42,623,597,13,13,257,229,20,8,913,819,73,21
95BB17S2,1763,1589,132,42,585,545,28,12,214,190,13,11,964,854,91,19
95BB18S1,1688,1543,109,36,502,468,23,11,284,264,11,9,902,811,75,16
95BB18S2,2591,2347,193,51,840,793,28,19,261,238,15,8,1490,1316,150,24
95BB19S1,1613,1492,67,54,443,418,7,18,218,200,4,14,952,874,56,22
95BB19S2,1784,1659,79,46,655,634,10,11,190,170,11,9,939,855,58,26
95BB19S3,1391,1276,83,32,507,491,11,5,119,99,11,9,765,686,61,18
95BB20S1,1889,1750,103,36,607,579,21,7,230,214,6,10,1052,957,76,19
95BB20S2,1524,1382,117,25,479,452,25,2,186,178,4,4,859,752,88,19
95BB21S1,2387,2203,118,66,768,736,17,15,297,268,11,18,1322,1199,90,33
95BB21S2,2332,2098,190,44,734,697,29,8,263,242,18,3,1335,1159,143,33
95BB22S1,1557,1421,96,40,558,530,16,12,232,212,13,7,767,679,67,21
95BB22S2,1483,1338,97,48,578,543,25,10,196,175,5,16,709,620,67,22
95BB23S1,1540,1391,82,67,390,357,10,23,136,122,7,7,1014,912,65,37
95BB23S2,1485,1368,79,38,447,428,10,9,148,136,4,8,890,804,65,21
95CC01W1,2558,2160,187,211,849,749,31,69,334,242,30,62,1375,1169,126,80
95CC02W1,2725,2534,148,43,963,915,33,15,336,313,9,14,1426,1306,106,14
95CC03W1,2817,2192,209,416,1042,869,39,134,505,319,29,157,1270,1004,141,125
95CC04W1,2440,2191,190,59,908,865,25,18,313,274,17,22,1219,1052,148,19
95CC05W1,2774,2505,129,140,1011,944,26,41,350,278,13,59,1413,1283,90,40
95CC06S1,1468,1246,131,91,451,402,21,28,217,170,15,32,800,674,95,31
95CC06S2,1308,1127,105,76,431,391,21,19,165,120,11,34,712,616,73,23
95CC07W1,3475,3010,379,86,1378,1259,81,38,473,395,57,21,1624,1356,241,27
95CC08W1,2565,2235,168,162,917,836,31,50,371,280,24,67,1277,1119,113,45
95CC09S1,1496,1413,63,20,525,505,9,11,164,159,4,1,807,749,50,8
95CC09S2,1858,1693,86,79,612,581,15,16,298,267,12,19,948,845,59,44
95CC10W1,2577,2367,124,86,761,720,16,25,289,253,7,29,1527,1394,101,32
95CC11W1,1795,1473,190,132,530,465,17,48,277,220,17,40,988,788,156,44
95CC12W1,2785,2627,114,44,1040,1013,17,10,314,289,5,20,1431,1325,92,14
95CC13W1,2474,2225,196,53,872,833,23,16,337,300,27,10,1265,1092,146,27
95CC14W1,3035,2788,174,73,1033,984,23,26,397,365,12,20,1605,1439,139,27
95CC15W1,2903,2674,119,110,1039,968,28,43,348,315,10,23,1516,1391,81,44
95CC16W1,2820,2571,149,100,1003,954,26,23,362,303,21,38,1455,1314,102,39
95CC17W1,2730,2478,176,76,1009,952,25,32,376,340,22,14,1345,1186,129,30
95CC18W1,2342,1890,224,228,697,592,44,61,295,198,17,80,1350,1100,163,87
95CC19W1,2720,2509,144,67,950,906,31,13,324,281,20,23,1446,1322,93,31
95CC20S1,1308,1170,92,46,462,442,11,9,142,118,7,17,704,610,74,20
95CC20S2,1702,1484,97,121,539,485,14,40,244,205,9,30,919,794,74,51
