GeographyCode,LC2116NI0001,LC2116NI0002,LC2116NI0003,LC2116NI0004,LC2116NI0005,LC2116NI0006,LC2116NI0007,LC2116NI0008,LC2116NI0009
95AA01S1,1003,47,956,553,33,520,450,14,436
95AA01S2,1764,119,1645,885,61,824,879,58,821
95AA01S3,1435,155,1280,708,81,627,727,74,653
95AA02W1,1683,183,1500,830,108,722,853,75,778
95AA03W1,1736,206,1530,807,112,695,929,94,835
95AA04W1,2922,295,2627,1517,154,1363,1405,141,1264
95AA05W1,2586,230,2356,1290,119,1171,1296,111,1185
95AA06S1,1860,77,1783,901,37,864,959,40,919
95AA06S2,2561,79,2482,1203,40,1163,1358,39,1319
95AA07W1,2070,373,1697,1030,199,831,1040,174,866
95AA08W1,1616,132,1484,776,64,712,840,68,772
95AA09W1,2105,225,1880,991,118,873,1114,107,1007
95AA10W1,1884,160,1724,913,85,828,971,75,896
95AA11S1,2685,197,2488,1289,119,1170,1396,78,1318
95AA11S2,2424,187,2237,1258,109,1149,1166,78,1088
95AA12W1,2690,515,2175,1357,270,1087,1333,245,1088
95AA13S1,1660,114,1546,816,59,757,844,55,789
95AA13S2,1487,107,1380,717,54,663,770,53,717
95AA14W1,2275,435,1840,1119,224,895,1156,211,945
95AA15S1,2474,162,2312,1206,85,1121,1268,77,1191
95AA15S2,1432,80,1352,706,45,661,726,35,691
95AA16W1,1722,189,1533,838,101,737,884,88,796
95AA17W1,2044,152,1892,998,71,927,1046,81,965
95AA18W1,2369,334,2035,1143,169,974,1226,165,1061
95AA19W1,2555,133,2422,1249,61,1188,1306,72,1234
95BB01S1,1521,174,1347,742,89,653,779,85,694
95BB01S2,1964,163,1801,984,89,895,980,74,906
95BB02W1,2280,308,1972,1105,172,933,1175,136,1039
95BB03S1,1942,395,1547,946,197,749,996,198,798
95BB03S2,2116,477,1639,1045,250,795,1071,227,844
95BB04S1,1396,174,1222,682,93,589,714,81,633
95BB04S2,1563,222,1341,770,114,656,793,108,685
95BB05S1,1454,302,1152,719,149,570,735,153,582
95BB05S2,1847,380,1467,916,204,712,931,176,755
95BB06W1,2778,320,2458,1328,160,1168,1450,160,1290
95BB07S1,1592,167,1425,719,94,625,873,73,800
95BB07S2,1258,127,1131,619,74,545,639,53,586
95BB08S1,1275,95,1180,572,46,526,703,49,654
95BB08S2,1233,111,1122,591,62,529,642,49,593
95BB09S1,1282,164,1118,625,83,542,657,81,576
95BB09S2,1568,164,1404,775,87,688,793,77,716
95BB10S1,1651,239,1412,774,121,653,877,118,759
95BB10S2,1591,214,1377,790,117,673,801,97,704
95BB11S1,1356,176,1180,665,91,574,691,85,606
95BB11S2,1512,208,1304,718,109,609,794,99,695
95BB12S1,1370,170,1200,647,89,558,723,81,642
95BB12S2,1281,185,1096,615,96,519,666,89,577
95BB13S1,1350,139,1211,637,60,577,713,79,634
95BB13S2,1413,213,1200,681,107,574,732,106,626
95BB13S3,1508,183,1325,748,106,642,760,77,683
95BB14S1,1479,195,1284,743,101,642,736,94,642
95BB14S2,1557,222,1335,757,115,642,800,107,693
95BB15S1,1924,235,1689,960,130,830,964,105,859
95BB15S2,1434,168,1266,711,87,624,723,81,642
95BB16S1,1497,202,1295,775,115,660,722,87,635
95BB16S2,1555,212,1343,767,107,660,788,105,683
95BB17S1,1707,121,1586,803,64,739,904,57,847
95BB17S2,1699,247,1452,817,121,696,882,126,756
95BB18S1,1619,204,1415,772,109,663,847,95,752
95BB18S2,2475,285,2190,1181,159,1022,1294,126,1168
95BB19S1,1548,183,1365,738,98,640,810,85,725
95BB19S2,1711,123,1588,866,68,798,845,55,790
95BB19S3,1344,113,1231,668,65,603,676,48,628
95BB20S1,1820,138,1682,914,74,840,906,64,842
95BB20S2,1477,110,1367,765,64,701,712,46,666
95BB21S1,2280,724,1556,1143,369,774,1137,355,782
95BB21S2,2234,416,1818,1080,222,858,1154,194,960
95BB22S1,1498,125,1373,718,65,653,780,60,720
95BB22S2,1413,125,1288,641,55,586,772,70,702
95BB23S1,1499,206,1293,724,106,618,775,100,675
95BB23S2,1442,167,1275,709,87,622,733,80,653
95CC01W1,2462,63,2399,1193,31,1162,1269,32,1237
95CC02W1,2613,131,2482,1365,73,1292,1248,58,1190
95CC03W1,2649,49,2600,1252,30,1222,1397,19,1378
95CC04W1,2348,99,2249,1212,56,1156,1136,43,1093
95CC05W1,2655,89,2566,1333,45,1288,1322,44,1278
95CC06S1,1397,86,1311,658,41,617,739,45,694
95CC06S2,1251,69,1182,574,36,538,677,33,644
95CC07W1,3309,102,3207,1678,61,1617,1631,41,1590
95CC08W1,2446,43,2403,1144,21,1123,1302,22,1280
95CC09S1,1439,141,1298,721,79,642,718,62,656
95CC09S2,1781,166,1615,874,90,784,907,76,831
95CC10W1,2505,226,2279,1290,135,1155,1215,91,1124
95CC11W1,1732,46,1686,843,27,816,889,19,870
95CC12W1,2650,179,2471,1356,102,1254,1294,77,1217
95CC13W1,2365,126,2239,1232,72,1160,1133,54,1079
95CC14W1,2892,228,2664,1447,128,1319,1445,100,1345
95CC15W1,2781,170,2611,1399,87,1312,1382,83,1299
95CC16W1,2715,222,2493,1310,116,1194,1405,106,1299
95CC17W1,2609,104,2505,1360,58,1302,1249,46,1203
95CC18W1,2270,134,2136,1070,67,1003,1200,67,1133
95CC19W1,2599,173,2426,1310,96,1214,1289,77,1212
95CC20S1,1239,106,1133,601,53,548,638,53,585
