GeographyCode,LC2118NI0001,LC2118NI0002,LC2118NI0003,LC2118NI0004,LC2118NI0005,LC2118NI0006,LC2118NI0007,LC2118NI0008,LC2118NI0009,LC2118NI0010,LC2118NI0011,LC2118NI0012,LC2118NI0013,LC2118NI0014,LC2118NI0015,LC2118NI0016,LC2118NI0017,LC2118NI0018,LC2118NI0019,LC2118NI0020,LC2118NI0021,LC2118NI0022,LC2118NI0023,LC2118NI0024,LC2118NI0025,LC2118NI0026,LC2118NI0027,LC2118NI0028
95AA01S1,310,54,161,95,21,3,13,5,278,49,143,86,262,46,136,80,6,0,3,3,10,3,4,3,11,2,5,4
95AA01S2,624,302,299,23,120,50,67,3,465,229,219,17,345,180,152,13,47,26,20,1,73,23,47,3,39,23,13,3
95AA01S3,588,120,423,45,155,29,111,15,392,83,285,24,268,55,194,19,62,11,48,3,62,17,43,2,41,8,27,6
95AA02W1,839,259,546,34,346,107,229,10,450,140,288,22,236,72,149,15,102,38,63,1,112,30,76,6,43,12,29,2
95AA03W1,845,87,699,59,323,21,277,25,479,59,389,31,209,29,164,16,158,11,139,8,112,19,86,7,43,7,33,3
95AA04W1,1014,274,697,43,171,47,115,9,752,199,520,33,557,144,387,26,71,26,44,1,124,29,89,6,91,28,62,1
95AA05W1,920,532,357,31,192,105,85,2,675,394,256,25,468,282,171,15,94,65,26,3,113,47,59,7,53,33,16,4
95AA06S1,710,536,153,21,187,126,57,4,484,381,89,14,296,235,53,8,100,82,18,0,88,64,18,6,39,29,7,3
95AA06S2,860,645,198,17,169,98,67,4,637,503,121,13,436,354,74,8,129,102,23,4,72,47,24,1,54,44,10,0
95AA07W1,820,121,673,26,201,35,163,3,569,75,471,23,356,41,302,13,93,21,68,4,120,13,101,6,50,11,39,0
95AA08W1,699,305,336,58,215,91,110,14,436,190,207,39,189,77,91,21,148,74,63,11,99,39,53,7,48,24,19,5
95AA09W1,943,200,657,86,307,61,223,23,581,117,407,57,279,50,199,30,176,40,122,14,126,27,86,13,55,22,27,6
95AA10W1,792,335,406,51,199,86,100,13,542,220,287,35,276,98,155,23,150,88,56,6,116,34,76,6,51,29,19,3
95AA11S1,1123,401,622,100,330,121,188,21,707,238,406,63,424,140,250,34,116,44,63,9,167,54,93,20,86,42,28,16
95AA11S2,870,376,440,54,157,64,85,8,652,289,322,41,472,209,236,27,73,35,30,8,107,45,56,6,61,23,33,5
95AA12W1,971,62,873,36,180,16,160,4,733,43,660,30,568,30,514,24,59,8,50,1,106,5,96,5,58,3,53,2
95AA13S1,625,426,176,23,151,97,49,5,436,305,116,15,269,189,73,7,94,68,23,3,73,48,20,5,38,24,11,3
95AA13S2,614,382,211,21,175,80,87,8,400,275,114,11,234,173,53,8,80,53,26,1,86,49,35,2,39,27,10,2
95AA14W1,779,254,503,22,130,32,96,2,596,204,373,19,454,160,282,12,65,27,35,3,77,17,56,4,53,18,34,1
