GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
95AA01S1,982,58,924,945,50,895,37,8,29,940,53,887,18,4,14,922,49,873,42,5,37,19,4,15,23,1,22
95AA01S2,1814,85,1729,1560,55,1505,254,30,224,1563,58,1505,78,9,69,1485,49,1436,251,27,224,176,21,155,75,6,69
95AA01S3,1494,68,1426,1296,50,1246,198,18,180,1282,48,1234,57,1,56,1225,47,1178,212,20,192,141,17,124,71,3,68
95AA02W1,1734,446,1288,1269,249,1020,465,197,268,1241,246,995,82,25,57,1159,221,938,493,200,293,383,172,211,110,28,82
95AA03W1,1822,487,1335,1362,302,1060,460,185,275,1346,297,1049,98,36,62,1248,261,987,476,190,286,362,149,213,114,41,73
95AA04W1,3002,84,2918,2570,44,2526,432,40,392,2577,48,2529,126,6,120,2451,42,2409,425,36,389,306,34,272,119,2,117
95AA05W1,2654,141,2513,2209,71,2138,445,70,375,2237,73,2164,132,13,119,2105,60,2045,417,68,349,313,57,256,104,11,93
95AA06S1,1953,194,1759,1578,109,1469,375,85,290,1617,121,1496,101,23,78,1516,98,1418,336,73,263,274,62,212,62,11,51
95AA06S2,2651,234,2417,2248,156,2092,403,78,325,2243,157,2086,110,16,94,2133,141,1992,408,77,331,293,62,231,115,15,100
95AA07W1,2119,180,1939,1732,111,1621,387,69,318,1738,112,1626,97,10,87,1641,102,1539,381,68,313,290,59,231,91,9,82
95AA08W1,1676,443,1233,1244,295,949,432,148,284,1272,294,978,104,27,77,1168,267,901,404,149,255,328,121,207,76,28,48
95AA09W1,2143,679,1464,1706,472,1234,437,207,230,1633,445,1188,87,32,55,1546,413,1133,510,234,276,350,175,175,160,59,101
95AA10W1,1953,450,1503,1488,296,1192,465,154,311,1505,304,1201,113,34,79,1392,270,1122,448,146,302,352,120,232,96,26,70
95AA11S1,2698,380,2318,2237,242,1995,461,138,323,2239,223,2016,120,20,100,2119,203,1916,459,157,302,341,118,223,118,39,79
