GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
95AA01S1,982,589,332,57,4,93,19,39,32,3,26,18,8,0,0,863,552,285,25,1
95AA01S2,1814,183,521,868,242,1623,108,473,819,223,22,5,8,6,3,169,70,40,43,16
95AA01S3,1494,278,409,599,208,1232,176,343,529,184,8,0,6,2,0,254,102,60,68,24
95AA02W1,1734,301,398,612,423,1156,116,304,448,288,231,36,33,82,80,347,149,61,82,55
95AA03W1,1822,434,428,598,362,1132,146,304,429,253,419,152,70,110,87,271,136,54,59,22
95AA04W1,3002,265,695,1586,456,2791,201,634,1527,429,13,4,2,7,0,198,60,59,52,27
95AA05W1,2654,343,736,1183,392,2229,209,637,1051,332,132,46,22,42,22,293,88,77,90,38
95AA06S1,1953,340,615,728,270,1613,229,512,672,200,121,34,20,12,55,219,77,83,44,15
95AA06S2,2651,446,981,1010,214,2212,301,853,910,148,208,35,67,64,42,231,110,61,36,24
95AA07W1,2119,249,561,919,390,1680,129,455,768,328,146,31,47,43,25,293,89,59,108,37
95AA08W1,1676,354,393,641,288,1021,125,235,436,225,389,127,76,143,43,266,102,82,62,20
95AA09W1,2143,513,518,762,350,1248,143,271,584,250,557,198,149,135,75,338,172,98,43,25
95AA10W1,1953,363,449,791,350,1304,106,300,635,263,456,165,109,122,60,193,92,40,34,27
95AA11S1,2698,552,867,874,405,2026,292,701,733,300,149,30,14,52,53,523,230,152,89,52
95AA11S2,2431,490,929,773,239,2112,339,844,707,222,32,16,0,13,3,287,135,85,53,14
95AA12W1,2775,171,773,1423,408,2492,123,699,1328,342,71,8,14,24,25,212,40,60,71,41
95AA13S1,1707,305,414,752,236,1272,149,324,621,178,86,23,18,33,12,349,133,72,98,46
95AA13S2,1561,292,428,604,237,1181,147,353,522,159,98,8,12,23,55,282,137,63,59,23
95AA14W1,2302,179,533,1183,407,2110,130,487,1115,378,8,0,0,5,3,184,49,46,63,26
95AA15S1,2630,793,801,793,243,1932,502,621,625,184,165,38,29,52,46,533,253,151,116,13
95AA15S2,1472,450,468,457,97,741,170,241,264,66,425,148,123,136,18,306,132,104,57,13
95AA16W1,1807,498,395,578,336,1028,178,221,394,235,378,130,67,110,71,401,190,107,74,30
95AA17W1,2142,440,536,897,269,1567,196,392,762,217,326,125,75,96,30,249,119,69,39,22
95AA18W1,2373,223,452,1096,602,2044,121,350,1018,555,31,8,15,4,4,298,94,87,74,43
95AA19W1,2645,396,689,1159,401,2041,211,515,984,331,274,79,75,86,34,330,106,99,89,36
95BB01S1,1574,136,393,805,240,1430,91,368,760,211,46,14,1,19,12,98,31,24,26,17
95BB01S2,2035,242,556,978,259,1834,189,534,892,219,97,15,11,52,19,104,38,11,34,21
95BB02W1,2334,398,402,868,666,1375,170,225,574,406,590,120,81,207,182,369,108,96,87,78
95BB03S1,2026,437,527,630,432,1388,270,400,416,302,302,46,65,100,91,336,121,62,114,39
95BB03S2,2191,234,524,904,529,1765,144,400,770,451,147,18,37,50,42,279,72,87,84,36
