GeographyCode,LC4302NI0001,LC4302NI0002,LC4302NI0003,LC4302NI0004,LC4302NI0005,LC4302NI0006,LC4302NI0007,LC4302NI0008,LC4302NI0009,LC4302NI0010,LC4302NI0011,LC4302NI0012
95AA01S1,982,37,945,93,10,83,26,2,24,863,25,838
95AA01S2,1814,254,1560,1623,208,1415,22,13,9,169,33,136
95AA01S3,1494,198,1296,1232,167,1065,8,2,6,254,29,225
95AA02W1,1734,465,1269,1156,273,883,231,109,122,347,83,264
95AA03W1,1822,460,1362,1132,261,871,419,146,273,271,53,218
95AA04W1,3002,432,2570,2791,396,2395,13,2,11,198,34,164
95AA05W1,2654,445,2209,2229,335,1894,132,44,88,293,66,227
95AA06S1,1953,375,1578,1613,273,1340,121,61,60,219,41,178
95AA06S2,2651,403,2248,2212,297,1915,208,69,139,231,37,194
95AA07W1,2119,387,1732,1680,266,1414,146,48,98,293,73,220
95AA08W1,1676,432,1244,1021,261,760,389,110,279,266,61,205
95AA09W1,2143,437,1706,1248,232,1016,557,150,407,338,55,283
95AA10W1,1953,465,1488,1304,272,1032,456,149,307,193,44,149
95AA11S1,2698,461,2237,2026,299,1727,149,80,69,523,82,441
95AA11S2,2431,309,2122,2112,260,1852,32,13,19,287,36,251
95AA12W1,2775,371,2404,2492,304,2188,71,29,42,212,38,174
95AA13S1,1707,261,1446,1272,169,1103,86,33,53,349,59,290
95AA13S2,1561,294,1267,1181,186,995,98,56,42,282,52,230
95AA14W1,2302,348,1954,2110,312,1798,8,3,5,184,33,151
95AA15S1,2630,361,2269,1932,243,1689,165,69,96,533,49,484
95AA15S2,1472,222,1250,741,94,647,425,95,330,306,33,273
95AA16W1,1807,445,1362,1028,230,798,378,138,240,401,77,324
95AA17W1,2142,419,1723,1567,265,1302,326,110,216,249,44,205
95AA18W1,2373,398,1975,2044,341,1703,31,13,18,298,44,254
95AA19W1,2645,394,2251,2041,275,1766,274,72,202,330,47,283
95BB01S1,1574,248,1326,1430,213,1217,46,22,24,98,13,85
95BB01S2,2035,320,1715,1834,271,1563,97,24,73,104,25,79
95BB02W1,2334,699,1635,1375,326,1049,590,254,336,369,119,250
95BB03S1,2026,526,1500,1388,309,1079,302,131,171,336,86,250
95BB03S2,2191,519,1672,1765,401,1364,147,54,93,279,64,215
95BB04S1,1399,359,1040,988,194,794,188,105,83,223,60,163
95BB04S2,1610,317,1293,1472,292,1180,16,6,10,122,19,103
95BB05S1,1490,268,1222,1250,217,1033,69,24,45,171,27,144
95BB05S2,1911,397,1514,1523,283,1240,156,57,99,232,57,175
95BB06W1,2870,878,1992,1467,368,1099,676,345,331,727,165,562
95BB07S1,1601,426,1175,783,165,618,425,171,254,393,90,303
95BB07S2,1295,242,1053,1103,201,902,111,26,85,81,15,66
95BB08S1,1331,385,946,719,142,577,402,181,221,210,62,148
95BB08S2,1294,198,1096,1166,178,988,14,4,10,114,16,98
95BB09S1,1291,231,1060,1106,194,912,24,13,11,161,24,137
95BB09S2,1618,231,1387,1334,185,1149,38,12,26,246,34,212
95BB10S1,1663,427,1236,1064,225,839,238,125,113,361,77,284
95BB10S2,1615,267,1348,1436,228,1208,54,18,36,125,21,104
95BB11S1,1408,345,1063,891,172,719,420,143,277,97,30,67
95BB11S2,1495,428,1067,1256,327,929,84,58,26,155,43,112
95BB12S1,1440,338,1102,680,154,526,483,124,359,277,60,217
95BB12S2,1336,209,1127,1085,161,924,183,31,152,68,17,51
95BB13S1,1392,230,1162,927,114,813,391,100,291,74,16,58
95BB13S2,1466,344,1122,1045,231,814,265,81,184,156,32,124
95BB13S3,1580,220,1360,1423,203,1220,24,3,21,133,14,119
95BB14S1,1510,269,1241,1387,251,1136,16,4,12,107,14,93
95BB14S2,1578,229,1349,1356,192,1164,67,11,56,155,26,129
95BB15S1,2005,396,1609,1689,304,1385,86,38,48,230,54,176
95BB15S2,1484,300,1184,1030,187,843,177,59,118,277,54,223
95BB16S1,1533,259,1274,1411,228,1183,9,3,6,113,28,85
95BB16S2,1600,253,1347,1441,209,1232,51,30,21,108,14,94
95BB17S1,1793,316,1477,1431,240,1191,181,48,133,181,28,153
95BB17S2,1742,351,1391,1293,242,1051,271,72,199,178,37,141
95BB18S1,1688,459,1229,1154,280,874,269,113,156,265,66,199
95BB18S2,2524,403,2121,2287,352,1935,18,8,10,219,43,176
95BB19S1,1557,277,1280,1311,224,1087,86,27,59,160,26,134
95BB19S2,1777,229,1548,1657,210,1447,10,3,7,110,16,94
95BB19S3,1391,182,1209,1285,167,1118,16,2,14,90,13,77
95BB20S1,1844,387,1457,1501,287,1214,105,44,61,238,56,182
95BB20S2,1524,423,1101,980,233,747,285,108,177,259,82,177
95BB21S1,2379,568,1811,1923,419,1504,167,82,85,289,67,222
95BB21S2,2320,508,1812,2009,399,1610,56,26,30,255,83,172
95BB22S1,1525,238,1287,1032,141,891,336,72,264,157,25,132
95BB22S2,1468,315,1153,753,129,624,587,155,432,128,31,97
95BB23S1,1540,307,1233,1400,282,1118,22,4,18,118,21,97
95BB23S2,1436,228,1208,1303,209,1094,7,2,5,126,17,109
95CC01W1,2376,488,1888,1643,325,1318,172,69,103,561,94,467
95CC02W1,2693,470,2223,2364,394,1970,75,24,51,254,52,202
95CC03W1,2791,617,2174,1246,250,996,654,230,424,891,137,754
95CC04W1,2384,406,1978,2051,329,1722,96,29,67,237,48,189
95CC05W1,2749,536,2213,2306,451,1855,80,28,52,363,57,306
95CC06S1,1458,229,1229,1216,196,1020,8,2,6,234,31,203
95CC06S2,1292,263,1029,1000,199,801,100,37,63,192,27,165
95CC07W1,3475,545,2930,2837,405,2432,221,68,153,417,72,345
95CC08W1,2511,555,1956,1577,316,1261,360,129,231,574,110,464
95CC09S1,1485,216,1269,1372,192,1180,0,0,0,113,24,89
95CC09S2,1838,241,1597,1486,181,1305,65,21,44,287,39,248
95CC10W1,2495,422,2073,2180,352,1828,54,22,32,261,48,213
95CC11W1,1787,449,1338,1141,258,883,201,78,123,445,113,332
95CC12W1,2751,448,2303,2480,396,2084,71,17,54,200,35,165
95CC13W1,2474,438,2036,2164,367,1797,90,38,52,220,33,187
95CC14W1,3017,565,2452,2541,429,2112,92,48,44,384,88,296
95CC15W1,2893,544,2349,2406,437,1969,142,39,103,345,68,277
95CC16W1,2801,610,2191,2041,417,1624,226,83,143,534,110,424
95CC17W1,2724,436,2288,2421,374,2047,24,6,18,279,56,223
95CC18W1,2309,451,1858,1627,280,1347,264,105,159,418,66,352
95CC19W1,2720,500,2220,2248,378,1870,175,61,114,297,61,236
95CC20S1,1308,206,1102,1117,168,949,41,17,24,150,21,129
95CC20S2,1658,287,1371,1265,208,1057,122,43,79,271,36,235
95CC21W1,2925,568,2357,2214,398,1816,265,81,184,446,89,357
95CC22W1,1724,404,1320,961,205,756,407,135,272,356,64,292
95DD01W1,2031,359,1672,1687,287,1400,53,20,33,291,52,239
95DD02S1,1453,288,1165,1110,166,944,200,80,120,143,42,101
95DD02S2,2419,323,2096,2065,255,1810,31,16,15,323,52,271
95DD03W1,3474,517,2957,2754,430,2324,39,12,27,681,75,606
95DD04W1,1926,473,1453,845,170,675,863,248,615,218,55,163
95DD05W1,1739,386,1353,917,174,743,648,171,477,174,41,133
95DD06W1,2427,418,2009,2111,373,1738,16,4,12,300,41,259
95DD07S1,1596,353,1243,1143,224,919,147,63,84,306,66,240
95DD07S2,1767,320,1447,1400,206,1194,124,69,55,243,45,198
95DD08W1,2083,560,1523,895,242,653,285,169,116,903,149,754
95DD09W1,2572,410,2162,2274,335,1939,40,14,26,258,61,197
95DD10W1,2805,581,2224,1983,347,1636,450,154,296,372,80,292
95DD11W1,2363,447,1916,1033,172,861,676,184,492,654,91,563
95DD12W1,2582,441,2141,2322,373,1949,51,17,34,209,51,158
95DD13W1,1743,376,1367,1106,240,866,239,82,157,398,54,344
95DD14S1,1601,254,1347,1311,197,1114,63,22,41,227,35,192
95DD14S2,1667,195,1472,1524,163,1361,23,14,9,120,18,102
95DD15W1,3451,481,2970,2927,368,2559,106,30,76,418,83,335
95DD16W1,2943,490,2453,2636,430,2206,44,9,35,263,51,212
95DD17W1,3461,527,2934,3104,439,2665,65,22,43,292,66,226
95DD18W1,1813,439,1374,1206,273,933,160,60,100,447,106,341
95DD19S1,1855,342,1513,1372,225,1147,198,72,126,285,45,240
95DD19S2,1460,271,1189,1292,221,1071,42,13,29,126,37,89
95DD20W1,1742,492,1250,862,221,641,565,192,373,315,79,236
95DD21W1,2130,336,1794,1407,239,1168,45,16,29,678,81,597
95DD22S1,1537,311,1226,1322,234,1088,51,21,30,164,56,108
95DD22S2,1581,329,1252,1220,196,1024,157,84,73,204,49,155
95DD23W1,2490,425,2065,2159,343,1816,19,11,8,312,71,241
95DD24W1,2692,437,2255,2088,285,1803,157,73,84,447,79,368
95EE01W1,1895,325,1570,1579,236,1343,158,51,107,158,38,120
95EE02W1,2095,392,1703,1521,249,1272,291,85,206,283,58,225
95EE03W1,1983,443,1540,1277,229,1048,446,151,295,260,63,197
95EE04W1,1990,361,1629,1592,255,1337,126,46,80,272,60,212
95EE05W1,1497,297,1200,1215,228,987,76,20,56,206,49,157
95EE06W1,2278,362,1916,1827,254,1573,172,59,113,279,49,230
95EE07W1,1798,427,1371,1264,278,986,168,70,98,366,79,287
95EE08W1,1633,346,1287,1263,256,1007,31,15,16,339,75,264
95EE09W1,1859,334,1525,1482,236,1246,154,57,97,223,41,182
95EE10W1,1797,272,1525,1360,195,1165,128,32,96,309,45,264
95EE11W1,1677,301,1376,1464,242,1222,68,24,44,145,35,110
95EE12W1,2500,524,1976,1437,246,1191,459,162,297,604,116,488
95EE13W1,1529,446,1083,887,208,679,305,153,152,337,85,252
95EE14W1,2684,532,2152,1996,360,1636,210,73,137,478,99,379
95EE15W1,1728,334,1394,1446,253,1193,135,47,88,147,34,113
95EE16W1,2111,408,1703,1783,317,1466,103,45,58,225,46,179
95FF01S1,2098,336,1762,1851,295,1556,3,1,2,244,40,204
95FF01S2,2655,361,2294,2106,286,1820,32,12,20,517,63,454
95FF02W1,2817,455,2362,2494,372,2122,54,12,42,269,71,198
95FF03W1,3006,572,2434,2100,357,1743,273,112,161,633,103,530
95FF04W1,2629,466,2163,2355,404,1951,78,29,49,196,33,163
95FF05W1,2563,548,2015,1745,318,1427,399,140,259,419,90,329
95FF06S1,1974,331,1643,1548,236,1312,97,39,58,329,56,273
95FF06S2,2080,250,1830,1836,205,1631,67,18,49,177,27,150
95FF07W1,2763,640,2123,1594,328,1266,655,210,445,514,102,412
95FF08W1,2328,537,1791,1731,321,1410,314,141,173,283,75,208
95FF09W1,2521,587,1934,1879,371,1508,259,104,155,383,112,271
95FF10W1,3473,519,2954,3053,418,2635,116,39,77,304,62,242
95FF11W1,2582,432,2150,2330,370,1960,58,16,42,194,46,148
95FF12W1,2721,553,2168,2285,434,1851,120,45,75,316,74,242
95FF13W1,2708,511,2197,2347,399,1948,81,35,46,280,77,203
95FF14W1,2413,392,2021,2214,331,1883,21,11,10,178,50,128
95FF15W1,2680,577,2103,1764,328,1436,346,131,215,570,118,452
95FF16W1,2317,425,1892,1872,299,1573,206,72,134,239,54,185
95FF17W1,1717,459,1258,954,199,755,283,147,136,480,113,367
95GG01S1,1765,614,1151,1273,370,903,324,177,147,168,67,101
95GG01S2,1464,506,958,914,282,632,239,103,136,311,121,190
95GG01S3,1616,492,1124,1305,390,915,123,55,68,188,47,141
95GG02S1,1745,532,1213,900,272,628,542,163,379,303,97,206
95GG02S2,2018,602,1416,859,275,584,716,212,504,443,115,328
95GG02S3,2224,712,1512,572,133,439,1440,505,935,212,74,138
95GG03S1,1952,314,1638,1490,229,1261,66,31,35,396,54,342
95GG03S2,1833,330,1503,1526,253,1273,63,37,26,244,40,204
95GG03S3,2072,392,1680,1259,220,1039,283,108,175,530,64,466
95GG04S1,1708,508,1200,598,136,462,870,317,553,240,55,185
95GG04S2,1564,454,1110,613,171,442,819,237,582,132,46,86
95GG04S3,1636,516,1120,491,122,369,745,275,470,400,119,281
95GG05S1,1777,276,1501,887,150,737,246,71,175,644,55,589
95GG05S2,2009,262,1747,1018,152,866,165,53,112,826,57,769
95GG05S3,2106,365,1741,570,109,461,737,194,543,799,62,737
95GG06S1,1866,468,1398,960,246,714,617,172,445,289,50,239
95GG06S2,1779,466,1313,1213,315,898,259,72,187,307,79,228
95GG06S3,1922,393,1529,1475,289,1186,251,64,187,196,40,156
95GG07S1,1844,485,1359,1084,315,769,241,90,151,519,80,439
95GG07S2,1922,517,1405,741,198,543,676,224,452,505,95,410
95GG07S3,1701,465,1236,1033,246,787,422,147,275,246,72,174
95GG08S1,1394,305,1089,1132,234,898,133,47,86,129,24,105
95GG08S2,1730,461,1269,986,243,743,413,157,256,331,61,270
95GG08S3,1786,357,1429,1079,202,877,390,114,276,317,41,276
95GG09S1,2089,330,1759,1840,262,1578,51,29,22,198,39,159
95GG09S2,1856,403,1453,1448,281,1167,242,99,143,166,23,143
95GG09S3,2110,483,1627,924,156,768,841,271,570,345,56,289
95GG10S1,1826,419,1407,710,169,541,448,159,289,668,91,577
95GG10S2,2171,478,1693,616,164,452,795,216,579,760,98,662
95GG11S1,1895,464,1431,750,170,580,535,185,350,610,109,501
95GG11S2,1636,288,1348,1308,228,1080,51,17,34,277,43,234
95GG11S3,1858,428,1430,1001,247,754,156,66,90,701,115,586
95GG12S1,1488,91,1397,210,16,194,125,24,101,1153,51,1102
95GG12S2,1958,198,1760,207,51,156,181,57,124,1570,90,1480
95GG12S3,1477,126,1351,284,41,243,137,50,87,1056,35,1021
95GG12S4,1626,157,1469,94,9,85,184,67,117,1348,81,1267
95GG12S5,2177,457,1720,491,118,373,1052,289,763,634,50,584
95GG13S1,1329,334,995,625,127,498,471,156,315,233,51,182
95GG13S2,1731,312,1419,1472,254,1218,121,36,85,138,22,116
95GG13S3,1637,446,1191,1027,226,801,381,163,218,229,57,172
95GG14S1,1617,300,1317,1496,272,1224,21,7,14,100,21,79
95GG14S2,1597,233,1364,1415,192,1223,71,23,48,111,18,93
95GG14S3,1606,267,1339,1467,237,1230,32,15,17,107,15,92
95GG15S1,1805,272,1533,1607,235,1372,58,18,40,140,19,121
95GG15S2,2004,287,1717,1668,238,1430,69,32,37,267,17,250
95GG15S3,1881,476,1405,1272,279,993,371,157,214,238,40,198
95GG16S1,1960,421,1539,1158,229,929,286,97,189,516,95,421
95GG16S2,1920,396,1524,1319,225,1094,288,109,179,313,62,251
95GG16S3,1486,293,1193,1060,183,877,254,68,186,172,42,130
95GG17S1,2031,452,1579,1110,223,887,592,157,435,329,72,257
95GG17S2,1595,389,1206,1376,321,1055,86,41,45,133,27,106
95GG17S3,1704,481,1223,886,213,673,542,201,341,276,67,209
95GG18S1,2553,749,1804,1122,319,803,959,317,642,472,113,359
95GG18S2,2422,698,1724,931,274,657,894,325,569,597,99,498
