ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC6106NI0001,Count,PERSONS,"All categories: NS-SEC, All categories: Sex"
LC6106NI0002,Count,PERSONS,"All categories: NS-SEC, Males"
LC6106NI0003,Count,PERSONS,"All categories: NS-SEC, Females"
LC6106NI0004,Count,PERSONS,"Managerial, administrative and professional occupations, All categories: Sex"
LC6106NI0005,Count,PERSONS,"Managerial, administrative and professional occupations, Males"
LC6106NI0006,Count,PERSONS,"Managerial, administrative and professional occupations, Females"
LC6106NI0007,Count,PERSONS,"Intermediate occupations and small employers, All categories: Sex"
LC6106NI0008,Count,PERSONS,"Intermediate occupations and small employers, Males"
LC6106NI0009,Count,PERSONS,"Intermediate occupations and small employers, Females"
LC6106NI0010,Count,PERSONS,"Routine and manual occupations, All categories: Sex"
LC6106NI0011,Count,PERSONS,"Routine and manual occupations, Males"
LC6106NI0012,Count,PERSONS,"Routine and manual occupations, Females"
LC6106NI0013,Count,PERSONS,"Never worked, long term unemployed and full-time students, All categories: Sex"
LC6106NI0014,Count,PERSONS,"Never worked, long term unemployed and full-time students, Males"
LC6106NI0015,Count,PERSONS,"Never worked, long term unemployed and full-time students, Females"
