GeographyCode,LC6112NI0001,LC6112NI0002,LC6112NI0003,LC6112NI0004,LC6112NI0005,LC6112NI0006,LC6112NI0007,LC6112NI0008,LC6112NI0009,LC6112NI0010,LC6112NI0011,LC6112NI0012,LC6112NI0013,LC6112NI0014,LC6112NI0015
95AA01S1,307,255,52,173,150,23,84,67,17,47,36,11,3,2,1
95AA01S2,562,394,168,211,139,72,182,136,46,154,111,43,15,8,7
95AA01S3,531,347,184,217,144,73,167,112,55,135,88,47,12,3,9
95AA02W1,711,410,301,152,80,72,137,71,66,379,231,148,43,28,15
95AA03W1,744,385,359,127,59,68,132,70,62,437,238,199,48,18,30
95AA04W1,918,666,252,329,229,100,336,256,80,232,168,64,21,13,8
95AA05W1,821,535,286,270,179,91,246,160,86,268,181,87,37,15,22
95AA06S1,615,363,252,187,118,69,172,101,71,220,127,93,36,17,19
95AA06S2,806,463,343,249,154,95,212,113,99,303,180,123,42,16,26
95AA07W1,733,474,259,201,121,80,216,151,65,294,191,103,22,11,11
95AA08W1,639,305,334,113,54,59,117,53,64,355,181,174,54,17,37
95AA09W1,856,465,391,195,117,78,159,87,72,455,245,210,47,16,31
95AA10W1,723,391,332,174,100,74,132,79,53,346,185,161,71,27,44
95AA11S1,1007,610,397,319,182,137,244,143,101,408,269,139,36,16,20
95AA11S2,812,534,278,324,193,131,203,133,70,266,199,67,19,9,10
95AA12W1,874,635,239,383,274,109,305,232,73,171,123,48,15,6,9
95AA13S1,568,339,229,192,114,78,134,79,55,215,131,84,27,15,12
95AA13S2,538,310,228,191,109,82,130,78,52,196,114,82,21,9,12
95AA14W1,670,471,199,258,177,81,224,166,58,168,117,51,20,11,9
95AA15S1,953,551,402,325,182,143,215,110,105,389,249,140,24,10,14
95AA15S2,568,309,259,141,76,65,107,54,53,269,162,107,51,17,34
95AA16W1,744,414,330,127,59,68,134,66,68,438,261,177,45,28,17
95AA17W1,808,444,364,211,106,105,147,92,55,401,228,173,49,18,31
95AA18W1,851,565,286,437,294,143,246,164,82,154,102,52,14,5,9
95AA19W1,740,477,263,168,101,67,237,183,54,285,175,110,50,18,32
95BB01S1,480,315,165,177,112,65,158,110,48,141,91,50,4,2,2
95BB01S2,696,449,247,228,152,76,225,133,92,227,154,73,16,10,6
95BB02W1,889,519,370,189,109,80,205,130,75,424,238,186,71,42,29
95BB03S1,751,428,323,175,100,75,186,100,86,343,200,143,47,28,19
95BB03S2,765,490,275,224,138,86,245,180,65,278,165,113,18,7,11
95BB04S1,542,336,206,186,126,60,137,78,59,198,123,75,21,9,12
95BB04S2,539,363,176,241,177,64,161,102,59,127,79,48,10,5,5
95BB05S1,497,331,166,155,101,54,196,135,61,137,89,48,9,6,3
95BB05S2,671,449,222,218,145,73,223,156,67,211,138,73,19,10,9
95BB06W1,1245,687,558,254,130,124,263,143,120,641,369,272,87,45,42
95BB07S1,657,328,329,183,87,96,167,85,82,274,148,126,33,8,25
95BB07S2,444,263,181,132,80,52,128,79,49,173,103,70,11,1,10
95BB08S1,478,282,196,81,45,36,113,63,50,253,160,93,31,14,17
95BB08S2,458,312,146,149,98,51,123,82,41,178,128,50,8,4,4
95BB09S1,482,302,180,190,119,71,139,87,52,141,92,49,12,4,8
95BB09S2,625,395,230,276,177,99,167,103,64,167,110,57,15,5,10
95BB10S1,711,400,311,231,124,107,163,94,69,280,160,120,37,22,15
95BB10S2,544,368,176,256,182,74,195,137,58,83,44,39,10,5,5
95BB11S1,542,297,245,110,61,49,119,70,49,274,148,126,39,18,21
95BB11S2,562,322,240,182,111,71,158,93,65,201,109,92,21,9,12
95BB12S1,569,296,273,104,59,45,95,49,46,321,163,158,49,25,24
95BB12S2,446,286,160,204,145,59,98,61,37,129,74,55,15,6,9
