GeographyCode,QS115NI0001,QS115NI0002,QS115NI0003,QS115NI0004,QS115NI0005,QS115NI0006,QS115NI0007,QS115NI0008,QS115NI0009,QS115NI0010,QS115NI0011,QS115NI0012
N06000001,25462,14116,2006,1141,2281,1762,1527,909,897,684,139,19525
N06000002,27684,13808,2452,1668,2845,1929,1545,969,1383,914,171,24211
N06000003,25685,14255,1947,1110,2194,1654,1376,1017,1017,938,177,20521
N06000004,25519,11223,2316,1637,3060,1771,1612,1129,1443,1089,239,25373
N06000005,25486,13738,1707,1194,2504,1598,1750,1024,964,833,174,20646
N06000006,27066,14255,1831,1191,2403,1701,1754,1190,1318,1167,256,23869
N06000007,26911,13692,1927,1092,2281,1904,1590,1160,1621,1368,276,25745
N06000008,26716,12118,2179,1524,3032,2007,1778,1189,1394,1185,310,26421
N06000009,28921,15614,2093,1180,2439,2060,1868,1169,1292,979,227,24149
N06000010,25788,12452,1849,998,2286,1880,1459,1150,1919,1455,340,26835
N06000011,29724,14528,2263,1333,2716,2036,1663,1278,1972,1617,318,29561
N06000012,30304,16605,1960,1265,2503,1952,1989,1154,1453,1174,249,25567
N06000013,25884,15016,1698,1077,2096,1671,1610,997,865,697,157,19016
N06000014,28270,14532,2162,1229,2423,2147,2017,1126,1375,1068,191,25117
N06000015,28934,14326,1946,1072,2635,2109,1826,1218,1943,1547,312,28806
N06000016,26051,14539,1595,1081,2325,1651,1708,1125,965,893,169,20611
N06000017,32902,16434,2771,1447,3015,2582,2107,1315,1775,1209,247,29933
N06000018,23815,11599,1562,968,2302,1655,1520,1083,1509,1305,312,23990
