GeographyCode,QS204NI0001,QS204NI0002,QS204NI0003,QS204NI0004,QS204NI0005,QS204NI0006
N06000001,40918,14342,25962,164,328,122
N06000002,44601,15823,28182,229,245,122
N06000003,46630,15710,29575,275,531,539
N06000004,36580,10445,25700,188,142,105
N06000005,36112,10210,25560,83,207,52
N06000006,37981,10031,27614,78,189,69
N06000007,37590,9952,27206,149,161,122
N06000008,38404,10861,27058,169,187,129
N06000009,39850,10435,28949,151,255,60
N06000010,33690,7457,25939,109,128,57
N06000011,40538,10225,29961,136,156,60
N06000012,41458,10676,30487,99,138,58
N06000013,37740,11356,25938,124,263,59
N06000014,37715,9129,28187,132,219,48
N06000015,39030,9606,29083,122,171,48
N06000016,35412,9058,26044,98,177,35
N06000017,45766,12225,32978,221,259,83
N06000018,33260,8873,24158,71,116,42
