GeographyCode,QS214NI0001,QS214NI0002,QS214NI0003,QS214NI0004,QS214NI0005,QS214NI0006,QS214NI0007,QS214NI0008,QS214NI0009,QS214NI0010
N06000001,88533,1317,418,144,33,129,40,1113,122,85217
N06000002,97995,4108,1730,300,77,447,152,4217,548,86416
N06000003,107615,5048,1514,616,78,557,214,5351,524,93713
N06000004,89872,6333,3061,332,63,618,188,7323,935,71019
N06000005,86916,1699,476,156,27,140,66,1239,138,82975
N06000006,95890,3147,1052,278,48,337,119,2507,337,88065
N06000007,98103,5144,1769,400,86,589,258,4725,668,84464
N06000008,96591,4807,1803,435,53,548,222,5233,606,82884
N06000009,97364,1553,472,166,20,127,62,1201,115,93648
N06000010,94457,6657,2465,425,78,706,267,5885,750,77224
N06000011,107388,6968,2277,579,102,784,322,6671,814,88871
N06000012,103991,3099,1015,201,44,280,81,2247,336,96688
N06000013,86272,1250,274,133,16,111,33,744,108,83603
N06000014,94820,2547,925,194,37,271,76,2186,224,88360
N06000015,103964,6043,2022,483,80,682,245,5097,652,88660
N06000016,86183,1398,341,95,22,122,52,920,128,83105
N06000017,112428,4096,1339,317,56,488,162,3859,447,101664
N06000018,87329,5287,1724,405,73,478,243,4329,553,74237
