ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS215NI0001","Count","PERSONS","All usual residents: Aged 3+ years"
"QS215NI0002","Count","PERSONS","Knowledge of Ulster-Scots: Understands but does not read, write or speak Ulster-Scots: Aged 3+ years"
"QS215NI0003","Count","PERSONS","Knowledge of Ulster-Scots: Speaks but does not read or write Ulster-Scots: Aged 3+ years"
"QS215NI0004","Count","PERSONS","Knowledge of Ulster-Scots: Reads but does not speak or write Ulster-Scots: Aged 3+ years"
"QS215NI0005","Count","PERSONS","Knowledge of Ulster-Scots: Writes but does not speak or read Ulster-Scots: Aged 3+ years"
"QS215NI0006","Count","PERSONS","Knowledge of Ulster-Scots: Speaks and reads but does not write Ulster-Scots: Aged 3+ years"
"QS215NI0007","Count","PERSONS","Knowledge of Ulster-Scots: Reads and writes but does not speak Ulster-Scots: Aged 3+ years"
"QS215NI0008","Count","PERSONS","Knowledge of Ulster-Scots: Speaks, reads, writes and understands Ulster-Scots: Aged 3+ years"
"QS215NI0009","Count","PERSONS","Knowledge of Ulster-Scots: Other combination of skills in Ulster-Scots: Aged 3+ years"
"QS215NI0010","Count","PERSONS","Knowledge of Ulster-Scots: No ability in Ulster-Scots: Aged 3+ years"
