GeographyCode,QS403NI0001,QS403NI0002,QS403NI0003,QS403NI0004,QS403NI0005,QS403NI0006,QS403NI0007,QS403NI0008,QS403NI0009,QS403NI0010,QS403NI0011,QS403NI0012,QS403NI0013,QS403NI0014
N06000001,91207,60698,22127,37915,656,16297,11588,4709,12723,11824,69,640,190,1489
N06000002,101489,60154,21356,38040,758,25478,17050,8428,13817,12797,45,691,284,2040
N06000003,108289,63047,23763,38735,549,14327,9941,4386,29438,27576,74,1531,257,1477
N06000004,93176,54557,15351,38536,670,28438,20848,7590,8295,7374,146,492,283,1886
N06000005,87942,68271,25110,42648,513,8119,6946,1173,10281,9341,53,806,81,1271
N06000006,97681,70366,30942,38899,525,10349,8955,1394,15101,13673,133,1165,130,1865
N06000007,101557,76179,37776,38092,311,7573,6189,1384,15658,14097,216,1125,220,2147
N06000008,99430,61599,20655,40410,534,21025,15348,5677,15157,13749,58,964,386,1649
N06000009,100083,77424,29510,47237,677,10917,8631,2286,10168,8448,862,539,319,1574
N06000010,98502,77070,34677,42010,383,6408,5551,857,13216,11986,104,992,134,1808
N06000011,111333,83683,35908,47470,305,9546,7777,1769,16007,14496,137,1094,280,2097
N06000012,107293,80512,36783,43200,529,10197,9299,898,14496,13254,65,1033,144,2088
N06000013,87868,68862,26009,41979,874,7214,5647,1567,10765,9312,430,682,341,1027
N06000014,98171,78220,26614,50963,643,7616,6923,693,10930,9069,738,760,363,1405
N06000015,107832,83913,34867,48593,453,6992,5485,1507,15124,13241,273,1263,347,1803
N06000016,88672,69037,27138,41298,601,8847,7694,1153,9241,8298,90,758,95,1547
N06000017,117347,84454,30230,53435,789,11691,9615,2076,19303,18020,127,982,174,1899
N06000018,90467,67067,31499,35317,251,8678,7394,1284,12789,11548,82,1031,128,1933
