GeographyCode,QS404NI0001,QS404NI0002,QS404NI0003,QS404NI0004,QS404NI0005,QS404NI0006,QS404NI0007
N06000001,10956,7559,35,1454,1014,430,464
N06000002,11550,7003,25,2214,1097,587,624
N06000003,10139,7324,29,1281,674,455,376
N06000004,7983,4842,22,1692,748,293,386
N06000005,9379,6889,27,1009,498,530,426
N06000006,9793,7200,48,1096,312,618,519
N06000007,9649,7494,24,732,248,562,589
N06000008,7868,5104,34,1285,593,507,345
N06000009,10294,7763,29,1231,371,400,500
N06000010,8053,6318,27,573,159,496,480
N06000011,9957,7696,30,926,204,560,541
N06000012,11340,8382,27,1164,367,720,680
N06000013,10860,8535,60,781,592,551,341
N06000014,8630,6715,29,867,234,360,425
N06000015,9735,7537,39,647,254,706,552
N06000016,9506,7096,26,1043,336,531,474
N06000017,10705,7518,36,1342,428,746,635
N06000018,8227,6110,23,802,180,543,569
