GeographyCode,QS408NI0001,QS408NI0002,QS408NI0003,QS408NI0004,QS408NI0005
N06000001,40918,30235,10096,458,129
N06000002,44601,31454,12302,657,188
N06000003,46630,33284,12395,665,286
N06000004,36580,22187,13144,995,254
N06000005,36112,26882,8890,283,57
N06000006,37981,27183,10197,470,131
N06000007,37590,25971,10798,624,197
N06000008,38404,25018,12353,810,223
N06000009,39850,29281,10093,398,78
N06000010,33690,21806,11083,632,169
N06000011,40538,27079,12526,750,183
N06000012,41458,29954,10851,520,133
N06000013,37740,29219,8225,209,87
N06000014,37715,26625,10632,380,78
N06000015,39030,26353,11913,626,138
N06000016,35412,25595,9415,323,79
N06000017,45766,31920,13098,589,159
N06000018,33260,22504,10031,574,151
