GeographyCode,QS410NI0001,QS410NI0002,QS410NI0003
N06000001,43374,40918,2456
N06000002,47879,44601,3278
N06000003,50476,46630,3846
N06000004,38083,36580,1503
N06000005,38351,36112,2239
N06000006,42667,37981,4686
N06000007,40585,37590,2995
N06000008,39976,38404,1572
N06000009,41796,39850,1946
N06000010,35279,33690,1589
N06000011,43070,40538,2532
N06000012,44076,41458,2618
N06000013,40052,37740,2312
N06000014,39401,37715,1686
N06000015,42077,39030,3047
N06000016,37481,35412,2069
N06000017,48237,45766,2471
N06000018,35375,33260,2115
