GeographyCode,QS413NI0001,QS413NI0002,QS413NI0003,QS413NI0004,QS413NI0005,QS413NI0006,QS413NI0007,QS413NI0008,QS413NI0009,QS413NI0010,QS413NI0011,QS413NI0012,QS413NI0013,QS413NI0014,QS413NI0015,QS413NI0016,QS413NI0017,QS413NI0018,QS413NI0019,QS413NI0020,QS413NI0021,QS413NI0022,QS413NI0023,QS413NI0024,QS413NI0025,QS413NI0026,QS413NI0027,QS413NI0028,QS413NI0029
N06000001,43,35,7,0,1,6,2,2,0,26,14,6,1,0,0,5,8,0,0,0,0,1,2,1,0,0,0,2,2
N06000002,66,49,18,2,0,16,10,0,10,21,9,7,0,0,0,5,17,0,0,0,0,0,7,5,0,0,3,0,2
N06000003,110,42,15,2,3,10,2,0,2,25,11,9,0,0,1,4,68,0,1,1,0,14,38,5,0,0,3,0,6
N06000004,34,21,6,1,0,5,2,1,1,13,7,4,1,0,0,1,13,0,0,0,0,0,5,5,0,0,2,0,1
N06000005,55,30,12,0,0,12,0,0,0,18,9,7,0,1,0,1,25,0,0,0,0,5,18,1,1,0,0,0,0
N06000006,95,30,5,1,1,3,9,2,7,16,8,6,0,0,1,1,65,0,1,0,0,5,53,2,0,1,0,0,3
N06000007,113,59,13,2,0,11,22,1,21,24,15,9,0,0,0,0,54,0,0,0,0,4,43,0,4,1,1,0,1
N06000008,83,50,13,2,3,8,19,5,14,18,6,8,1,0,0,3,33,0,0,0,0,1,20,9,0,0,1,0,2
N06000009,45,27,7,0,2,5,0,0,0,20,15,4,0,0,1,0,18,1,1,0,0,1,10,1,1,0,2,0,1
N06000010,46,30,7,1,0,6,7,1,6,16,12,4,0,0,0,0,16,0,0,1,0,1,13,1,0,0,0,0,0
N06000011,54,33,6,2,0,4,0,0,0,27,18,7,0,0,0,2,21,0,0,0,0,2,11,2,0,1,4,0,1
N06000012,69,42,10,1,0,9,4,3,1,28,9,15,2,0,0,2,27,0,0,0,0,0,22,4,0,0,1,0,0
N06000013,66,45,6,0,0,6,2,0,2,37,17,14,1,3,0,2,21,2,0,0,2,3,12,2,0,0,0,0,0
N06000014,58,35,11,1,3,7,2,1,1,22,14,6,0,2,0,0,23,2,0,0,0,1,19,0,0,0,1,0,0
N06000015,73,32,9,0,2,7,0,0,0,23,11,8,0,1,0,3,41,1,0,0,0,2,27,1,1,2,3,1,3
N06000016,43,31,5,0,0,5,1,0,1,25,11,14,0,0,0,0,12,0,0,0,0,0,11,0,1,0,0,0,0
N06000017,40,29,8,1,0,7,4,3,1,17,11,5,1,0,0,0,11,0,0,0,0,0,8,1,0,0,0,0,2
N06000018,50,33,9,0,1,8,5,5,0,19,9,8,0,1,0,1,17,0,0,0,0,0,14,1,1,1,0,0,0
