GeographyCode,QS603NI0001,QS603NI0002,QS603NI0003,QS603NI0004
N06000001,5030,1682,328,3020
N06000002,6397,2038,542,3817
N06000003,15870,6365,1104,8401
N06000004,7331,2128,707,4496
N06000005,6667,2209,562,3896
N06000006,7942,2288,623,5031
N06000007,6291,1677,337,4277
N06000008,8547,2235,908,5404
N06000009,5860,1826,381,3653
N06000010,7112,1738,360,5014
N06000011,7417,2029,500,4888
N06000012,6182,1572,398,4212
N06000013,4854,1564,391,2899
N06000014,5815,2023,472,3320
N06000015,7108,2111,396,4601
N06000016,5091,1557,375,3159
N06000017,7281,2231,522,4528
N06000018,6072,1381,402,4289
