GeographyCode,QS606NI0001,QS606NI0002,QS606NI0003,QS606NI0004,QS606NI0005,QS606NI0006,QS606NI0007,QS606NI0008,QS606NI0009,QS606NI0010,QS606NI0011,QS606NI0012,QS606NI0013,QS606NI0014,QS606NI0015,QS606NI0016,QS606NI0017,QS606NI0018,QS606NI0019,QS606NI0020,QS606NI0021,QS606NI0022,QS606NI0023,QS606NI0024,QS606NI0025,QS606NI0026,QS606NI0027,QS606NI0028,QS606NI0029,QS606NI0030,QS606NI0031,QS606NI0032,QS606NI0033,QS606NI0034,QS606NI0035,QS606NI0036,QS606NI0037,QS606NI0038,QS606NI0039,QS606NI0040,QS606NI0041,QS606NI0042,QS606NI0043,QS606NI0044,QS606NI0045,QS606NI0046,QS606NI0047,QS606NI0048,QS606NI0049,QS606NI0050,QS606NI0051
N06000001,67039,6875,1168,5707,3277,1679,692,59,14212,8855,7128,840,731,156,2987,2370,10079,7222,1897,652,308,3797,1139,1124,15,2658,2598,60,4600,2406,2194,1988,206,10590,3532,4454,550,924,39,897,194,8110,1225,686,2188,3968,43,3746,2509,1237,5030
N06000002,73558,4347,775,3572,2065,1052,413,42,11486,7081,5929,650,417,85,2454,1951,9675,6513,2194,668,300,3708,970,962,8,2738,2720,18,5230,2859,2371,2155,216,13345,4818,5405,719,1301,28,877,197,11827,1715,1186,3046,5822,58,7543,5454,2089,6397
N06000003,86086,12902,1353,11549,7136,2672,1587,154,18594,12968,10602,1064,1082,220,3302,2324,10341,7104,2164,770,303,3925,1338,1328,10,2587,2550,37,4259,2424,1835,1682,153,9028,3270,3764,391,658,24,753,168,6741,1349,612,1654,3095,31,4426,3041,1385,15870
N06000004,67002,2601,469,2132,1195,708,207,22,8973,5524,4812,399,268,45,1952,1497,8810,5870,1890,808,242,3222,811,803,8,2411,2387,24,4260,2357,1903,1711,192,11567,4233,4731,564,1024,19,751,245,11087,1780,1340,2726,5209,32,9151,7087,2064,7331
N06000005,66012,5244,1088,4156,2471,1158,485,42,12911,7962,6567,724,554,117,2878,2071,9578,6917,1887,468,306,5234,1598,1522,76,3636,3120,516,5335,2596,2739,2375,364,10045,3222,3820,627,1331,96,764,185,7810,1050,721,2507,3459,73,3188,1972,1216,6667
N06000006,72822,4533,796,3737,2279,765,627,66,12381,8090,6900,492,588,110,2588,1703,8393,6005,1694,508,186,8181,2302,2074,228,5879,4733,1146,4926,2719,2207,1908,299,10889,3618,4237,428,1388,256,693,269,9784,1242,1503,3197,3740,102,5793,3899,1894,7942
N06000007,73713,4233,844,3389,2012,674,652,51,11848,8104,6856,618,516,114,2283,1461,7634,5022,1868,526,218,9545,2645,2334,311,6900,4458,2442,5287,2912,2375,2079,296,12531,3415,4418,769,2574,386,662,307,10874,1072,1412,4352,3892,146,5470,3915,1555,6291
N06000008,73474,4295,888,3407,1998,814,562,33,12278,8380,7328,485,490,77,2266,1632,8200,4846,2373,734,247,4692,1311,1259,52,3381,3161,220,4859,2696,2163,1786,377,11662,4237,4214,572,1523,78,723,315,10318,1368,2539,2547,3816,48,8623,5912,2711,8547
N06000009,73686,7547,1525,6022,3623,1494,802,103,16337,9964,8118,915,714,217,3718,2655,10840,7618,2218,685,319,6770,2191,2062,129,4579,3936,643,4934,2597,2337,2116,221,10611,3937,3922,563,1007,87,911,184,7852,1069,871,2719,3127,66,2935,1856,1079,5860
N06000010,70671,3965,866,3099,1889,700,457,53,11473,8068,6859,623,461,125,2053,1352,6713,4671,1380,471,191,9526,2593,2353,240,6933,5169,1764,4917,2450,2467,2261,206,10100,2877,3609,628,1827,253,679,227,11545,1038,1842,4726,3817,122,5320,3859,1461,7112
