GeographyCode,QS113NI0001,QS113NI0002,QS113NI0003,QS113NI0004,QS113NI0005,QS113NI0006,QS113NI0007,QS113NI0008,QS113NI0009,QS113NI0010,QS113NI0011,QS113NI0012
95AA01,1522,296,94,202,1226,44,297,137,340,99,109,200
95AA02,839,346,155,191,493,44,131,98,74,11,32,103
95AA03,845,323,123,200,522,82,124,94,88,19,37,78
95AA04,1014,171,73,98,843,19,169,120,143,58,118,216
95AA05,920,192,88,104,728,44,116,102,131,62,84,189
95AA06,1570,356,159,197,1214,119,197,120,258,112,187,221
95AA07,820,201,73,128,619,36,131,110,112,33,62,135
95AA08,699,215,67,148,484,68,96,73,76,16,48,107
95AA09,943,307,87,220,636,96,145,103,101,22,48,121
95AA10,792,199,64,135,593,59,123,116,104,21,51,119
95AA11,1993,487,159,328,1506,103,369,186,403,78,136,231
95AA12,971,180,92,88,791,22,161,114,166,49,111,168
95AA13,1239,326,125,201,913,84,189,121,182,61,100,176
95AA14,779,130,80,50,649,18,135,111,100,48,78,159
95AA15,1595,395,78,317,1200,140,307,94,295,68,101,195
95AA16,832,318,91,227,514,53,124,95,108,16,26,92
95AA17,855,237,71,166,618,69,139,77,120,30,46,137
95AA18,1004,257,121,136,747,23,197,201,115,20,60,131
95AA19,832,157,66,91,675,47,83,82,111,67,111,174
95BB01,1307,270,107,163,1037,41,214,139,237,55,107,244
95BB02,1126,438,202,236,688,62,160,182,91,15,35,143
95BB03,1776,477,251,226,1299,91,307,290,263,51,75,222
95BB04,1307,349,176,173,958,44,228,268,134,22,61,201
95BB05,1318,282,134,148,1036,42,256,204,182,50,87,215
95BB06,1518,680,296,384,838,104,276,174,98,14,36,136
95BB07,1315,431,210,221,884,92,243,182,147,25,42,153
95BB08,1068,279,130,149,789,48,188,135,170,31,62,155
95BB09,1253,340,141,199,913,32,265,179,170,17,55,195
95BB10,1509,515,247,268,994,60,252,264,147,35,57,179
95BB11,1338,477,235,242,861,84,188,217,127,26,54,165
95BB12,1130,291,125,166,839,100,179,164,135,42,61,158
95BB13,1687,323,110,213,1364,129,322,217,258,65,114,259
95BB14,1172,259,131,128,913,29,187,191,167,42,85,212
95BB15,1287,301,128,173,986,71,206,154,172,77,96,210
95BB16,1176,225,111,114,951,20,199,211,177,41,87,216
95BB17,1399,335,115,220,1064,118,265,140,246,49,87,159
95BB18,1638,372,146,226,1266,82,285,238,300,59,94,208
95BB19,1724,301,116,185,1423,80,355,155,343,63,128,299
95BB20,1290,369,158,211,921,65,172,158,157,54,95,220
95BB21,1821,440,197,243,1381,89,327,236,276,86,121,246
95BB22,1194,320,68,252,874,144,193,97,195,42,72,131
95BB23,1161,236,106,130,925,29,214,199,146,32,80,225
95CC01,904,234,92,142,670,75,133,79,127,33,62,161
95CC02,875,171,83,88,704,20,106,99,114,63,94,208
95CC03,1127,367,145,222,760,138,142,82,141,32,81,144
95CC04,790,177,94,83,613,35,89,84,80,60,96,169
95CC05,954,227,114,113,727,33,125,118,119,77,91,164
95CC06,1096,301,123,178,795,62,170,142,156,41,77,147
95CC07,1108,227,99,128,881,72,131,88,144,99,142,205
95CC08,990,286,120,166,704,102,124,94,122,43,73,146
95CC09,1190,235,95,140,955,37,199,156,185,66,105,207
95CC10,901,186,80,106,715,18,120,151,107,49,78,192
95CC11,786,290,112,178,496,61,100,97,50,24,40,124
95CC12,890,175,76,99,715,32,85,110,126,73,100,189
95CC13,817,168,65,103,649,24,107,93,104,53,82,186
95CC14,1132,249,119,130,883,59,197,135,186,65,60,181
95CC15,1007,213,98,115,794,47,124,121,150,63,91,198
95CC16,1076,302,158,144,774,71,136,127,144,61,78,157
95CC17,897,178,78,100,719,31,106,97,121,70,97,197
95CC18,937,284,138,146,653,45,128,118,109,40,55,158
95CC19,981,242,124,118,739,41,137,104,150,56,91,160
95CC20,1127,275,114,161,852,39,187,115,194,58,79,180
95CC21,1167,307,119,188,860,70,201,156,160,58,55,160
95CC22,842,370,166,204,472,44,122,96,65,18,28,99
95DD01,836,196,111,85,640,18,137,185,88,31,41,140
95DD02,1490,345,147,198,1145,68,260,172,280,52,92,221
95DD03,1389,305,142,163,1084,73,274,204,229,51,65,188
95DD04,859,303,127,176,556,101,132,89,77,18,48,91
95DD05,685,174,51,123,511,92,115,55,70,24,53,102
95DD06,944,187,109,78,757,14,161,198,109,28,64,183
95DD07,1412,397,208,189,1015,74,203,245,191,42,73,187
95DD08,1041,485,218,267,556,51,153,85,82,14,37,134
95DD09,929,164,78,86,765,24,154,157,129,50,70,181
95DD10,1180,361,195,166,819,67,187,145,146,37,54,183
95DD11,955,301,102,199,654,109,157,58,141,36,58,95
95DD12,890,163,82,81,727,16,124,135,131,49,95,177
95DD13,741,272,114,158,469,56,88,84,70,20,49,102
95DD14,1233,259,116,143,974,50,194,185,189,49,90,217
95DD15,1174,239,93,146,935,50,168,116,180,88,111,222
95DD16,1019,197,93,104,822,30,155,113,145,57,85,237
95DD17,1148,192,93,99,956,30,175,136,190,77,120,228
95DD18,873,311,118,193,562,49,167,130,68,15,26,107
95DD19,1275,297,123,174,978,65,220,162,208,46,79,198
95DD20,826,330,101,229,496,66,119,107,54,17,38,95
95DD21,891,242,108,134,649,68,148,123,114,19,34,143
95DD22,1156,309,146,163,847,43,160,135,151,43,95,220
95DD23,881,154,81,73,727,17,119,148,145,35,75,188
95DD24,990,198,93,105,792,54,168,119,151,36,79,185
95EE01,592,93,35,58,499,25,67,72,95,50,72,118
95EE02,790,186,71,115,604,29,155,72,126,35,51,136
95EE03,808,231,85,146,577,44,131,100,114,25,51,112
95EE04,736,168,75,93,568,25,131,86,98,32,63,133
95EE05,577,135,64,71,442,14,116,76,69,18,46,103
95EE06,692,123,72,51,569,16,55,72,127,57,99,143
95EE07,740,207,107,100,533,51,97,121,113,19,45,87
95EE08,711,224,94,130,487,29,126,109,61,20,39,103
95EE09,605,95,40,55,510,11,74,86,90,32,74,143
95EE10,598,116,48,68,482,11,83,67,92,49,50,130
95EE11,551,82,46,36,469,8,84,76,60,36,65,140
95EE12,1059,310,88,222,749,97,204,90,161,24,50,123
95EE13,718,297,155,142,421,23,90,104,66,21,25,92
95EE14,1016,213,99,114,803,47,182,134,179,47,67,147
95EE15,606,129,61,68,477,11,94,68,96,33,52,123
95EE16,709,132,52,80,577,18,106,82,129,39,77,126
95FF01,1740,335,119,216,1405,114,316,175,341,70,121,268
95FF02,923,190,90,100,733,28,121,89,139,89,85,182
95FF03,1169,268,88,180,901,114,223,92,189,45,68,170
95FF04,862,136,77,59,726,18,131,108,125,74,78,192
95FF05,1119,367,145,222,752,78,164,147,151,32,35,145
95FF06,1540,354,123,231,1186,83,296,155,306,81,94,171
95FF07,1154,363,111,252,791,137,169,97,160,39,54,135
95FF08,993,351,184,167,642,48,125,126,114,28,58,143
95FF09,1000,300,111,189,700,61,145,108,134,49,64,139
95FF10,1216,228,69,159,988,40,215,125,234,84,92,198
95FF11,873,157,85,72,716,14,142,104,132,63,75,186
95FF12,1018,229,86,143,789,46,186,111,134,43,77,192
95FF13,977,218,89,129,759,36,151,115,127,69,73,188
95FF14,862,149,68,81,713,7,148,140,140,53,61,164
95FF15,1073,335,170,165,738,72,137,124,134,48,66,157
95FF16,927,255,104,151,672,44,126,134,137,33,40,158
95FF17,857,378,143,235,479,52,136,96,71,21,25,78
95GG01,2004,649,340,309,1355,116,234,292,133,40,163,377
95GG02,2568,885,307,578,1683,486,300,189,190,43,173,302
95GG03,2667,979,358,621,1688,101,500,294,343,77,89,284
95GG04,2297,960,323,637,1337,302,297,170,181,32,111,244
95GG05,2800,1078,225,853,1722,155,685,113,279,41,76,373
95GG06,2381,723,289,434,1658,238,380,258,278,55,126,323
95GG07,2269,742,217,525,1527,307,273,161,250,49,161,326
95GG08,2151,735,253,482,1416,209,347,209,253,48,102,248
95GG09,2604,802,321,481,1802,142,469,342,348,60,117,324
95GG10,2017,883,227,656,1134,164,408,123,134,21,54,230
95GG11,2686,1162,315,847,1524,193,533,204,233,42,101,218
95GG12,3429,1140,142,998,2289,142,717,79,142,47,120,1042
95GG13,2116,819,339,480,1297,150,279,229,214,55,103,267
95GG14,1817,440,227,213,1377,68,271,268,198,78,154,340
95GG15,2544,889,455,434,1655,67,431,352,347,79,106,273
95GG16,2230,776,248,528,1454,185,333,167,228,66,145,330
95GG17,2137,636,255,381,1501,283,271,207,230,57,144,309
95GG18,2143,746,221,525,1397,317,311,142,190,31,144,262
95GG19,2239,1004,424,580,1235,300,261,205,148,33,91,197
95GG20,2359,1008,324,684,1351,235,398,171,204,36,79,228
95GG21,2262,854,268,586,1408,286,318,157,158,42,132,315
95GG22,2208,783,388,395,1425,133,244,259,195,52,171,371
95GG23,1821,490,243,247,1331,53,292,300,200,68,113,305
95GG24,1945,714,306,408,1231,119,292,234,202,52,91,241
95GG25,2194,668,290,378,1526,193,261,252,205,54,198,363
95GG26,1654,563,211,352,1091,202,203,234,145,27,83,197
95GG27,2467,686,172,514,1781,257,366,206,258,71,254,369
