GeographyCode,QS213NI0001,QS213NI0002,QS213NI0003,QS213NI0004,QS213NI0005,QS213NI0006
95AA01,4202,314,51,62,25,321
95AA02,1683,175,55,52,35,183
95AA03,1736,195,58,61,41,206
95AA04,2922,281,60,69,26,295
95AA05,2586,223,49,57,23,230
95AA06,4421,153,26,33,17,156
95AA07,2070,363,82,68,24,373
95AA08,1616,126,22,27,15,132
95AA09,2105,214,50,61,26,225
95AA10,1884,155,50,49,23,160
95AA11,5109,368,76,77,43,384
95AA12,2690,497,123,117,47,515
95AA13,3147,215,44,54,34,221
95AA14,2275,421,116,114,51,435
95AA15,3906,237,63,65,34,242
95AA16,1722,184,52,51,38,189
95AA17,2044,134,36,34,18,152
95AA18,2369,313,57,91,20,334
95AA19,2555,125,32,39,18,133
95BB01,3485,317,59,64,22,337
95BB02,2280,301,69,69,32,308
95BB03,4058,839,243,222,105,872
95BB04,2959,381,81,95,34,396
95BB05,3301,650,186,196,75,682
95BB06,2778,312,88,92,34,320
95BB07,2850,287,51,57,23,294
95BB08,2508,196,54,58,31,206
95BB09,2850,317,55,70,23,328
95BB10,3242,441,85,108,32,453
95BB11,2868,372,88,106,47,384
95BB12,2651,345,71,84,30,355
95BB13,4271,515,125,145,57,535
95BB14,3036,405,92,90,34,417
95BB15,3358,381,126,87,38,403
95BB16,3052,402,75,98,32,414
95BB17,3406,357,98,99,35,368
95BB18,4094,475,109,136,39,489
95BB19,4603,398,75,94,47,419
95BB20,3297,239,76,67,25,248
95BB21,4514,1095,433,341,181,1140
95BB22,2911,242,64,62,39,250
95BB23,2941,364,67,87,35,373
95CC01,2462,61,13,10,7,63
95CC02,2613,118,27,40,19,131
95CC03,2649,39,16,10,7,49
95CC04,2348,93,20,30,10,99
95CC05,2655,79,23,32,15,89
95CC06,2648,145,35,43,25,155
95CC07,3309,99,41,33,15,102
95CC08,2446,41,11,11,8,43
95CC09,3220,290,35,82,20,307
95CC10,2505,220,33,49,19,226
95CC11,1732,46,16,20,12,46
95CC12,2650,173,36,49,19,179
95CC13,2365,125,25,32,20,126
95CC14,2892,213,52,70,33,228
95CC15,2781,161,35,42,18,170
95CC16,2715,208,49,58,19,222
95CC17,2609,100,18,35,12,104
95CC18,2270,121,31,54,29,134
95CC19,2599,169,32,39,17,173
95CC20,2857,225,51,54,29,229
95CC21,2791,276,74,87,43,300
95CC22,1676,133,34,44,26,138
95DD01,2053,462,104,112,54,475
95DD02,3720,784,204,213,80,808
95DD03,3354,614,141,176,57,643
95DD04,1836,301,86,79,40,316
95DD05,1665,273,91,77,42,281
95DD06,2537,519,107,128,35,534
95DD07,3214,926,316,261,113,956
95DD08,2051,378,107,110,44,400
95DD09,2506,755,257,202,82,777
95DD10,2710,689,250,214,112,727
95DD11,2215,219,72,65,29,243
95DD12,2506,765,253,224,86,793
95DD13,1709,202,70,64,32,214
95DD14,3177,675,160,191,89,683
95DD15,3295,581,224,176,76,621
95DD16,2892,853,321,273,98,903
95DD17,3317,591,132,150,46,607
95DD18,1822,368,121,117,62,390
95DD19,3213,756,241,228,95,781
95DD20,1688,303,101,88,45,320
95DD21,2055,354,110,103,63,376
95DD22,3012,570,175,158,68,608
95DD23,2438,882,334,254,105,922
95DD24,2616,254,53,46,24,264
95EE01,1821,252,79,46,21,264
95EE02,2004,684,289,207,100,713
95EE03,1924,534,195,151,57,558
95EE04,1923,499,188,135,60,514
95EE05,1454,593,246,192,96,616
95EE06,2178,276,102,70,27,285
95EE07,1723,582,257,179,94,612
95EE08,1678,541,203,158,67,561
95EE09,1818,497,188,159,92,522
95EE10,1706,276,89,70,27,284
95EE11,1615,574,221,156,67,601
95EE12,2376,750,318,237,116,787
95EE13,1472,439,156,130,53,451
95EE14,2565,788,309,223,86,816
95EE15,1651,621,288,185,93,663
95EE16,2029,535,198,160,61,564
