GeographyCode,QS215NI0001,QS215NI0002,QS215NI0003,QS215NI0004,QS215NI0005,QS215NI0006,QS215NI0007,QS215NI0008,QS215NI0009,QS215NI0010
95AA01,4202,242,16,26,1,12,1,22,1,3881
95AA02,1683,121,10,7,0,10,0,31,4,1500
95AA03,1736,133,11,11,1,10,3,36,1,1530
95AA04,2922,204,21,30,0,14,1,24,1,2627
95AA05,2586,162,11,18,0,16,1,22,0,2356
95AA06,4421,119,3,10,1,7,0,15,1,4265
95AA07,2070,268,36,23,0,22,0,23,1,1697
95AA08,1616,100,5,9,0,3,1,14,0,1484
95AA09,2105,155,7,19,1,18,0,24,1,1880
95AA10,1884,97,14,13,0,13,0,22,1,1724
95AA11,5109,283,22,22,2,14,1,39,1,4725
95AA12,2690,353,45,38,0,32,1,44,2,2175
95AA13,3147,160,7,15,0,5,2,29,3,2926
95AA14,2275,283,37,35,1,29,0,49,1,1840
95AA15,3906,161,16,16,0,15,2,32,0,3664
95AA16,1722,127,11,10,0,3,0,37,1,1533
95AA17,2044,107,11,8,0,8,1,12,5,1892
95AA18,2369,228,15,48,0,23,1,19,0,2035
95AA19,2555,88,6,13,0,8,0,17,1,2422
95BB01,3485,245,27,30,1,13,2,19,0,3148
95BB02,2280,214,23,24,0,15,1,28,3,1972
95BB03,4058,555,86,63,8,63,3,93,1,3186
95BB04,2959,274,27,41,0,20,0,34,0,2563
95BB05,3301,417,66,76,2,48,1,67,5,2619
95BB06,2778,205,23,27,0,31,0,34,0,2458
95BB07,2850,218,19,23,0,11,2,21,0,2556
95BB08,2508,131,17,21,0,6,0,25,6,2302
95BB09,2850,241,17,32,0,15,0,22,1,2522
95BB10,3242,317,28,50,0,26,1,29,2,2789
95BB11,2868,257,21,38,0,21,1,43,3,2484
95BB12,2651,245,26,37,0,17,2,27,1,2296
95BB13,4271,353,36,53,1,36,3,47,6,3736
95BB14,3036,296,31,27,0,29,2,29,3,2619
95BB15,3358,262,54,14,0,35,1,37,0,2955
95BB16,3052,298,17,41,0,26,0,31,1,2638
95BB17,3406,229,38,40,0,26,1,32,2,3038
95BB18,4094,323,30,56,0,41,1,36,2,3605
95BB19,4603,307,17,33,1,15,3,31,12,4184
95BB20,3297,157,24,15,0,27,0,24,1,3049
95BB21,4514,653,145,52,1,109,1,169,10,3374
95BB22,2911,177,10,7,0,17,2,33,4,2661
95BB23,2941,266,20,40,0,12,0,34,1,2568
95CC01,2462,49,4,1,0,2,0,7,0,2399
95CC02,2613,86,5,18,0,3,0,18,1,2482
95CC03,2649,31,8,1,0,2,1,6,0,2600
95CC04,2348,64,5,15,0,5,0,10,0,2249
95CC05,2655,55,2,11,0,6,0,15,0,2566
95CC06,2648,103,8,14,1,5,2,21,1,2493
95CC07,3309,57,11,4,0,15,0,14,1,3207
95CC08,2446,31,1,1,0,2,0,7,1,2403
95CC09,3220,217,8,54,0,8,1,19,0,2913
95CC10,2505,171,6,22,0,8,0,19,0,2279
95CC11,1732,26,0,4,0,4,0,12,0,1686
95CC12,2650,120,10,22,0,8,1,16,2,2471
95CC13,2365,93,1,8,0,4,0,20,0,2239
95CC14,2892,149,9,27,0,10,0,29,4,2664
95CC15,2781,118,10,17,0,7,0,16,2,2611
95CC16,2715,144,18,26,1,15,2,15,1,2493
95CC17,2609,69,0,16,0,7,1,11,0,2505
95CC18,2270,75,4,20,1,6,7,21,0,2136
95CC19,2599,124,10,17,0,5,0,16,1,2426
95CC20,2857,162,12,14,1,12,1,25,2,2628
95CC21,2791,194,17,27,0,19,5,32,6,2491
95CC22,1676,87,7,14,0,4,3,21,2,1538
95DD01,2053,330,33,39,0,19,2,47,5,1578
95DD02,3720,521,73,81,0,53,2,75,3,2912
95DD03,3354,421,45,78,1,42,2,54,0,2711
95DD04,1836,207,30,22,0,17,1,37,2,1520
95DD05,1665,174,27,15,1,23,0,39,2,1384
95DD06,2537,378,28,49,0,44,0,32,3,2003
95DD07,3214,576,116,59,0,92,5,103,5,2258
95DD08,2051,262,27,31,0,36,0,40,4,1651
95DD09,2506,482,93,36,0,84,2,77,3,1729
95DD10,2710,431,81,44,0,59,2,105,5,1983
95DD11,2215,158,19,13,0,24,0,22,7,1972
95DD12,2506,486,79,51,2,91,1,79,4,1713
95DD13,1709,122,27,20,1,13,1,27,3,1495
95DD14,3177,460,32,59,0,43,4,85,0,2494
95DD15,3295,358,85,37,2,65,0,70,4,2674
95DD16,2892,510,119,70,1,106,1,92,4,1989
95DD17,3317,420,36,54,0,51,1,43,2,2710
95DD18,1822,233,40,34,0,21,2,57,3,1432
95DD19,3213,465,88,73,0,60,2,90,3,2432
95DD20,1688,194,38,24,0,19,1,44,0,1368
95DD21,2055,241,29,23,2,20,0,58,3,1679
95DD22,3012,382,66,50,1,42,0,63,4,2404
95DD23,2438,532,135,53,0,97,3,99,3,1516
95DD24,2616,199,19,12,0,10,0,20,4,2352
95EE01,1821,177,41,7,0,18,1,18,2,1557
95EE02,2004,391,114,31,1,77,1,98,0,1291
95EE03,1924,323,83,39,1,56,0,52,4,1366
95EE04,1923,300,79,26,0,49,0,58,2,1409
95EE05,1454,335,89,35,0,61,0,94,2,838
95EE06,2178,174,41,9,0,34,0,26,1,1893
95EE07,1723,332,101,22,0,63,1,84,9,1111
95EE08,1678,327,76,29,0,62,2,64,1,1117
95EE09,1818,294,69,37,0,30,3,88,1,1296
95EE10,1706,179,35,16,0,27,0,26,1,1422
95EE11,1615,341,102,37,2,54,0,63,2,1014
95EE12,2376,411,139,56,0,65,2,110,4,1589
95EE13,1472,258,62,33,1,45,3,47,2,1021
95EE14,2565,460,132,45,1,93,1,81,3,1749
95EE15,1651,345,133,28,0,64,2,90,1,988
95EE16,2029,312,88,50,4,53,0,55,2,1465
95FF01,4566,212,15,27,2,14,0,41,0,4255
95FF02,2659,113,10,18,0,15,1,27,1,2474
95FF03,2850,108,4,14,0,6,1,22,4,2691
95FF04,2512,217,13,32,0,18,1,30,4,2197
95FF05,2442,122,12,15,1,12,1,20,0,2259
95FF06,3918,205,9,30,1,17,0,23,2,3631
95FF07,2616,56,6,7,2,8,0,28,1,2508
95FF08,2277,124,9,15,1,4,0,21,0,2103
95FF09,2421,120,5,14,1,4,0,7,0,2270
95FF10,3297,224,18,49,1,27,1,36,8,2933
95FF11,2466,187,25,25,0,14,0,40,0,2175
95FF12,2614,103,2,8,0,3,0,26,0,2472
95FF13,2583,117,14,16,0,12,2,8,0,2414
95FF14,2362,165,13,21,0,13,0,14,1,2135
95FF15,2593,158,18,21,0,13,1,32,1,2349
95FF16,2279,145,4,25,1,11,0,28,0,2065
95FF17,1657,63,4,12,0,1,0,21,0,1556
95GG01,4771,58,1,9,1,3,0,12,0,4687
95GG02,5669,63,0,4,1,2,1,25,1,5572
95GG03,5714,310,23,48,0,18,1,51,2,5261
95GG04,4662,121,11,11,3,12,4,37,2,4461
95GG05,5692,202,14,49,2,11,4,37,1,5372
95GG06,5391,202,14,34,0,9,2,40,2,5088
95GG07,5223,63,3,13,5,3,3,17,0,5116
95GG08,4655,123,7,14,1,3,0,41,3,4463
95GG09,5904,305,22,59,1,8,3,50,3,5453
95GG10,3857,214,12,35,3,11,2,35,0,3545
95GG11,5224,275,26,35,2,19,1,37,3,4826
95GG12,8735,311,56,50,6,22,4,57,2,8227
95GG13,4527,183,16,29,1,14,4,35,4,4241
95GG14,4653,211,15,31,3,14,3,28,4,4344
95GG15,5715,309,20,66,0,17,2,25,3,5273
95GG16,5210,168,9,24,0,8,2,35,1,4963
95GG17,5085,112,11,22,0,4,1,30,0,4905
95GG18,4720,67,3,17,0,2,1,25,2,4603
95GG19,4386,152,10,11,4,1,1,51,4,4152
95GG20,4659,177,12,22,0,11,1,85,2,4349
95GG21,4953,80,1,7,0,2,0,25,1,4837
95GG22,5147,55,13,7,0,3,0,8,0,5061
95GG23,4413,178,13,22,2,12,1,35,4,4146
95GG24,4383,206,13,34,1,6,2,41,4,4076
95GG25,5366,56,6,4,1,3,1,15,3,5277
95GG26,3587,133,20,14,0,5,1,33,7,3374
95GG27,6230,56,8,3,0,2,1,36,1,6123
95GG28,5395,212,9,17,1,2,1,53,2,5098
95GG29,4739,171,17,20,1,7,4,49,4,4466
95GG30,4654,254,11,26,2,6,0,33,5,4317
95GG31,6297,99,8,6,2,2,0,20,1,6159
95GG32,6072,166,18,25,1,3,4,42,5,5808
95GG33,5417,261,12,31,2,13,0,27,4,5067
95GG34,4741,153,8,44,2,9,0,38,0,4487
95GG35,4729,89,2,10,0,7,7,31,3,4580
95GG36,5370,278,14,35,1,22,3,38,2,4977
95GG37,5824,301,9,62,1,17,0,44,5,5385
95GG38,6301,236,12,49,0,17,0,37,3,5947
95GG39,6952,247,23,50,2,4,9,50,3,6564
95GG40,3654,145,13,10,3,3,3,66,3,3408
95GG41,5382,333,20,58,2,21,4,34,4,4906
95GG42,7931,415,35,76,1,35,2,40,1,7326
95GG43,4659,194,18,27,4,10,3,41,4,4358
95GG44,5338,200,25,21,0,18,4,70,6,4994
95GG45,4658,210,21,39,0,15,2,43,2,4326
95GG46,5049,32,10,4,2,1,1,10,0,4989
