GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
95AA01,1522,296,82,191,5,18,902,290,529,7,76,324,45,102,124,52,1
95AA02,839,346,107,229,1,9,380,116,254,0,10,113,19,22,64,8,0
95AA03,845,323,21,277,1,24,400,31,355,1,13,122,18,62,32,10,0
95AA04,1014,171,47,115,1,8,694,170,507,3,14,149,19,42,67,21,0
95AA05,920,192,105,85,0,2,608,384,213,2,9,120,14,19,66,21,0
95AA06,1570,356,224,124,1,7,1050,893,148,0,9,164,27,15,111,11,0
95AA07,820,201,35,163,0,3,520,59,450,3,8,99,9,31,46,12,1
95AA08,699,215,91,110,0,14,358,160,177,1,20,126,21,20,68,13,4
95AA09,943,307,61,223,2,21,483,91,354,6,32,153,17,49,70,15,2
95AA10,792,199,86,100,2,11,454,191,243,4,16,139,26,31,60,21,1
95AA11,1993,487,185,273,6,23,1086,429,594,7,56,420,53,80,233,52,2
95AA12,971,180,16,160,1,3,646,17,617,3,9,145,10,63,57,15,0
95AA13,1239,326,177,136,0,13,745,548,187,2,8,168,41,15,93,18,1
95AA14,779,130,32,96,0,2,551,188,353,4,6,98,6,29,54,8,1
95AA15,1595,395,193,175,3,24,840,365,417,19,39,360,65,83,156,52,4
95AA16,832,318,60,233,2,23,410,63,324,2,21,104,12,34,41,17,0
95AA17,855,237,76,144,4,13,439,179,234,5,21,179,24,50,81,23,1
95AA18,1004,257,32,204,8,13,584,48,524,5,7,163,15,61,76,10,1
95AA19,832,157,132,22,1,2,619,583,33,1,2,56,7,7,37,5,0
95BB01,1307,270,29,225,3,13,857,72,755,4,26,180,10,80,67,22,1
95BB02,1126,438,39,373,2,24,554,31,495,5,23,134,8,65,46,12,3
95BB03,1776,477,16,431,7,23,1074,35,988,5,46,225,13,123,67,17,5
95BB04,1307,349,26,302,3,18,797,34,732,5,26,161,6,86,44,24,1
95BB05,1318,282,10,252,5,15,850,8,815,6,21,186,3,122,45,13,3
95BB06,1518,680,73,555,19,33,643,48,543,8,44,195,18,88,71,16,2
95BB07,1315,431,19,389,6,17,739,13,684,5,37,145,4,93,37,10,1
95BB08,1068,279,13,253,6,7,658,15,608,2,33,131,11,66,40,13,1
95BB09,1253,340,14,297,2,27,767,22,713,3,29,146,8,99,27,10,2
95BB10,1509,515,36,435,5,39,805,22,744,4,35,189,16,92,58,22,1
95BB11,1338,477,24,423,4,26,718,21,672,7,18,143,6,93,36,8,0
95BB12,1130,291,31,235,6,19,649,36,569,8,36,190,14,101,53,21,1
95BB13,1687,323,27,274,7,15,1118,41,1004,8,65,246,12,135,82,14,3
95BB14,1172,259,12,230,2,15,733,25,677,6,25,180,6,103,55,16,0
95BB15,1287,301,173,119,2,7,751,451,282,1,17,235,35,38,136,25,1
95BB16,1176,225,15,200,1,9,786,13,751,2,20,165,10,79,47,27,2
95BB17,1399,335,16,298,1,20,831,28,737,5,61,233,9,135,63,26,0
95BB18,1638,372,15,332,5,20,1007,15,936,5,51,259,11,145,74,27,2
95BB19,1724,301,22,267,4,8,1123,52,1012,6,53,300,20,148,96,34,2
95BB20,1290,369,275,83,2,9,754,641,94,1,18,167,28,14,115,9,1
95BB21,1821,440,41,380,4,15,1125,115,967,8,35,256,13,152,67,23,1
95BB22,1194,320,22,278,2,18,689,25,610,2,52,185,7,127,36,15,0
95BB23,1161,236,23,195,4,14,733,55,652,4,22,192,8,103,59,19,3
95CC01,904,234,213,16,0,5,613,578,27,2,6,57,17,4,32,3,1
95CC02,875,171,117,51,0,3,653,463,187,0,3,51,11,3,31,6,0
95CC03,1127,367,293,67,1,6,688,623,41,4,20,72,38,8,22,3,1
