GeographyCode,QS408NI0001,QS408NI0002,QS408NI0003,QS408NI0004,QS408NI0005
95AA01,1522,1076,431,13,2
95AA02,839,623,208,6,2
95AA03,845,609,222,12,2
95AA04,1014,763,240,10,1
95AA05,920,633,269,12,6
95AA06,1570,926,611,27,6
95AA07,820,599,212,8,1
95AA08,699,464,224,10,1
95AA09,943,664,269,9,1
95AA10,792,566,217,9,0
95AA11,1993,1373,606,11,3
95AA12,971,777,186,6,2
95AA13,1239,834,383,17,5
95AA14,779,589,180,8,2
95AA15,1595,1012,550,27,6
95AA16,832,577,242,12,1
95AA17,855,559,279,15,2
95AA18,1004,839,156,8,1
95AA19,832,500,295,31,6
95BB01,1307,902,397,7,1
95BB02,1126,888,226,11,1
95BB03,1776,1327,431,14,4
95BB04,1307,1067,234,3,3
95BB05,1318,1003,303,9,3
95BB06,1518,1156,348,10,4
95BB07,1315,998,304,11,2
95BB08,1068,688,366,12,2
95BB09,1253,962,279,8,4
95BB10,1509,1265,225,13,6
95BB11,1338,1032,297,6,3
95BB12,1130,833,277,15,5
95BB13,1687,1131,527,22,7
95BB14,1172,920,246,6,0
95BB15,1287,892,380,11,4
95BB16,1176,943,226,6,1
95BB17,1399,924,455,15,5
95BB18,1638,1204,421,11,2
95BB19,1724,1149,559,12,4
95BB20,1290,834,430,24,2
95BB21,1821,1286,516,18,1
95BB22,1194,758,413,18,5
95BB23,1161,868,284,7,2
95CC01,904,583,293,24,4
95CC02,875,563,288,20,4
95CC03,1127,700,380,32,15
95CC04,790,493,276,19,2
95CC05,954,650,280,19,5
95CC06,1096,814,269,11,2
95CC07,1108,691,397,16,4
95CC08,990,660,310,17,3
95CC09,1190,871,308,11,0
95CC10,901,687,208,5,1
95CC11,786,567,201,16,2
95CC12,890,588,285,14,3
95CC13,817,559,233,22,3
95CC14,1132,798,325,7,2
95CC15,1007,690,298,14,5
95CC16,1076,762,304,7,3
95CC17,897,592,296,4,5
95CC18,937,749,169,11,8
95CC19,981,694,275,10,2
95CC20,1127,778,334,14,1
95CC21,1167,853,304,8,2
95CC22,842,655,174,9,4
95DD01,836,683,151,0,2
95DD02,1490,1087,396,6,1
95DD03,1389,1119,263,4,3
95DD04,859,603,240,12,4
95DD05,685,418,241,23,3
95DD06,944,726,207,9,2
95DD07,1412,1097,306,6,3
95DD08,1041,775,239,22,5
95DD09,929,744,179,5,1
95DD10,1180,863,298,15,4
95DD11,955,618,310,19,8
95DD12,890,665,214,11,0
95DD13,741,529,193,16,3
95DD14,1233,932,286,13,2
95DD15,1174,807,350,13,4
95DD16,1019,764,246,7,2
95DD17,1148,822,316,7,3
95DD18,873,686,176,9,2
95DD19,1275,916,350,6,3
95DD20,826,607,205,12,2
95DD21,891,638,236,12,5
95DD22,1156,851,282,18,5
95DD23,881,684,191,3,3
95DD24,990,663,306,18,3
95EE01,592,345,230,12,5
95EE02,790,561,217,11,1
95EE03,808,580,218,8,2
95EE04,736,482,243,9,2
95EE05,577,431,138,6,2
95EE06,692,381,283,23,5
95EE07,740,534,198,7,1
95EE08,711,564,140,7,0
95EE09,605,377,214,10,4
95EE10,598,358,220,16,4
95EE11,551,367,175,6,3
95EE12,1059,742,298,14,5
95EE13,718,574,136,6,2
95EE14,1016,736,266,13,1
95EE15,606,413,181,11,1
95EE16,709,474,214,17,4
95FF01,1740,1295,434,10,1
95FF02,923,600,306,16,1
95FF03,1169,769,377,18,5
95FF04,862,615,238,9,0
95FF05,1119,835,272,11,1
95FF06,1540,1091,437,9,3
95FF07,1154,755,383,15,1
95FF08,993,735,255,3,0
95FF09,1000,696,286,15,3
95FF10,1216,859,340,12,5
95FF11,873,617,246,9,1
95FF12,1018,717,293,7,1
95FF13,977,706,256,12,3
95FF14,862,690,167,4,1
95FF15,1073,739,315,16,3
95FF16,927,721,199,5,2
95FF17,857,648,197,10,2
95GG01,2004,1367,594,32,11
95GG02,2568,1616,867,71,14
95GG03,2667,2119,515,19,14
95GG04,2297,1568,674,45,10
95GG05,2800,2069,676,42,13
95GG06,2381,1669,664,39,9
95GG07,2269,1370,797,75,27
95GG08,2151,1512,596,33,10
95GG09,2604,1896,669,33,6
95GG10,2017,1478,491,40,8
95GG11,2686,2096,545,28,17
95GG12,3429,1888,1376,108,57
95GG13,2116,1558,529,23,6
95GG14,1817,1326,481,7,3
95GG15,2544,2008,517,11,8
95GG16,2230,1612,585,24,9
95GG17,2137,1426,668,33,10
95GG18,2143,1335,721,76,11
95GG19,2239,1599,602,33,5
95GG20,2359,1623,663,41,32
95GG21,2262,1428,746,69,19
95GG22,2208,1492,667,41,8
95GG23,1821,1366,433,18,4
95GG24,1945,1445,461,30,9
95GG25,2194,1394,734,50,16
95GG26,1654,1134,493,24,3
95GG27,2467,1459,922,65,21
95GG28,2325,1534,757,29,5
95GG29,2430,1641,725,53,11
95GG30,2083,1567,498,14,4
95GG31,2463,1524,888,37,14
95GG32,2649,1765,824,44,16
95GG33,2195,1760,414,14,7
95GG34,1999,1395,581,16,7
95GG35,2244,1504,677,51,12
95GG36,2481,1820,635,21,5
95GG37,2687,2032,633,15,7
95GG38,2915,2212,674,20,9
95GG39,3616,2411,1068,96,41
95GG40,1861,1335,488,30,8
95GG41,2173,1796,368,6,3
95GG42,2606,1897,678,17,14
95GG43,2316,1723,568,20,5
95GG44,2705,1847,765,74,19
95GG45,2129,1596,502,24,7
95GG46,1932,1095,754,64,19
95GG47,2641,1876,694,48,23
95GG48,2051,1056,868,104,23
95GG49,3351,2136,1052,99,64
95GG50,2653,1908,680,50,15
95GG51,2081,1580,468,29,4
95HH01,890,696,191,3,0
95HH02,1063,767,290,4,2
95HH03,726,587,134,4,1
95HH04,1160,828,329,3,0
95HH05,908,590,308,9,1
95HH06,1682,1190,481,9,2
95HH07,733,567,162,4,0
95HH08,1083,843,230,8,2
95HH09,1423,1134,275,12,2
95HH10,945,764,177,3,1
95HH11,655,462,189,2,2
95HH12,626,425,192,9,0
95HH13,614,417,189,6,2
95HH14,764,587,171,5,1
95HH15,1083,808,263,10,2
95HH16,917,750,162,4,1
95HH17,928,659,259,9,1
95II01,1260,979,275,4,2
95II02,1911,1481,414,12,4
95II03,1304,902,381,16,5
95II04,1672,1115,532,20,5
95II05,1301,920,357,17,7
95II06,1285,881,389,11,4
95II07,991,724,247,16,4
95II08,1073,757,305,10,1
95II09,1417,1016,380,16,5
95II10,1144,806,322,15,1
95II11,1055,802,246,5,2
95II12,1007,765,235,4,3
95II13,1253,950,282,18,3
95II14,1026,794,230,2,0
95II15,1319,997,306,14,2
95II16,890,623,259,8,0
95II17,1190,958,229,3,0
95II18,1090,793,284,8,5
95II19,1389,1027,350,11,1
95II20,1211,905,291,13,2
95II21,1045,690,341,13,1
