GeographyCode,QS411NI0001,QS411NI0002,QS411NI0003
95AA01,1653,1653,0
95AA02,929,929,0
95AA03,880,880,0
95AA04,1061,1061,0
95AA05,960,960,0
95AA06,1629,1629,0
95AA07,854,854,0
95AA08,734,734,0
95AA09,975,975,0
95AA10,812,812,0
95AA11,2044,2044,0
95AA12,1014,1014,0
95AA13,1311,1310,1
95AA14,820,820,0
95AA15,1641,1641,0
95AA16,865,865,0
95AA17,884,884,0
95AA18,1076,1076,0
95AA19,848,848,0
95BB01,1356,1356,0
95BB02,1167,1167,0
95BB03,1970,1970,0
95BB04,1358,1358,0
95BB05,1405,1405,0
95BB06,1670,1670,0
95BB07,1383,1383,0
95BB08,1083,1083,0
95BB09,1332,1332,0
95BB10,1685,1685,0
95BB11,1432,1432,0
95BB12,1191,1191,0
95BB13,1728,1728,0
95BB14,1251,1251,0
95BB15,1408,1408,0
95BB16,1231,1231,0
95BB17,1447,1447,0
95BB18,1759,1759,0
95BB19,1771,1771,0
95BB20,1441,1441,0
95BB21,2077,2077,0
95BB22,1239,1239,0
95BB23,1185,1185,0
95CC01,956,956,0
95CC02,931,931,0
95CC03,1200,1200,0
95CC04,891,891,0
95CC05,1021,1021,0
95CC06,1150,1150,0
95CC07,1234,1234,0
95CC08,1056,1056,0
95CC09,1290,1290,0
95CC10,974,974,0
95CC11,896,896,0
95CC12,959,959,0
95CC13,869,869,0
95CC14,1192,1192,0
95CC15,1092,1092,0
95CC16,1126,1126,0
95CC17,971,971,0
95CC18,1017,1017,0
95CC19,1053,1053,0
95CC20,1165,1165,0
95CC21,1237,1237,0
95CC22,911,911,0
95DD01,881,881,0
95DD02,1533,1533,0
95DD03,1431,1431,0
95DD04,886,886,0
95DD05,705,705,0
95DD06,967,967,0
95DD07,1467,1467,0
95DD08,1098,1098,0
95DD09,981,981,0
95DD10,1224,1224,0
95DD11,974,974,0
95DD12,934,934,0
95DD13,768,768,0
95DD14,1288,1288,0
95DD15,1228,1228,0
95DD16,1092,1092,0
95DD17,1207,1207,0
95DD18,933,933,0
95DD19,1319,1319,0
95DD20,866,866,0
95DD21,927,927,0
95DD22,1209,1209,0
95DD23,950,950,0
95DD24,1005,1005,0
95EE01,600,600,0
95EE02,823,823,0
95EE03,838,838,0
95EE04,758,758,0
95EE05,600,600,0
95EE06,712,712,0
95EE07,767,767,0
95EE08,777,777,0
95EE09,632,632,0
95EE10,619,619,0
95EE11,567,567,0
95EE12,1095,1095,0
95EE13,784,783,1
95EE14,1060,1060,0
95EE15,628,628,0
95EE16,757,757,0
95FF01,1795,1795,0
95FF02,1007,1007,0
95FF03,1216,1216,0
95FF04,920,920,0
95FF05,1193,1192,1
95FF06,1608,1608,0
95FF07,1222,1222,0
95FF08,1040,1040,0
95FF09,1066,1066,0
95FF10,1309,1309,0
95FF11,938,938,0
95FF12,1059,1059,0
95FF13,1019,1019,0
95FF14,953,953,0
95FF15,1136,1136,0
95FF16,976,976,0
95FF17,919,919,0
95GG01,2054,2053,1
95GG02,2697,2697,0
95GG03,2816,2815,1
95GG04,2450,2450,0
95GG05,3053,3052,1
95GG06,2485,2485,0
95GG07,2409,2409,0
95GG08,2312,2312,0
95GG09,2738,2738,0
95GG10,2220,2220,0
95GG11,2865,2864,1
95GG12,4488,4479,9
95GG13,2237,2237,0
95GG14,1860,1860,0
95GG15,2669,2668,1
95GG16,2390,2386,4
95GG17,2237,2237,0
95GG18,2283,2283,0
95GG19,2364,2363,1
95GG20,2877,2875,2
95GG21,2417,2417,0
