ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS605NI0001","Count","PERSONS","All usual residents in employment: Aged 16-74 years"
"QS605NI0002","Count","PERSONS","1. Managers, directors and senior officials: Aged 16-74 years"
"QS605NI0003","Count","PERSONS","11. Corporate managers and directors: Aged 16-74 years"
"QS605NI0004","Count","PERSONS","12. Other managers and proprietors: Aged 16-74 years"
"QS605NI0005","Count","PERSONS","2. Professional occupations: Aged 16-74 years"
"QS605NI0006","Count","PERSONS","21. Science, research, engineering and technology professionals: Aged 16-74 years"
"QS605NI0007","Count","PERSONS","22. Health professionals: Aged 16-74 years"
"QS605NI0008","Count","PERSONS","23. Teaching and educational professionals: Aged 16-74 years"
"QS605NI0009","Count","PERSONS","24. Business, media and public service professionals: Aged 16-74 years"
"QS605NI0010","Count","PERSONS","3. Associate professional and technical occupations: Aged 16-74 years"
"QS605NI0011","Count","PERSONS","31. Science, engineering and technology associate professionals: Aged 16-74 years"
"QS605NI0012","Count","PERSONS","32. Health and social care associate professionals: Aged 16-74 years"
"QS605NI0013","Count","PERSONS","33. Protective service occupations: Aged 16-74 years"
"QS605NI0014","Count","PERSONS","34. Culture, media and sports occupations: Aged 16-74 years"
"QS605NI0015","Count","PERSONS","35. Business and public service associate professionals: Aged 16-74 years"
"QS605NI0016","Count","PERSONS","4. Administrative and secretarial occupations: Aged 16-74 years"
"QS605NI0017","Count","PERSONS","41. Administrative occupations: Aged 16-74 years"
"QS605NI0018","Count","PERSONS","42. Secretarial and related occupations: Aged 16-74 years"
"QS605NI0019","Count","PERSONS","5. Skilled trades occupations: Aged 16-74 years"
"QS605NI0020","Count","PERSONS","51. Skilled agricultural and related trades: Aged 16-74 years"
"QS605NI0021","Count","PERSONS","52. Skilled metal, electrical and electronic trades: Aged 16-74 years"
"QS605NI0022","Count","PERSONS","53. Skilled construction and building trades: Aged 16-74 years"
"QS605NI0023","Count","PERSONS","54. Textiles, printing and other skilled trades: Aged 16-74 years"
"QS605NI0024","Count","PERSONS","6. Caring, leisure and other service occupations: Aged 16-74 years"
"QS605NI0025","Count","PERSONS","61: Caring personal service occupations: Aged 16-74 years"
"QS605NI0026","Count","PERSONS","62. Leisure, travel and related personal service occupations: Aged 16-74 years"
"QS605NI0027","Count","PERSONS","7. Sales and customer service occupations: Aged 16-74 years"
"QS605NI0028","Count","PERSONS","71. Sales occupations: Aged 16-74 years"
"QS605NI0029","Count","PERSONS","72. Customer service occupations: Aged 16-74 years"
"QS605NI0030","Count","PERSONS","8. Process, plant and machine operatives: Aged 16-74 years"
"QS605NI0031","Count","PERSONS","81. Process, plant and machine operatives: Aged 16-74 years"
"QS605NI0032","Count","PERSONS","82. Transport and mobile machine drivers and operatives: Aged 16-74 years"
"QS605NI0033","Count","PERSONS","9. Elementary occupations: Aged 16-74 years"
"QS605NI0034","Count","PERSONS","91. Elementary trades and related occupations: Aged 16-74 years"
"QS605NI0035","Count","PERSONS","92. Elementary administration and service occupations: Aged 16-74 years"
