GeographyCode,QS608NI0001,QS608NI0002,QS608NI0003,QS608NI0004,QS608NI0005,QS608NI0006,QS608NI0007,QS608NI0008,QS608NI0009,QS608NI0010,QS608NI0011,QS608NI0012,QS608NI0013,QS608NI0014
95AA01,4290,580,143,437,1280,580,775,328,309,340,77,53,24,21
95AA02,1734,76,13,63,326,216,112,251,296,383,68,34,34,6
95AA03,1822,67,22,45,244,231,94,239,407,427,106,70,36,7
95AA04,3002,365,109,256,727,274,837,271,200,254,53,30,23,21
95AA05,2654,283,68,215,615,288,524,272,264,323,66,42,24,19
95AA06,4604,336,121,215,1128,663,593,401,666,574,193,112,81,50
95AA07,2119,197,47,150,395,209,461,168,249,365,68,40,28,7
95AA08,1676,38,13,25,247,236,90,198,296,426,131,78,53,14
95AA09,2143,151,22,129,357,253,142,212,507,411,90,65,25,20
95AA10,1953,149,46,103,373,214,151,217,322,380,135,105,30,12
95AA11,5129,492,117,375,1347,713,554,533,670,681,114,74,40,25
95AA12,2775,454,133,321,755,347,628,219,139,190,43,28,15,0
95AA13,3268,407,109,298,736,392,429,262,396,500,114,71,43,32
95AA14,2302,330,81,249,530,248,573,163,184,193,74,57,17,7
95AA15,4102,281,50,231,983,572,300,443,614,730,153,93,60,26
95AA16,1807,62,12,50,240,212,112,236,381,448,96,56,40,20
95AA17,2142,158,53,105,410,222,196,204,374,460,108,64,44,10
95AA18,2373,474,78,396,696,289,465,118,172,113,41,36,5,5
95AA19,2645,162,44,118,435,207,710,229,294,421,179,154,25,8
95BB01,3609,450,130,320,790,497,655,349,376,412,60,26,34,20
95BB02,2334,133,50,83,357,263,281,226,443,472,150,79,71,9
95BB03,4217,333,71,262,799,528,706,441,650,575,159,86,73,26
95BB04,3009,440,83,357,785,401,425,265,332,281,71,42,29,9
95BB05,3401,326,80,246,735,429,864,273,345,362,64,41,23,3
95BB06,2870,102,28,74,453,362,217,259,644,646,165,114,51,22
95BB07,2896,229,50,179,574,427,336,334,490,404,82,53,29,20
95BB08,2625,160,29,131,478,336,310,308,422,505,86,57,29,20
95BB09,2909,388,86,302,819,482,334,212,302,313,51,21,30,8
95BB10,3278,474,107,367,845,434,522,196,395,301,98,66,32,13
95BB11,2903,204,51,153,616,408,339,279,453,467,117,61,56,20
95BB12,2776,290,74,216,575,260,245,282,506,443,154,77,77,21
95BB13,4438,424,109,315,1039,582,507,395,751,547,155,85,70,38
95BB14,3088,598,108,490,875,302,685,166,200,196,54,44,10,12
95BB15,3489,244,42,202,612,392,961,247,353,505,164,95,69,11
95BB16,3133,558,102,456,809,393,692,166,216,264,29,25,4,6
95BB17,3535,215,66,149,734,483,592,362,568,432,118,70,48,31
95BB18,4212,425,97,328,994,583,756,397,482,433,111,67,44,31
95BB19,4725,452,105,347,1176,814,503,610,602,483,71,45,26,14
95BB20,3368,184,26,158,654,321,787,222,405,596,160,100,60,39
95BB21,4699,305,51,254,891,497,1069,439,698,626,158,110,48,16
95BB22,2993,196,72,124,418,383,273,310,637,561,200,99,101,15
95BB23,2976,335,88,247,834,519,381,267,369,214,41,24,17,16
95CC01,2376,100,32,68,427,244,374,167,370,455,226,138,88,13
95CC02,2693,196,33,163,461,188,876,150,255,408,143,77,66,16
95CC03,2791,56,5,51,362,308,261,241,501,639,385,274,111,38
95CC04,2384,102,18,84,366,168,768,181,200,462,129,76,53,8
95CC05,2749,214,64,150,467,240,634,198,326,540,124,75,49,6
95CC06,2750,319,131,188,722,345,368,209,325,338,115,70,45,9
95CC07,3475,172,35,137,601,280,960,242,364,552,261,185,76,43
95CC08,2511,149,26,123,504,206,318,180,376,464,287,186,101,27
95CC09,3323,368,101,267,618,332,861,272,364,438,58,42,16,12
95CC10,2495,304,79,225,571,213,615,183,245,285,64,37,27,15
95CC11,1787,67,20,47,285,131,290,133,224,434,207,148,59,16
95CC12,2751,169,41,128,443,230,881,242,287,380,109,65,44,10
95CC13,2474,160,52,108,421,175,764,190,279,384,90,65,25,11
95CC14,3017,219,43,176,656,381,538,302,392,447,67,47,20,15
95CC15,2893,241,43,198,547,277,576,295,372,476,96,73,23,13
95CC16,2801,185,45,140,456,283,553,245,424,481,141,88,53,33
95CC17,2724,221,47,174,535,197,802,203,258,387,112,62,50,9
95CC18,2309,322,58,264,618,226,292,184,230,308,114,64,50,15
95CC19,2720,245,69,176,526,259,765,209,251,327,122,99,23,16
95CC20,2966,310,107,203,698,438,339,293,442,372,68,30,38,6
95CC21,2925,248,61,187,530,393,380,263,484,480,109,60,49,38
95CC22,1724,98,30,68,312,225,132,174,328,346,95,56,39,14
95DD01,2031,370,83,287,494,237,250,165,234,210,62,52,10,9
95DD02,3872,401,104,297,741,436,443,530,681,525,99,57,42,16
95DD03,3474,551,134,417,960,368,381,333,480,303,68,27,41,30
95DD04,1926,48,17,31,184,139,98,237,511,493,191,126,65,25
95DD05,1739,68,30,38,171,147,129,173,455,410,177,114,63,9
95DD06,2427,357,94,263,609,305,279,209,332,280,46,38,8,10
95DD07,3363,422,127,295,761,318,405,289,506,540,95,61,34,27
95DD08,2083,59,18,41,306,172,147,193,535,486,162,111,51,23
95DD09,2572,287,63,224,486,234,714,228,317,223,74,42,32,9
95DD10,2805,143,41,102,458,239,291,361,610,542,140,80,60,21
95DD11,2363,87,23,64,342,182,230,228,557,467,253,162,91,17
95DD12,2582,240,41,199,452,193,755,247,315,316,53,33,20,11
95DD13,1743,81,18,63,286,139,181,230,375,315,127,80,47,9
95DD14,3268,503,130,373,875,313,449,312,416,322,73,44,29,5
95DD15,3451,395,83,312,727,257,851,271,382,426,136,91,45,6
95DD16,2943,311,46,265,670,224,777,254,282,345,72,57,15,8
95DD17,3461,397,102,295,659,236,1077,304,301,384,96,63,33,7
95DD18,1813,95,29,66,244,165,187,234,469,324,89,50,39,6
95DD19,3315,337,107,230,655,367,550,300,503,502,85,54,31,16
95DD20,1742,38,15,23,146,148,74,183,539,454,148,98,50,12
95DD21,2130,150,38,112,400,207,185,198,483,393,95,45,50,19
95DD22,3118,252,61,191,585,262,778,286,436,393,110,88,22,16
95DD23,2490,236,41,195,483,151,842,212,231,247,80,64,16,8
95DD24,2692,292,72,220,658,245,303,261,460,366,93,46,47,14
95EE01,1895,98,25,73,300,133,605,147,216,292,96,53,43,8
95EE02,2095,160,34,126,330,175,452,180,333,325,131,80,51,9
95EE03,1983,108,54,54,374,223,235,162,382,362,117,67,50,20
95EE04,1990,114,24,90,295,188,443,192,283,367,99,57,42,9
95EE05,1497,163,33,130,176,133,404,101,200,264,53,26,27,3
95EE06,2278,117,36,81,336,152,652,187,298,411,106,50,56,19
95EE07,1798,86,17,69,250,198,224,219,358,351,99,50,49,13
95EE08,1633,178,23,155,367,235,229,83,241,222,76,46,30,2
95EE09,1859,128,13,115,256,145,538,190,262,244,82,40,42,14
95EE10,1797,105,28,77,241,107,477,159,239,339,126,81,45,4
95EE11,1677,92,12,80,189,122,603,168,187,235,73,42,31,8
95EE12,2500,141,40,101,397,210,238,187,588,492,223,140,83,24
95EE13,1529,126,37,89,275,160,215,117,249,255,115,84,31,17
95EE14,2684,219,61,158,536,256,469,250,404,449,94,66,28,7
95EE15,1728,88,42,46,238,130,583,120,189,285,81,62,19,14
95EE16,2111,181,37,144,339,197,578,193,232,312,74,45,29,5
95FF01,4753,739,154,585,1333,672,597,333,570,401,78,46,32,30
95FF02,2817,184,41,143,459,226,1093,157,208,336,135,82,53,19
95FF03,3006,179,33,146,590,427,342,324,509,500,123,59,64,12
95FF04,2629,285,65,220,466,207,862,179,244,287,91,52,39,8
95FF05,2563,302,84,218,557,299,302,218,335,424,116,73,43,10
95FF06,4054,550,151,399,1028,543,548,357,479,447,88,55,33,14
95FF07,2763,150,49,101,430,331,281,247,557,545,190,99,91,32
95FF08,2328,238,39,199,467,326,300,232,322,338,86,45,41,19
95FF09,2521,191,53,138,420,206,420,298,399,453,102,71,31,32
95FF10,3473,381,99,282,799,361,914,234,315,367,93,56,37,9
95FF11,2582,216,20,196,395,215,829,222,207,403,89,57,32,6
95FF12,2721,286,100,186,574,242,544,259,336,355,113,79,34,12
95FF13,2708,319,78,241,520,251,677,168,259,401,88,68,20,25
95FF14,2413,390,110,280,597,163,635,196,146,234,40,25,15,12
95FF15,2680,162,44,118,453,218,423,213,444,562,174,141,33,31
95FF16,2317,348,46,302,559,317,277,193,242,304,66,48,18,11
95FF17,1717,74,26,48,322,193,153,163,316,365,120,75,45,11
95GG01,4845,247,58,189,940,666,556,414,746,873,385,305,80,18
95GG02,5987,113,33,80,470,602,206,419,1321,1417,1341,1097,244,98
95GG03,5857,1181,195,986,1829,800,498,347,586,421,141,91,50,54
95GG04,4908,216,27,189,503,561,163,400,1110,1211,699,536,163,45
95GG05,5892,988,84,904,1494,806,278,438,842,588,333,234,99,125
95GG06,5567,303,66,237,834,699,371,622,1087,1211,406,274,132,34
95GG07,5467,191,49,142,819,821,260,357,1103,1117,712,583,129,87
95GG08,4910,470,72,398,980,594,423,396,899,781,313,214,99,54
95GG09,6055,1033,196,837,1590,795,434,432,858,674,212,139,73,27
95GG10,3997,192,41,151,581,471,121,375,838,910,333,220,113,176
95GG11,5389,596,61,535,1225,637,322,498,909,857,289,185,104,56
95GG12,8726,915,70,845,1077,811,250,534,963,601,506,374,132,3069
95GG13,4697,664,131,533,995,590,393,362,719,684,264,177,87,26
95GG14,4820,1054,143,911,1523,583,461,331,417,317,96,64,32,38
95GG15,5690,1249,220,1029,1822,796,499,303,517,336,115,67,48,53
95GG16,5366,603,107,496,1297,741,386,373,791,739,365,266,99,71
95GG17,5330,334,67,267,897,654,496,433,947,874,616,432,184,79
95GG18,4975,186,18,168,563,674,155,339,1019,1169,792,670,122,78
95GG19,4524,73,24,49,337,376,163,372,1054,1370,736,570,166,43
95GG20,4792,339,41,298,616,476,265,375,962,1131,523,375,148,105
95GG21,5079,149,12,137,546,496,158,333,896,1294,1101,923,178,106
95GG22,5290,315,75,240,1138,795,442,399,866,947,333,272,61,55
95GG23,4499,960,163,797,1334,565,411,276,495,367,74,37,37,17
95GG24,4364,639,121,518,1029,548,374,310,702,564,168,123,45,30
95GG25,5527,288,53,235,997,836,441,479,1001,966,460,343,117,59
95GG26,3675,91,24,67,424,417,196,379,835,877,417,329,88,39
95GG27,6406,341,54,287,1084,881,499,483,1232,1138,679,513,166,69
95GG28,5635,245,55,190,875,730,377,635,1144,1151,408,266,142,70
95GG29,5004,510,81,429,845,594,241,442,965,960,389,279,110,58
95GG30,4827,692,151,541,1261,637,425,435,597,618,121,70,51,41
95GG31,6519,395,71,324,1335,905,565,562,1105,1037,555,381,174,60
95GG32,6391,395,72,323,1054,831,428,562,1238,1247,579,425,154,57
95GG33,5452,2272,206,2066,1624,409,534,125,211,121,82,52,30,74
95GG34,4866,758,115,643,1433,737,369,368,546,464,163,108,55,28
95GG35,4869,166,51,115,463,464,161,355,982,1160,1071,914,157,47
95GG36,5619,732,123,609,1399,794,554,572,717,694,132,96,36,25
95GG37,5891,1495,169,1326,1667,702,376,385,587,474,153,74,79,52
95GG38,6379,1936,191,1745,1949,628,495,251,466,391,178,109,69,85
95GG39,7172,832,58,774,1102,657,295,609,1102,1299,877,732,145,399
95GG40,3705,114,14,100,317,238,164,292,779,1095,678,543,135,28
95GG41,5272,1671,279,1392,1776,591,546,169,195,247,62,50,12,15
95GG42,6592,2258,223,2035,1723,612,451,214,276,144,87,44,43,827
95GG43,4783,414,81,333,917,668,301,447,974,810,199,113,86,53
95GG44,5591,316,46,270,760,544,214,513,1285,1264,602,472,130,93
95GG45,4817,1045,157,888,1108,538,363,244,604,609,241,166,75,65
95GG46,5204,120,32,88,517,539,275,332,979,1300,1072,901,171,70
95GG47,5764,240,35,205,733,632,364,428,1185,1097,975,730,245,110
95GG48,5601,114,17,97,475,699,163,343,1239,1223,1262,1093,169,83
95GG49,8036,1237,39,1198,1481,802,290,463,879,438,210,140,70,2236
95GG50,5445,360,40,320,839,656,272,539,1100,1102,487,302,185,90
95GG51,4073,109,21,88,374,442,167,389,939,1091,531,393,138,31
95HH01,1981,244,50,194,532,259,171,198,277,209,87,49,38,4
95HH02,2962,398,106,292,822,503,285,297,348,230,67,30,37,12
95HH03,1663,226,25,201,450,240,163,163,200,175,32,18,14,14
95HH04,3067,434,130,304,687,491,241,371,402,389,42,20,22,10
95HH05,2171,92,31,61,277,295,117,273,508,439,154,66,88,16
95HH06,4788,615,165,450,1236,731,548,557,546,431,112,67,45,12
95HH07,1493,82,29,53,239,185,101,157,262,329,121,54,67,17
95HH08,2553,433,62,371,647,353,301,190,242,308,45,14,31,34
95HH09,2543,206,51,155,491,374,183,228,458,422,155,94,61,26
95HH10,2488,537,107,430,833,333,244,140,201,141,47,12,35,12
95HH11,1366,65,16,49,173,158,87,155,300,287,129,62,67,12
95HH12,1552,110,22,88,320,278,131,161,238,261,50,26,24,3
95HH13,1407,31,12,19,158,172,97,167,306,360,102,61,41,14
95HH14,1530,42,10,32,200,157,94,201,347,360,106,71,35,23
95HH15,2585,254,79,175,615,373,201,265,409,354,96,51,45,18
95HH16,2159,328,67,261,648,285,234,162,232,201,57,32,25,12
95HH17,2477,253,53,200,503,391,423,271,305,255,53,37,16,23
95II01,3066,498,122,376,905,480,430,177,287,247,30,21,9,12
95II02,4600,1083,145,938,1345,571,362,247,522,321,129,84,45,20
