GeographyCode,QS106NI0001,QS106NI0002,QS106NI0003
N92000002,21683,10023,11660
BHSCT,2743,1351,1392
NHSCT,5204,2370,2834
SEHSCT,3997,1840,2157
SHSCT,4938,2261,2677
WHSCT,4801,2201,2600
BELB,2041,1014,1027
NEELB,4708,2134,2574
SEELB,4699,2177,2522
SELB,5434,2497,2937
WELB,4801,2201,2600
UKN01,2041,1014,1027
UKN02,3961,1831,2130
UKN03,4952,2327,2625
UKN04,4065,1854,2211
UKN05,6664,2997,3667
95AA,504,222,282
95BB,750,348,402
95CC,949,426,523
95DD,720,341,379
95EE,374,152,222
95FF,612,281,331
95GG,2041,1014,1027
95HH,340,145,195
95II,702,337,365
95JJ,858,396,462
95KK,496,236,260
95LL,1019,523,496
95MM,1560,737,823
95NN,996,452,544
95OO,857,388,469
95PP,1260,547,713
95QQ,351,160,191
95RR,415,190,225
95SS,1238,551,687
95TT,616,292,324
95UU,277,117,160
95VV,1501,643,858
95WW,668,309,359
95XX,1013,489,524
95YY,985,465,520
95ZZ,581,262,319
