GeographyCode,QS107NI0001,QS107NI0002,QS107NI0003,QS107NI0004,QS107NI0005,QS107NI0006,QS107NI0007,QS107NI0008,QS107NI0009,QS107NI0010,QS107NI0011,QS107NI0012
N92000002,1409368,750247,662044,81500,766,5937,659121,443578,15152,48233,63601,88557
BHSCT,277668,123308,102752,18520,264,1772,154360,104900,3068,12224,14570,19598
NHSCT,360672,204341,182150,20695,150,1346,156331,103463,3713,10993,15755,22407
SEHSCT,270942,157144,139006,16824,186,1128,113798,73120,2494,8414,12937,16833
SHSCT,274244,150898,134962,14839,86,1011,123346,84561,3163,8299,11020,16303
WHSCT,225842,114556,103174,10622,80,680,111286,77534,2714,8303,9319,13416
BELB,224006,92136,75178,15265,232,1461,131870,90726,2602,10773,12050,15719
NEELB,332245,188793,167954,19431,148,1260,143452,94315,3356,10213,14777,20791
SEELB,324604,188316,166580,20079,218,1439,136288,87294,2960,9865,15457,20712
SELB,302671,166446,149158,16103,88,1097,136225,93709,3520,9079,11998,17919
WELB,225842,114556,103174,10622,80,680,111286,77534,2714,8303,9319,13416
UKN01,224006,92136,75178,15265,232,1461,131870,90726,2602,10773,12050,15719
UKN02,305528,176662,155526,19504,204,1428,128866,81516,2711,9842,14880,19917
UKN03,342075,196867,174452,20891,174,1350,145208,95180,3150,10673,15442,20763
UKN04,222904,113859,101812,11216,96,735,109045,74665,2621,8177,10319,13263
UKN05,314855,170723,155076,14624,60,963,144132,101491,4068,8768,10910,18895
95AA,40598,23715,20910,2611,14,180,16883,11247,369,1357,1745,2165
95BB,62222,37586,33488,3794,42,262,24636,15267,518,1755,3080,4016
95CC,45501,25358,23096,2097,4,161,20143,13839,516,1305,1605,2878
95DD,50553,29163,26172,2828,14,149,21390,14024,500,1537,2188,3141
95EE,24438,14169,12558,1488,8,115,10269,7013,281,563,972,1440
95FF,37233,22071,19766,2131,22,152,15162,10156,323,1017,1522,2144
95GG,224006,92136,75178,15265,232,1461,131870,90726,2602,10773,12050,15719
95HH,31084,17906,15844,1938,24,100,13178,8088,211,1140,1631,2108
95II,53662,31172,27574,3255,32,311,22490,14174,466,1451,2520,3879
95JJ,46325,25392,22516,2726,18,132,20933,13713,582,1273,2362,3003
95KK,28427,15548,14196,1264,2,86,12879,9148,357,780,978,1616
95LL,71997,40075,34806,4928,36,305,31922,21019,680,2480,3442,4301
95MM,82296,37562,33510,3701,54,297,44734,30926,975,4107,4147,4579
95NN,53737,29693,26520,2951,30,192,24044,16356,564,1665,2218,3241
95OO,44105,23710,21362,2188,0,160,20395,14418,673,1220,1486,2598
95PP,47951,26180,23488,2558,2,132,21771,14985,685,1295,1617,3189
95QQ,25735,14564,12790,1648,16,110,11171,7111,196,862,1247,1755
95RR,25607,14066,12500,1490,8,68,11541,8196,223,736,989,1397
95SS,91990,52216,45918,5820,58,420,39774,26302,904,3199,4079,5290
95TT,34248,19079,17588,1374,14,103,15169,11081,404,800,969,1915
95UU,13465,7086,6466,586,6,28,6379,4281,191,424,573,910
95VV,75408,39684,35932,3495,24,233,35724,25129,971,2277,2965,4382
95WW,65799,37719,33110,4232,34,343,28080,17757,622,2257,3090,4354
95XX,62993,37649,33080,4259,56,254,25344,15195,508,1795,3560,4286
95YY,39215,21164,19414,1648,14,88,18051,12891,462,1091,1290,2317
95ZZ,30773,15584,14262,1225,2,95,15189,10536,369,1074,1276,1934
