GeographyCode,QS117NI0001,QS117NI0002,QS117NI0003,QS117NI0004,QS117NI0005,QS117NI0006
N92000002,491122,252850,103811,84970,35904,13587
BHSCT,89867,46818,20875,14663,5510,2001
NHSCT,128603,68161,25955,22053,9093,3341
SEHSCT,98639,53015,19798,17220,6541,2065
SHSCT,96255,47206,20270,17073,8301,3405
WHSCT,77758,37650,16913,13961,6459,2775
BELB,70790,36235,17107,11372,4391,1685
NEELB,118851,63327,24005,20364,8186,2969
SEELB,117716,63598,23566,20511,7660,2381
SELB,106007,52040,22220,18762,9208,3777
WELB,77758,37650,16913,13961,6459,2775
UKN01,70790,36235,17107,11372,4391,1685
UKN02,111437,59836,23157,19406,7004,2034
UKN03,123566,65292,25029,21705,8620,2920
UKN04,77559,38599,16859,13864,5943,2294
UKN05,107770,52888,21659,18623,9946,4654
95AA,14788,7472,3015,2770,1154,377
95BB,22915,13002,4371,3855,1287,400
95CC,15872,8049,3117,2718,1384,604
95DD,18173,10089,3492,2971,1207,414
95EE,8623,4598,1588,1554,621,262
95FF,13444,6891,2625,2496,1054,378
95GG,70790,36235,17107,11372,4391,1685
95HH,11355,6098,2529,1909,645,174
95II,19077,10583,3768,3291,1119,316
95JJ,16092,8835,3105,2665,1121,366
95KK,9752,4834,1950,1689,907,372
95LL,25914,12874,5782,4699,1939,620
95MM,28565,12970,7099,5307,2284,905
95NN,19009,9759,3805,3393,1493,559
95OO,15045,7146,3182,2717,1376,624
95PP,16253,8513,3026,2749,1325,640
95QQ,9323,5205,1939,1521,486,172
95RR,9125,4568,1956,1647,691,263
95SS,33905,17044,7317,6188,2536,820
95TT,11649,5651,2275,1988,1117,618
95UU,4558,2478,824,752,356,148
95VV,25980,12246,5564,4443,2548,1179
95WW,24290,12901,5238,4234,1479,438
95XX,22810,13210,4305,3784,1225,286
95YY,13219,6449,2545,2319,1289,617
95ZZ,10596,5150,2287,1939,870,350
