ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS214NI0001","Count","PERSONS","All usual residents: Aged 3+ years"
"QS214NI0002","Count","PERSONS","Knowledge of Irish: Understands but does not read, write or speak Irish: Aged 3+ years"
"QS214NI0003","Count","PERSONS","Knowledge of Irish: Speaks but does not read or write Irish: Aged 3+ years"
"QS214NI0004","Count","PERSONS","Knowledge of Irish: Reads but does not speak or write Irish: Aged 3+ years"
"QS214NI0005","Count","PERSONS","Knowledge of Irish: Writes but does not speak or read Irish: Aged 3+ years"
"QS214NI0006","Count","PERSONS","Knowledge of Irish: Speaks and reads but does not write Irish: Aged 3+ years"
"QS214NI0007","Count","PERSONS","Knowledge of Irish: Reads and writes but does not speak Irish: Aged 3+ years"
"QS214NI0008","Count","PERSONS","Knowledge of Irish: Speaks, reads, writes and understands Irish: Aged 3+ years"
"QS214NI0009","Count","PERSONS","Knowledge of Irish: Other combination of skills in Irish: Aged 3+ years"
"QS214NI0010","Count","PERSONS","Knowledge of Irish: No ability in Irish: Aged 3+ years"
