GeographyCode,QS608NI0001,QS608NI0002,QS608NI0003,QS608NI0004,QS608NI0005,QS608NI0006,QS608NI0007,QS608NI0008,QS608NI0009,QS608NI0010,QS608NI0011,QS608NI0012,QS608NI0013,QS608NI0014
N92000002,1788339,176819,37239,139580,359125,195316,261984,149611,252032,265485,106842,73180,33662,21125
BHSCT,342643,42836,6395,36441,70345,42279,23741,25895,52177,50283,25295,18955,6340,9792
NHSCT,457038,43012,10081,32931,90577,49365,73510,42797,64422,68715,20797,13551,7246,3843
SEHSCT,342197,41205,8994,32211,81035,43719,48908,27582,44039,39463,14068,9010,5058,2178
SHSCT,355580,29265,7095,22170,65520,32599,65200,30102,49679,59500,21125,14116,7009,2590
WHSCT,290881,20501,4674,15827,51648,27354,50625,23235,41715,47524,25557,17548,8009,2722
BELB,276141,32156,4532,27624,52971,32740,17611,20453,43809,43470,23523,17866,5657,9408
NEELB,420327,40750,9388,31362,85032,46660,64870,39563,59580,61770,18476,11883,6593,3626
SEELB,408699,51885,10857,41028,98409,53258,55038,33024,52407,46276,15840,10099,5741,2562
SELB,392291,31527,7788,23739,71065,35304,73840,33336,54521,66445,23446,15784,7662,2807
WELB,290881,20501,4674,15827,51648,27354,50625,23235,41715,47524,25557,17548,8009,2722
UKN01,276141,32156,4532,27624,52971,32740,17611,20453,43809,43470,23523,17866,5657,9408
UKN02,384428,51939,10948,40991,93780,53293,40764,33079,50723,44073,14229,8975,5254,2548
UKN03,434612,40913,9900,31013,90114,48110,68859,40179,62669,62747,18376,11670,6706,2645
UKN04,284667,21617,4717,16900,51511,28182,45759,22899,41396,45617,23844,15660,8184,3842
UKN05,408491,30194,7142,23052,70749,32991,88991,33001,53435,69578,26870,19009,7861,2682
95AA,52540,5062,1281,3781,11824,6366,7746,4964,6740,7619,1909,1262,647,310
95BB,77483,7465,1705,5760,16862,10096,12440,7005,10639,10038,2518,1487,1031,420
95CC,58638,4465,1140,3325,11126,5739,12347,4756,7297,9403,3122,2017,1105,383
95DD,63403,6120,1517,4603,12352,5684,10376,6238,10410,9266,2624,1683,941,333
95EE,31054,2104,516,1588,4899,2764,6945,2655,4661,5205,1645,989,656,176
95FF,48045,4994,1192,3802,9969,5197,9197,3993,5888,6722,1792,1131,661,293
95GG,276141,32156,4532,27624,52971,32740,17611,20453,43809,43470,23523,17866,5657,9408
95HH,38785,4350,1015,3335,8831,5578,3621,3956,5581,5151,1455,764,691,262
95II,66502,10680,1863,8817,17374,9539,6130,5442,8368,6813,1772,1089,683,384
95JJ,57761,5751,971,4780,11438,6387,8959,4646,8124,7891,3093,2060,1033,1472
95KK,36711,2262,693,1569,5545,2705,8640,3234,4842,6945,2321,1668,653,217
95LL,92513,7977,2063,5914,17412,9899,11172,9105,15652,15844,4761,2944,1817,691
95MM,106500,8460,1941,6519,20804,11104,11899,8656,16341,16798,10928,7218,3710,1510
95NN,68714,6591,1418,5173,15437,7097,13503,5083,8515,8563,3487,2302,1185,438
95OO,57462,4282,1069,3213,9420,4255,11934,4451,8408,10529,3705,2786,919,478
95PP,61064,4243,934,3309,10247,5404,13158,5206,9207,9387,3839,2822,1017,373
95QQ,31914,2704,724,1980,6258,3771,4425,3791,4825,4695,1285,861,424,160
95RR,32850,2079,533,1546,5414,3566,6154,2628,4360,5543,2822,1829,993,284
95SS,118525,15147,3271,11876,27158,15146,14778,9503,15616,14441,5819,4000,1819,917
95TT,44822,3649,921,2728,7577,3177,10736,3839,5082,8257,2267,1582,685,238
95UU,16907,1250,244,1006,3014,1283,4014,1287,2268,2439,1259,781,478,93
95VV,98922,7547,1631,5916,17593,7509,20550,7797,12434,17002,7745,5238,2507,745
95WW,83141,9760,2199,7561,18839,11650,8048,8187,11889,11247,2939,1901,1038,582
95XX,77475,12002,2600,9402,21578,11380,8187,5991,9269,6421,2244,1221,1023,403
95YY,50872,3746,754,2992,9241,4202,11626,3718,6165,8055,3871,2896,975,248
95ZZ,39595,1973,512,1461,5942,3078,7788,3027,5642,7741,4097,2783,1314,307
