ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS107NI0001","Count","PERSONS","All usual residents: Aged 16+ years in households"
"QS107NI0002","Count","PERSONS","Living in a couple: Total: Aged 16+ years in households"
"QS107NI0003","Count","PERSONS","Living in a couple: Married: Aged 16+ years in households"
"QS107NI0004","Count","PERSONS","Living in a couple: Cohabiting (opposite-sex): Aged 16+ years in households"
"QS107NI0005","Count","PERSONS","Living in a couple: In a registered same-sex civil partnership: Aged 16+ years in households"
"QS107NI0006","Count","PERSONS","Living in a couple: Cohabiting (same-sex): Aged 16+ years in households"
"QS107NI0007","Count","PERSONS","Not living in a couple: Total: Aged 16+ years in households"
"QS107NI0008","Count","PERSONS","Not living in a couple: Single (never married or never registered a same-sex civil partnership): Aged 16+ years in households"
"QS107NI0009","Count","PERSONS","Not living in a couple: Married or in a registered same-sex civil partnership: Aged 16+ years in households"
"QS107NI0010","Count","PERSONS","Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years in households"
"QS107NI0011","Count","PERSONS","Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years in households"
"QS107NI0012","Count","PERSONS","Not living in a couple: Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years in households"
