GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
N00000001,310,188,3,71,114,113,13,20,80,6,3,3,0,3,2,1,0
N00000002,141,18,3,4,11,62,18,12,32,24,6,16,2,37,15,22,0
N00000003,78,4,2,1,1,43,6,8,29,11,0,11,0,20,4,16,0
N00000004,195,16,1,5,10,96,6,19,71,49,9,32,8,34,12,22,0
N00000005,124,16,1,10,5,62,9,9,44,26,2,20,4,20,5,14,1
N00000006,86,10,1,3,6,36,5,8,23,17,4,9,4,23,11,12,0
N00000007,89,9,1,2,6,35,3,9,23,21,3,18,0,24,10,14,0
N00000008,138,27,9,10,8,60,20,19,21,29,14,14,1,22,11,10,1
N00000009,275,75,19,24,32,122,28,23,71,38,5,29,4,40,12,26,2
N00000010,86,8,1,3,4,32,3,7,22,17,4,13,0,29,12,16,1
N00000011,136,9,0,5,4,48,16,11,21,21,7,13,1,58,35,22,1
N00000012,121,16,5,4,7,45,18,10,17,19,3,16,0,41,17,23,1
N00000013,136,26,9,5,12,39,17,7,15,22,9,13,0,49,32,17,0
N00000014,205,58,15,22,21,77,24,18,35,32,3,27,2,38,18,20,0
N00000015,119,10,4,3,3,37,14,8,15,23,7,13,3,49,31,18,0
N00000016,122,15,4,5,6,49,26,10,13,20,10,9,1,38,22,15,1
N00000017,144,33,10,7,16,61,16,9,36,20,8,11,1,30,19,10,1
N00000018,94,21,4,6,11,37,8,10,19,14,3,9,2,22,8,14,0
N00000019,116,20,5,6,9,42,13,10,19,23,8,15,0,31,13,18,0
N00000020,122,37,10,4,23,42,15,13,14,17,12,4,1,26,16,10,0
N00000021,128,26,9,6,11,47,18,9,20,23,11,11,1,32,16,16,0
N00000022,126,22,6,3,13,42,15,9,18,20,6,12,2,42,26,16,0
N00000023,115,20,4,6,10,33,12,7,14,14,7,6,1,48,25,23,0
N00000024,174,14,0,1,13,99,8,29,62,25,4,20,1,36,10,25,1
N00000025,159,12,3,4,5,75,10,19,46,36,5,28,3,36,11,22,3
N00000026,151,8,0,1,7,76,7,20,49,32,4,26,2,35,12,22,1
N00000027,178,35,10,5,20,80,10,17,53,29,5,21,3,34,12,22,0
N00000028,85,6,4,1,1,47,4,13,30,19,5,12,2,13,6,7,0
N00000029,136,11,3,4,4,59,1,15,43,29,3,23,3,37,12,25,0
N00000030,131,9,1,2,6,59,9,20,30,25,2,21,2,38,10,28,0
N00000031,201,23,0,6,17,95,4,16,75,44,9,32,3,39,12,26,1
N00000032,133,8,0,2,6,68,8,16,44,15,3,9,3,42,19,22,1
N00000033,166,19,1,7,11,67,5,16,46,39,7,27,5,41,14,27,0
N00000034,158,19,1,8,10,71,10,12,49,27,3,23,1,41,15,26,0
N00000035,128,37,14,2,21,44,16,12,16,23,6,14,3,24,12,12,0
N00000036,134,20,4,5,11,64,9,24,31,21,4,15,2,29,16,12,1
N00000037,124,11,1,3,7,45,14,9,22,25,8,16,1,43,21,21,1
N00000038,138,13,1,2,10,62,6,11,45,25,4,18,3,38,13,25,0
N00000039,448,95,18,18,59,210,29,31,150,52,16,29,7,91,56,35,0
N00000040,114,22,4,3,15,46,13,11,22,17,6,9,2,29,20,9,0
