GeographyCode,QS207NI0001,QS207NI0002,QS207NI0003,QS207NI0004,QS207NI0005,QS207NI0006,QS207NI0007,QS207NI0008,QS207NI0009,QS207NI0010,QS207NI0011,QS207NI0012,QS207NI0013,QS207NI0014,QS207NI0015,QS207NI0016,QS207NI0017,QS207NI0018,QS207NI0019,QS207NI0020,QS207NI0021
N00000001,1113,1032,963,586,78,269,30,0,5,0,1,63,59,4,38,13,17,0,3,10,0
N00000002,351,347,334,19,6,309,0,0,4,0,0,9,9,0,1,2,1,0,0,0,0
N00000003,237,235,227,7,0,220,0,0,2,0,0,6,6,0,1,0,0,0,0,1,0
N00000004,616,604,594,21,5,566,2,0,7,0,1,2,2,0,4,0,8,0,0,0,0
N00000005,374,372,363,16,2,345,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0
N00000006,251,238,233,7,0,226,0,0,2,0,0,3,3,0,8,1,3,0,0,1,0
N00000007,245,240,228,8,2,218,0,0,2,0,0,10,10,0,1,4,0,0,0,0,0
N00000008,288,281,262,18,3,240,1,0,4,0,0,15,15,0,1,4,0,0,0,2,0
N00000009,727,714,682,33,7,642,0,0,8,0,0,24,23,1,1,5,3,0,0,4,0
N00000010,242,239,230,7,2,220,1,0,2,0,0,7,6,1,1,1,0,0,0,1,0
N00000011,293,288,278,15,3,260,0,0,2,0,0,8,8,0,0,3,2,0,0,0,0
N00000012,264,261,252,11,3,237,1,0,2,0,0,7,7,0,0,0,1,0,1,1,0
N00000013,268,263,250,12,2,236,0,0,5,0,0,8,8,0,0,1,3,0,0,1,0
N00000014,460,453,422,27,8,386,1,0,7,0,1,23,22,1,3,2,2,0,0,0,0
N00000015,226,224,218,9,3,204,2,0,3,0,0,3,3,0,0,1,0,0,0,1,0
N00000016,223,219,199,15,2,182,0,0,4,0,0,16,16,0,0,2,1,0,0,1,0
N00000017,340,336,328,11,1,315,1,0,1,0,0,7,5,2,2,1,0,0,0,1,0
N00000018,229,224,215,11,2,202,0,0,1,0,0,8,8,0,2,3,0,0,0,0,0
N00000019,261,254,244,12,2,230,0,0,5,0,0,5,5,0,0,6,0,0,0,1,0
N00000020,236,232,223,6,3,212,2,0,6,0,0,3,3,0,3,1,0,0,0,0,0
N00000021,269,267,257,13,3,241,0,0,1,0,0,9,9,0,0,0,1,0,0,1,0
N00000022,269,265,249,6,4,238,1,0,5,0,0,11,11,0,0,2,2,0,0,0,0
N00000023,218,212,204,6,4,194,0,0,4,0,0,4,4,0,4,2,0,0,0,0,0
N00000024,533,528,521,29,0,492,0,0,7,0,0,0,0,0,3,0,0,0,1,1,0
N00000025,460,453,444,18,3,423,0,0,5,0,1,3,2,1,1,1,4,0,0,1,0
N00000026,466,465,459,17,0,442,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
N00000027,540,535,520,14,3,502,1,0,7,0,0,8,4,4,1,1,2,0,0,1,0
N00000028,236,235,231,12,1,216,2,0,3,0,0,1,1,0,0,1,0,0,0,0,0
N00000029,403,396,389,18,4,367,0,0,4,0,0,3,1,2,1,3,2,0,0,1,0
N00000030,375,367,355,5,1,349,0,0,8,0,0,4,2,2,1,1,5,0,0,1,0
N00000031,707,702,690,19,3,668,0,0,9,0,0,3,3,0,1,0,4,0,0,0,0
N00000032,386,383,376,8,1,367,0,0,4,0,0,3,3,0,1,0,2,0,0,0,0
N00000033,498,491,484,17,3,462,2,0,5,0,0,2,2,0,4,1,1,0,0,1,0
N00000034,474,464,444,18,2,423,1,0,5,0,0,15,14,1,2,1,3,0,0,4,0
N00000035,291,287,264,16,3,244,1,0,0,0,0,23,23,0,0,0,2,0,0,2,0
N00000036,345,335,328,12,2,313,1,0,5,0,0,2,2,0,3,3,1,1,0,2,0
N00000037,285,281,277,8,2,267,0,0,2,0,0,2,2,0,1,0,3,0,0,0,0
N00000038,406,403,396,10,2,384,0,0,4,0,0,3,3,0,0,3,0,0,0,0,0
N00000039,1262,1236,1210,57,6,1141,5,1,19,0,1,6,6,0,4,9,7,0,1,5,0
N00000040,265,265,263,17,2,243,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
