GeographyCode,QS105NI0001,QS105NI0002,QS105NI0003
95AA01S1,1113,608,505
95AA01S2,1829,920,909
95AA01S3,1502,744,758
95AA02W1,1734,860,874
95AA03W1,1822,856,966
95AA04W1,3013,1557,1456
95AA05W1,2701,1352,1349
95AA06S1,1953,947,1006
95AA06S2,2694,1277,1417
95AA07W1,2140,1070,1070
95AA08W1,1698,830,868
95AA09W1,2220,1036,1184
95AA10W1,1953,948,1005
95AA11S1,2800,1353,1447
95AA11S2,2564,1325,1239
95AA12W1,2775,1401,1374
95AA13S1,1745,859,886
95AA13S2,1562,759,803
95AA14W1,2349,1150,1199
95AA15S1,2641,1286,1355
95AA15S2,1545,761,784
95AA16W1,1807,876,931
95AA17W1,2142,1051,1091
95AA18W1,2439,1175,1264
95AA19W1,2687,1309,1378
95BB01S1,1574,766,808
95BB01S2,2035,1017,1018
95BB02W1,2347,1141,1206
95BB03S1,2026,990,1036
95BB03S2,2193,1075,1118
95BB04S1,1438,706,732
95BB04S2,1610,799,811
95BB05S1,1490,737,753
95BB05S2,1911,945,966
95BB06W1,2870,1369,1501
95BB07S1,1658,756,902
95BB07S2,1295,640,655
95BB08S1,1331,603,728
95BB08S2,1294,619,675
95BB09S1,1325,647,678
95BB09S2,1618,801,817
95BB10S1,1690,792,898
95BB10S2,1637,814,823
95BB11S1,1408,696,712
95BB11S2,1547,737,810
95BB12S1,1440,681,759
95BB12S2,1336,649,687
95BB13S1,1392,661,731
95BB13S2,1472,713,759
95BB13S3,1580,783,797
95BB14S1,1510,759,751
95BB14S2,1606,783,823
95BB15S1,2005,999,1006
95BB15S2,1484,737,747
95BB16S1,1533,793,740
95BB16S2,1603,791,812
95BB17S1,1793,848,945
95BB17S2,1763,849,914
95BB18S1,1688,813,875
95BB18S2,2591,1232,1359
95BB19S1,1613,774,839
95BB19S2,1784,908,876
95BB19S3,1391,696,695
95BB20S1,1889,949,940
95BB20S2,1524,793,731
95BB21S1,2387,1197,1190
95BB21S2,2332,1119,1213
95BB22S1,1557,752,805
95BB22S2,1483,677,806
95BB23S1,1540,746,794
95BB23S2,1485,734,751
95CC01W1,2558,1244,1314
95CC02W1,2725,1423,1302
95CC03W1,2817,1325,1492
95CC04W1,2440,1254,1186
95CC05W1,2774,1398,1376
95CC06S1,1468,698,770
95CC06S2,1308,611,697
95CC07W1,3475,1761,1714
95CC08W1,2565,1214,1351
95CC09S1,1496,746,750
95CC09S2,1858,911,947
95CC10W1,2577,1324,1253
95CC11W1,1795,879,916
95CC12W1,2785,1426,1359
95CC13W1,2474,1286,1188
95CC14W1,3035,1529,1506
95CC15W1,2903,1457,1446
95CC16W1,2820,1355,1465
95CC17W1,2730,1414,1316
95CC18W1,2342,1108,1234
95CC19W1,2720,1365,1355
95CC20S1,1308,641,667
95CC20S2,1702,848,854
95CC21W1,2925,1456,1469
95CC22W1,1740,836,904
95DD01W1,2099,1019,1080
95DD02S1,1453,723,730
95DD02S2,2435,1184,1251
95DD03W1,3503,1666,1837
95DD04W1,1926,903,1023
95DD05W1,1739,813,926
95DD06W1,2588,1202,1386
95DD07S1,1596,780,816
95DD07S2,1767,842,925
95DD08W1,2126,1044,1082
95DD09W1,2590,1337,1253
95DD10W1,2805,1343,1462
95DD11W1,2363,1098,1265
95DD12W1,2610,1355,1255
95DD13W1,1784,883,901
95DD14S1,1603,766,837
95DD14S2,1674,824,850
95DD15W1,3451,1728,1723
95DD16W1,2981,1526,1455
95DD17W1,3461,1715,1746
95DD18W1,1885,928,957
95DD19S1,1904,915,989
95DD19S2,1460,739,721
95DD20W1,1746,852,894
95DD21W1,2139,1031,1108
95DD22S1,1555,772,783
95DD22S2,1581,802,779
95DD23W1,2509,1283,1226
95DD24W1,2711,1325,1386
95EE01W1,1895,961,934
95EE02W1,2095,1051,1044
95EE03W1,1999,959,1040
95EE04W1,1993,987,1006
95EE05W1,1509,760,749
95EE06W1,2278,1138,1140
95EE07W1,1798,843,955
95EE08W1,1719,795,924
95EE09W1,1890,954,936
95EE10W1,1797,908,889
95EE11W1,1677,862,815
95EE12W1,2507,1169,1338
95EE13W1,1529,752,777
95EE14W1,2684,1329,1355
95EE15W1,1728,889,839
95EE16W1,2126,1085,1041
95FF01S1,2129,1041,1088
95FF01S2,2667,1350,1317
95FF02W1,2817,1467,1350
95FF03W1,3006,1462,1544
95FF04W1,2629,1318,1311
95FF05W1,2563,1225,1338
95FF06S1,2036,959,1077
95FF06S2,2080,1041,1039
95FF07W1,2769,1308,1461
95FF08W1,2364,1140,1224
95FF09W1,2522,1256,1266
95FF10W1,3473,1760,1713
95FF11W1,2582,1313,1269
95FF12W1,2724,1360,1364
95FF13W1,2708,1352,1356
95FF14W1,2432,1262,1170
95FF15W1,2740,1327,1413
95FF16W1,2374,1214,1160
95FF17W1,1724,821,903
95GG01S1,1768,822,946
95GG01S2,1523,681,842
95GG01S3,1616,756,860
95GG02S1,1745,824,921
95GG02S2,2018,936,1082
95GG02S3,2224,999,1225
95GG03S1,2003,946,1057
95GG03S2,1833,886,947
95GG03S3,2103,980,1123
95GG04S1,1708,802,906
95GG04S2,1564,705,859
95GG04S3,1636,816,820
95GG05S1,1813,908,905
95GG05S2,2009,968,1041
95GG05S3,2106,1125,981
95GG06S1,1925,899,1026
95GG06S2,1779,859,920
95GG06S3,1922,898,1024
95GG07S1,1862,871,991
95GG07S2,1922,870,1052
95GG07S3,1701,803,898
95GG08S1,1394,705,689
95GG08S2,1730,817,913
95GG08S3,1786,884,902
95GG09S1,2151,1019,1132
95GG09S2,1896,898,998
95GG09S3,2118,1010,1108
95GG10S1,1826,936,890
95GG10S2,2172,1081,1091
95GG11S1,1895,908,987
95GG11S2,1687,843,844
95GG11S3,1871,911,960
95GG12S1,1555,802,753
95GG12S2,1958,1067,891
95GG12S3,1488,724,764
95GG12S4,1703,903,800
95GG12S5,2241,1112,1129
95GG13S1,1333,643,690
95GG13S2,1752,835,917
95GG13S3,1637,746,891
95GG14S1,1617,777,840
95GG14S2,1597,783,814
95GG14S3,1606,761,845
95GG15S1,1959,877,1082
95GG15S2,2052,937,1115
95GG15S3,1909,853,1056
95GG16S1,1996,1028,968
95GG16S2,1970,995,975
95GG16S3,1486,729,757
95GG17S1,2031,949,1082
95GG17S2,1595,775,820
95GG17S3,1704,802,902
95GG18S1,2553,1179,1374
95GG18S2,2422,1197,1225
95GG19S1,2019,935,1084
95GG19S2,2563,1181,1382
95GG20S1,2807,1516,1291
95GG20S2,2094,1003,1091
95GG21S1,1497,732,765
95GG21S2,1752,786,966
95GG21S3,1935,970,965
95GG22S1,1687,786,901
95GG22S2,1935,887,1048
95GG22S3,1721,789,932
95GG23S1,1418,673,745
95GG23S2,1552,713,839
95GG23S3,1585,749,836
95GG24S1,1388,590,798
95GG24S2,1540,745,795
95GG24S3,1633,750,883
95GG25S1,2158,1063,1095
95GG25S2,1839,892,947
95GG25S3,1576,743,833
95GG26S1,1995,965,1030
95GG26S2,1754,812,942
95GG27S1,1548,758,790
95GG27S2,1614,754,860
95GG27S3,1705,909,796
95GG27S4,1631,776,855
95GG28S1,2149,1043,1106
95GG28S2,1733,831,902
95GG28S3,1769,805,964
95GG29S1,2257,1087,1170
95GG29S2,2757,1289,1468
95GG30S1,1604,771,833
95GG30S2,1685,788,897
95GG30S3,1538,737,801
95GG31S1,2227,1049,1178
95GG31S2,2032,975,1057
95GG31S3,2260,1062,1198
95GG32S1,3232,1514,1718
95GG32S2,1553,733,820
95GG32S3,1624,774,850
95GG33S1,1951,937,1014
95GG33S2,1639,796,843
95GG33S3,1965,958,1007
95GG34S1,1452,661,791
95GG34S2,1590,779,811
95GG34S3,1885,941,944
95GG35S1,1970,950,1020
95GG35S2,1478,729,749
95GG35S3,1502,714,788
95GG36S1,1794,868,926
95GG36S2,1926,922,1004
95GG36S3,1899,897,1002
95GG37S1,2082,1001,1081
95GG37S2,1826,848,978
95GG37S3,2133,1059,1074
95GG38S1,3099,1496,1603
95GG38S2,1880,845,1035
95GG38S3,1585,729,856
95GG39S1,2409,1303,1106
95GG39S2,2711,1397,1314
95GG39S3,2094,1040,1054
95GG40S1,1697,790,907
95GG40S2,2119,997,1122
95GG41S1,1926,935,991
95GG41S2,1524,748,776
95GG41S3,2098,991,1107
95GG42S1,1826,873,953
95GG42S2,1784,776,1008
95GG42S3,2261,1086,1175
95GG42S4,2268,1140,1128
95GG43S1,1480,719,761
95GG43S2,1670,783,887
95GG43S3,1724,840,884
95GG44S1,2864,1448,1416
95GG44S2,2727,1394,1333
95GG45S1,1670,790,880
95GG45S2,1554,724,830
95GG45S3,1617,744,873
95GG46S1,1712,796,916
95GG46S2,1874,864,1010
95GG46S3,1664,798,866
95GG47S1,2314,1225,1089
95GG47S2,1717,821,896
95GG47S3,1798,917,881
95GG48S1,1615,764,851
95GG48S2,2411,1114,1297
95GG48S3,1668,782,886
95GG49S1,1662,779,883
95GG49S2,2270,1203,1067
95GG49S3,2142,1023,1119
95GG49S4,2067,988,1079
95GG50S1,1499,717,782
95GG50S2,2061,979,1082
95GG50S3,1885,931,954
95GG51S1,1353,643,710
95GG51S2,1399,669,730
95GG51S3,1336,641,695
95HH01W1,2059,997,1062
95HH02S1,1358,666,692
95HH02S2,1604,814,790
95HH03W1,1663,787,876
95HH04S1,1709,834,875
95HH04S2,1358,669,689
95HH05W1,2171,1035,1136
95HH06S1,2231,1119,1112
95HH06S2,2566,1270,1296
95HH07W1,1493,725,768
95HH08W1,2619,1250,1369
95HH09W1,2620,1250,1370
95HH10W1,2489,1221,1268
95HH11W1,1417,634,783
95HH12W1,1552,741,811
95HH13W1,1407,669,738
95HH14W1,1530,727,803
95HH15W1,2630,1194,1436
95HH16W1,2159,1027,1132
95HH17W1,2479,1222,1257
95II01S1,1550,760,790
95II01S2,1534,756,778
95II02S1,1781,917,864
95II02S2,1700,833,867
95II02S3,1480,711,769
95II03S1,1739,847,892
95II03S2,1784,857,927
95II04S1,2352,1144,1208
95II04S2,1965,931,1034
95II05S1,1634,795,839
95II05S2,1912,890,1022
95II06S1,1519,737,782
95II06S2,1879,891,988
95II07W1,2090,989,1101
95II08W1,2417,1143,1274
95II09S1,1950,945,1005
95II09S2,1413,673,740
95II10W1,2592,1238,1354
