GeographyCode,QS113NI0001,QS113NI0002,QS113NI0003,QS113NI0004,QS113NI0005,QS113NI0006,QS113NI0007,QS113NI0008,QS113NI0009,QS113NI0010,QS113NI0011,QS113NI0012
95AA01S1,310,21,2,19,289,3,90,1,141,32,13,9
95AA01S2,624,120,47,73,504,13,100,80,99,46,65,101
95AA01S3,588,155,45,110,433,28,107,56,100,21,31,90
95AA02W1,839,346,155,191,493,44,131,98,74,11,32,103
95AA03W1,845,323,123,200,522,82,124,94,88,19,37,78
95AA04W1,1014,171,73,98,843,19,169,120,143,58,118,216
95AA05W1,920,192,88,104,728,44,116,102,131,62,84,189
95AA06S1,710,187,90,97,523,49,83,71,112,42,71,95
95AA06S2,860,169,69,100,691,70,114,49,146,70,116,126
95AA07W1,820,201,73,128,619,36,131,110,112,33,62,135
95AA08W1,699,215,67,148,484,68,96,73,76,16,48,107
95AA09W1,943,307,87,220,636,96,145,103,101,22,48,121
95AA10W1,792,199,64,135,593,59,123,116,104,21,51,119
95AA11S1,1123,330,115,215,793,59,210,111,190,31,68,124
95AA11S2,870,157,44,113,713,44,159,75,213,47,68,107
95AA12W1,971,180,92,88,791,22,161,114,166,49,111,168
95AA13S1,625,151,47,104,474,42,92,63,94,29,57,97
95AA13S2,614,175,78,97,439,42,97,58,88,32,43,79
95AA14W1,779,130,80,50,649,18,135,111,100,48,78,159
95AA15S1,1013,223,50,173,790,71,217,67,199,37,70,129
95AA15S2,582,172,28,144,410,69,90,27,96,31,31,66
95AA16W1,832,318,91,227,514,53,124,95,108,16,26,92
95AA17W1,855,237,71,166,618,69,139,77,120,30,46,137
95AA18W1,1004,257,121,136,747,23,197,201,115,20,60,131
95AA19W1,832,157,66,91,675,47,83,82,111,67,111,174
95BB01S1,548,105,51,54,443,16,81,62,94,26,52,112
95BB01S2,759,165,56,109,594,25,133,77,143,29,55,132
95BB02W1,1126,438,202,236,688,62,160,182,91,15,35,143
95BB03S1,877,263,134,129,614,52,134,128,136,24,38,102
95BB03S2,899,214,117,97,685,39,173,162,127,27,37,120
95BB04S1,638,192,80,112,446,30,122,120,51,5,32,86
95BB04S2,669,157,96,61,512,14,106,148,83,17,29,115
95BB05S1,564,107,54,53,457,13,107,96,81,19,49,92
95BB05S2,754,175,80,95,579,29,149,108,101,31,38,123
95BB06W1,1518,680,296,384,838,104,276,174,98,14,36,136
95BB07S1,819,343,163,180,476,70,146,93,76,12,19,60
95BB07S2,496,88,47,41,408,22,97,89,71,13,23,93
95BB08S1,589,199,105,94,390,32,85,85,69,15,27,77
95BB08S2,479,80,25,55,399,16,103,50,101,16,35,78
95BB09S1,561,141,74,67,420,15,119,105,71,9,23,78
95BB09S2,692,199,67,132,493,17,146,74,99,8,32,117
95BB10S1,874,401,183,218,473,46,130,122,64,15,19,77
95BB10S2,635,114,64,50,521,14,122,142,83,20,38,102
95BB11S1,621,206,80,126,415,57,89,81,68,15,33,72
95BB11S2,717,271,155,116,446,27,99,136,59,11,21,93
95BB12S1,626,200,73,127,426,72,102,76,59,20,27,70
95BB12S2,504,91,52,39,413,28,77,88,76,22,34,88
95BB13S1,508,88,21,67,420,57,90,50,79,22,44,78
95BB13S2,603,142,58,84,461,43,98,112,66,16,36,90
95BB13S3,576,93,31,62,483,29,134,55,113,27,34,91
95BB14S1,551,97,50,47,454,9,93,98,75,24,46,109
95BB14S2,621,162,81,81,459,20,94,93,92,18,39,103
95BB15S1,706,134,69,65,572,26,122,97,104,52,58,113
95BB15S2,581,167,59,108,414,45,84,57,68,25,38,97
95BB16S1,562,98,54,44,464,8,89,104,73,19,48,123
95BB16S2,614,127,57,70,487,12,110,107,104,22,39,93
95BB17S1,727,188,56,132,539,63,152,54,135,25,44,66
95BB17S2,672,147,59,88,525,55,113,86,111,24,43,93
95BB18S1,726,216,82,134,510,56,136,100,90,24,28,76
95BB18S2,912,156,64,92,756,26,149,138,210,35,66,132
95BB19S1,641,161,73,88,480,37,126,79,95,14,30,99
95BB19S2,599,65,17,48,534,23,136,40,153,28,49,105
95BB19S3,484,75,26,49,409,20,93,36,95,21,49,95
95BB20S1,677,170,70,100,507,30,101,79,93,36,51,117
95BB20S2,613,199,88,111,414,35,71,79,64,18,44,103
95BB21S1,932,231,101,130,701,54,150,128,137,44,54,134
95BB21S2,889,209,96,113,680,35,177,108,139,42,67,112
95BB22S1,596,143,27,116,453,57,115,51,114,25,32,59
95BB22S2,598,177,41,136,421,87,78,46,81,17,40,72
95BB23S1,638,150,79,71,488,14,117,131,74,12,37,103
95BB23S2,523,86,27,59,437,15,97,68,72,20,43,122
95CC01W1,904,234,92,142,670,75,133,79,127,33,62,161
95CC02W1,875,171,83,88,704,20,106,99,114,63,94,208
95CC03W1,1127,367,145,222,760,138,142,82,141,32,81,144
95CC04W1,790,177,94,83,613,35,89,84,80,60,96,169
95CC05W1,954,227,114,113,727,33,125,118,119,77,91,164
95CC06S1,579,150,58,92,429,26,100,77,87,19,39,81
95CC06S2,517,151,65,86,366,36,70,65,69,22,38,66
95CC07W1,1108,227,99,128,881,72,131,88,144,99,142,205
95CC08W1,990,286,120,166,704,102,124,94,122,43,73,146
95CC09S1,494,78,44,34,416,11,66,78,72,33,57,99
95CC09S2,696,157,51,106,539,26,133,78,113,33,48,108
95CC10W1,901,186,80,106,715,18,120,151,107,49,78,192
95CC11W1,786,290,112,178,496,61,100,97,50,24,40,124
95CC12W1,890,175,76,99,715,32,85,110,126,73,100,189
95CC13W1,817,168,65,103,649,24,107,93,104,53,82,186
95CC14W1,1132,249,119,130,883,59,197,135,186,65,60,181
95CC15W1,1007,213,98,115,794,47,124,121,150,63,91,198
95CC16W1,1076,302,158,144,774,71,136,127,144,61,78,157
95CC17W1,897,178,78,100,719,31,106,97,121,70,97,197
95CC18W1,937,284,138,146,653,45,128,118,109,40,55,158
95CC19W1,981,242,124,118,739,41,137,104,150,56,91,160
95CC20S1,484,112,53,59,372,17,77,49,93,29,33,74
95CC20S2,643,163,61,102,480,22,110,66,101,29,46,106
95CC21W1,1167,307,119,188,860,70,201,156,160,58,55,160
95CC22W1,842,370,166,204,472,44,122,96,65,18,28,99
95DD01W1,836,196,111,85,640,18,137,185,88,31,41,140
95DD02S1,599,167,81,86,432,31,90,88,77,19,36,91
95DD02S2,891,178,66,112,713,37,170,84,203,33,56,130
95DD03W1,1389,305,142,163,1084,73,274,204,229,51,65,188
95DD04W1,859,303,127,176,556,101,132,89,77,18,48,91
95DD05W1,685,174,51,123,511,92,115,55,70,24,53,102
95DD06W1,944,187,109,78,757,14,161,198,109,28,64,183
95DD07S1,689,186,99,87,503,39,104,139,80,16,34,91
95DD07S2,723,211,109,102,512,35,99,106,111,26,39,96
95DD08W1,1041,485,218,267,556,51,153,85,82,14,37,134
95DD09W1,929,164,78,86,765,24,154,157,129,50,70,181
95DD10W1,1180,361,195,166,819,67,187,145,146,37,54,183
95DD11W1,955,301,102,199,654,109,157,58,141,36,58,95
95DD12W1,890,163,82,81,727,16,124,135,131,49,95,177
95DD13W1,741,272,114,158,469,56,88,84,70,20,49,102
