GeographyCode,QS214NI0001,QS214NI0002,QS214NI0003,QS214NI0004,QS214NI0005,QS214NI0006,QS214NI0007,QS214NI0008,QS214NI0009,QS214NI0010
95AA01S1,1003,26,7,0,1,0,0,11,0,958
95AA01S2,1764,61,35,5,1,10,0,97,13,1542
95AA01S3,1435,28,7,1,0,3,1,21,1,1373
95AA02W1,1683,42,13,0,0,4,0,33,7,1584
95AA03W1,1736,26,8,1,1,3,2,17,2,1676
95AA04W1,2922,67,23,4,1,9,3,77,3,2735
95AA05W1,2586,161,58,11,0,13,4,153,23,2163
95AA06S1,1860,130,67,4,2,16,2,130,14,1495
95AA06S2,2561,162,70,11,3,26,4,175,19,2091
95AA07W1,2070,30,7,5,0,3,1,13,0,2011
95AA08W1,1616,53,12,4,0,4,1,28,2,1512
95AA09W1,2105,40,12,0,0,2,2,13,7,2029
95AA10W1,1884,40,11,2,1,3,0,33,3,1791
95AA11S1,2685,64,16,6,1,2,0,40,5,2551
95AA11S2,2424,77,18,7,0,4,0,58,3,2257
95AA12W1,2690,23,3,0,0,5,1,7,2,2649
95AA13S1,1660,88,26,10,2,7,4,77,7,1439
95AA13S2,1487,76,33,6,4,5,5,83,5,1270
95AA14W1,2275,89,32,8,4,9,1,60,6,2066
95AA15S1,2474,65,25,4,1,8,4,37,2,2328
95AA15S2,1432,33,12,4,1,12,1,20,5,1344
95AA16W1,1722,30,7,3,0,3,0,10,1,1668
95AA17W1,2044,52,15,5,3,6,5,29,2,1927
95AA18W1,2369,36,8,4,0,2,0,25,3,2291
95AA19W1,2555,238,73,16,3,22,12,157,25,2009
95BB01S1,1521,26,5,3,0,5,1,12,2,1467
95BB01S2,1964,26,14,4,0,0,0,14,0,1906
95BB02W1,2280,59,7,0,0,3,0,14,0,2197
95BB03S1,1942,12,3,2,0,1,0,16,0,1908
95BB03S2,2116,31,2,3,0,4,0,15,1,2060
95BB04S1,1396,13,4,1,0,1,1,5,2,1369
95BB04S2,1563,23,5,1,0,0,0,3,0,1531
95BB05S1,1454,13,5,1,0,1,2,6,0,1426
95BB05S2,1847,21,7,2,0,0,0,7,0,1810
95BB06W1,2778,52,8,1,0,10,1,21,2,2683
95BB07S1,1592,30,4,1,0,2,0,6,0,1549
95BB07S2,1258,11,2,0,0,0,0,3,0,1242
95BB08S1,1275,23,4,1,0,2,1,14,0,1230
95BB08S2,1233,9,3,0,0,0,4,5,3,1209
95BB09S1,1282,7,1,3,1,1,0,6,0,1263
95BB09S2,1568,9,0,1,0,1,0,5,0,1552
95BB10S1,1651,22,8,4,1,1,1,19,2,1593
95BB10S2,1591,18,5,2,0,4,0,13,2,1547
95BB11S1,1356,14,1,1,0,0,3,1,0,1336
95BB11S2,1512,11,2,0,0,3,1,17,1,1477
95BB12S1,1370,20,1,1,2,3,0,6,0,1337
95BB12S2,1281,15,4,1,0,1,0,10,0,1250
95BB13S1,1350,18,1,1,0,0,0,3,5,1322
95BB13S2,1413,12,4,0,2,1,1,5,2,1386
95BB13S3,1508,9,2,2,0,0,0,1,1,1493
95BB14S1,1479,9,5,0,0,0,0,11,1,1453
95BB14S2,1557,17,2,1,1,0,0,13,3,1520
95BB15S1,1924,75,18,4,1,5,3,57,11,1750
95BB15S2,1434,61,16,5,0,3,4,42,2,1301
95BB16S1,1497,9,1,1,0,1,1,7,2,1475
95BB16S2,1555,18,4,3,0,4,0,5,1,1520
95BB17S1,1707,15,1,0,2,2,0,15,1,1671
95BB17S2,1699,23,4,0,0,1,0,15,0,1656
95BB18S1,1619,11,4,0,0,0,0,8,0,1596
95BB18S2,2475,17,5,6,0,0,0,18,1,2428
95BB19S1,1548,10,4,0,0,0,1,8,0,1525
95BB19S2,1711,7,2,2,0,0,0,2,1,1697
95BB19S3,1344,20,4,2,0,1,0,4,0,1313
95BB20S1,1820,118,27,7,1,12,6,74,16,1559
95BB20S2,1477,71,14,2,4,7,1,51,16,1311
95BB21S1,2280,15,6,1,0,2,2,16,0,2238
95BB21S2,2234,49,10,4,4,3,4,43,5,2112
95BB22S1,1498,10,1,3,0,0,1,14,1,1468
95BB22S2,1413,10,2,0,1,1,2,23,0,1374
95BB23S1,1499,20,3,2,0,1,0,14,0,1459
95BB23S2,1442,8,6,0,1,0,0,9,2,1416
95CC01W1,2462,200,58,19,2,18,5,212,35,1913
95CC02W1,2613,197,79,16,1,23,13,229,23,2032
95CC03W1,2649,222,57,18,5,26,5,214,30,2072
95CC04W1,2348,195,61,27,2,16,7,171,21,1848
95CC05W1,2655,180,60,12,2,22,7,178,15,2179
95CC06S1,1397,109,26,14,1,13,4,100,9,1121
95CC06S2,1251,67,19,5,1,9,9,58,5,1078
95CC07W1,3309,270,99,18,4,27,18,223,39,2611
95CC08W1,2446,233,85,17,2,22,8,207,49,1823
95CC09S1,1439,28,6,3,0,3,0,20,2,1377
95CC09S2,1781,11,3,0,0,1,2,10,0,1754
95CC10W1,2505,63,21,3,2,8,2,65,6,2335
95CC11W1,1732,161,49,9,7,14,4,88,12,1388
95CC12W1,2650,142,37,9,2,19,8,136,15,2282
