GeographyCode,QS403NI0001,QS403NI0002,QS403NI0003,QS403NI0004,QS403NI0005,QS403NI0006,QS403NI0007,QS403NI0008,QS403NI0009,QS403NI0010,QS403NI0011,QS403NI0012,QS403NI0013,QS403NI0014
95AA01S1,982,93,14,79,0,26,8,18,857,66,601,3,187,6
95AA01S2,1814,1623,542,1081,0,22,15,7,141,105,12,16,8,28
95AA01S3,1494,1232,514,717,1,8,5,3,218,180,16,16,6,36
95AA02W1,1734,1156,481,667,8,231,223,8,311,290,0,19,2,36
95AA03W1,1822,1132,396,719,17,419,408,11,252,225,11,16,0,19
95AA04W1,3002,2791,1233,1550,8,13,13,0,148,126,0,22,0,50
95AA05W1,2654,2229,912,1308,9,132,132,0,251,200,8,29,14,42
95AA06S1,1953,1613,371,1224,18,121,75,46,202,154,12,34,2,17
95AA06S2,2651,2212,309,1881,22,208,117,91,205,153,5,28,19,26
95AA07W1,2119,1680,802,876,2,146,145,1,256,214,10,25,7,37
95AA08W1,1676,1021,339,655,27,389,386,3,236,228,0,8,0,30
95AA09W1,2143,1248,503,741,4,557,553,4,294,285,0,9,0,44
95AA10W1,1953,1304,515,778,11,456,446,10,156,144,0,11,1,37
95AA11S1,2698,2026,562,1454,10,149,120,29,467,431,7,22,7,56
95AA11S2,2431,2112,460,1637,15,32,8,24,273,262,0,9,2,14
95AA12W1,2775,2492,1090,1401,1,71,37,34,144,128,0,16,0,68
95AA13S1,1707,1272,471,795,6,86,24,62,307,265,0,34,8,42
95AA13S2,1561,1181,316,861,4,98,58,40,267,249,0,14,4,15
95AA14W1,2302,2110,1096,1010,4,8,7,1,133,111,0,12,10,51
95AA15S1,2630,1932,348,1542,42,165,165,0,513,478,5,29,1,20
95AA15S2,1472,741,149,581,11,425,423,2,281,266,6,9,0,25
95AA16W1,1807,1028,327,676,25,378,370,8,365,342,5,14,4,36
95AA17W1,2142,1567,404,1128,35,326,308,18,222,207,2,10,3,27
95AA18W1,2373,2044,1100,940,4,31,28,3,262,232,5,23,2,36
95AA19W1,2645,2041,1007,1033,1,274,241,33,284,224,12,41,7,46
95BB01S1,1574,1430,567,860,3,46,43,3,79,72,0,1,6,19
95BB01S2,2035,1834,566,1264,4,97,97,0,75,67,0,8,0,29
95BB02W1,2334,1375,648,693,34,590,474,116,288,219,9,43,17,81
95BB03S1,2026,1388,509,850,29,302,232,70,313,277,5,28,3,23
95BB03S2,2191,1765,817,920,28,147,147,0,210,182,2,21,5,69
95BB04S1,1399,988,480,498,10,188,149,39,185,168,0,11,6,38
95BB04S2,1610,1472,742,722,8,16,10,6,96,82,0,7,7,26
95BB05S1,1490,1250,551,692,7,69,43,26,126,126,0,0,0,45
95BB05S2,1911,1523,616,897,10,156,152,4,197,173,0,23,1,35
95BB06W1,2870,1467,625,800,42,676,498,178,654,612,2,38,2,73
95BB07S1,1601,783,332,436,15,425,169,256,331,309,3,13,6,62
95BB07S2,1295,1103,510,589,4,111,109,2,60,52,4,4,0,21
95BB08S1,1331,719,229,477,13,402,397,5,147,134,0,13,0,63
95BB08S2,1294,1166,390,759,17,14,14,0,95,86,2,7,0,19
95BB09S1,1291,1106,538,568,0,24,8,16,143,125,11,7,0,18
95BB09S2,1618,1334,531,797,6,38,33,5,228,212,4,12,0,18
95BB10S1,1663,1064,508,541,15,238,171,67,320,291,4,25,0,41
95BB10S2,1615,1436,669,767,0,54,54,0,113,106,0,4,3,12
95BB11S1,1408,891,259,618,14,420,377,43,73,63,0,8,2,24
95BB11S2,1495,1256,536,710,10,84,73,11,133,121,2,10,0,22
95BB12S1,1440,680,250,409,21,483,447,36,247,230,4,12,1,30
95BB12S2,1336,1085,510,569,6,183,175,8,50,33,4,13,0,18
95BB13S1,1392,927,273,648,6,391,346,45,47,40,0,0,7,27
95BB13S2,1466,1045,473,565,7,265,247,18,121,107,2,12,0,35
95BB13S3,1580,1423,369,1021,33,24,16,8,125,115,5,5,0,8
95BB14S1,1510,1387,638,745,4,16,16,0,78,74,0,4,0,29
95BB14S2,1578,1356,594,760,2,67,64,3,137,124,4,9,0,18
95BB15S1,2005,1689,751,931,7,86,86,0,186,165,0,20,1,44
95BB15S2,1484,1030,352,676,2,177,175,2,265,237,0,26,2,12
95BB16S1,1533,1411,752,653,6,9,9,0,100,88,0,12,0,13
95BB16S2,1600,1441,726,705,10,51,48,3,99,87,4,8,0,9
95BB17S1,1793,1431,321,1055,55,181,173,8,166,154,0,12,0,15
95BB17S2,1742,1293,531,755,7,271,267,4,160,154,0,6,0,18
95BB18S1,1688,1154,394,754,6,269,227,42,240,227,0,11,2,25
95BB18S2,2524,2287,735,1544,8,18,18,0,196,182,0,11,3,23
95BB19S1,1557,1311,448,841,22,86,86,0,143,118,0,25,0,17
95BB19S2,1777,1657,361,1286,10,10,7,3,106,93,0,13,0,4
95BB19S3,1391,1285,302,983,0,16,16,0,86,79,0,7,0,4
95BB20S1,1844,1501,620,874,7,105,84,21,211,196,0,12,3,27
95BB20S2,1524,980,355,623,2,285,247,38,208,182,0,26,0,51
95BB21S1,2379,1923,643,1254,26,167,149,18,259,231,0,25,3,30
95BB21S2,2320,2009,696,1303,10,56,54,2,219,180,5,32,2,36
95BB22S1,1525,1032,207,812,13,336,318,18,140,128,0,12,0,17
95BB22S2,1468,753,149,594,10,587,569,18,94,93,0,1,0,34
95BB23S1,1540,1400,698,701,1,22,17,5,108,99,0,8,1,10
95BB23S2,1436,1303,497,790,16,7,7,0,118,116,0,2,0,8
95CC01W1,2376,1643,586,1051,6,172,172,0,537,508,0,17,12,24
95CC02W1,2693,2364,1169,1195,0,75,37,38,209,156,3,47,3,45
95CC03W1,2791,1246,402,825,19,654,580,74,827,762,3,22,40,64
95CC04W1,2384,2051,986,1065,0,96,96,0,199,168,3,28,0,38
95CC05W1,2749,2306,1026,1272,8,80,52,28,304,245,9,43,7,59
95CC06S1,1458,1216,488,728,0,8,6,2,215,188,0,27,0,19
95CC06S2,1292,1000,366,627,7,100,91,9,176,168,5,3,0,16
95CC07W1,3475,2837,1290,1547,0,221,74,147,358,320,0,32,6,59
95CC08W1,2511,1577,544,1019,14,360,288,72,522,467,6,38,11,52
95CC09S1,1485,1372,642,730,0,0,0,0,87,68,0,14,5,26
95CC09S2,1838,1486,601,882,3,65,65,0,261,216,17,27,1,26
95CC10W1,2495,2180,1127,1046,7,54,51,3,219,197,2,18,2,42
95CC11W1,1787,1141,541,590,10,201,197,4,383,335,11,36,1,62
95CC12W1,2751,2480,1308,1168,4,71,71,0,138,118,0,16,4,62
95CC13W1,2474,2164,1084,1078,2,90,69,21,164,149,0,14,1,56
95CC14W1,3017,2541,967,1564,10,92,92,0,350,318,5,25,2,34
95CC15W1,2893,2406,1062,1333,11,142,117,25,293,250,14,22,7,52
95CC16W1,2801,2041,960,1076,5,226,213,13,466,444,0,17,5,68
95CC17W1,2724,2421,1052,1365,4,24,21,3,241,222,0,15,4,38
95CC18W1,2309,1627,739,880,8,264,213,51,344,317,0,25,2,74
95CC19W1,2720,2248,1063,1183,2,175,137,38,239,213,0,15,11,58
95CC20S1,1308,1117,498,613,6,41,39,2,121,103,3,15,0,29
95CC20S2,1658,1265,463,797,5,122,83,39,255,237,0,13,5,16
95CC21W1,2925,2214,925,1277,12,265,259,6,394,370,0,24,0,52
95CC22W1,1724,961,499,462,0,407,338,69,315,274,1,33,7,41
95DD01W1,2031,1687,956,721,10,53,36,17,247,225,4,13,5,44
95DD02S1,1453,1110,439,666,5,200,175,25,120,114,0,5,1,23
95DD02S2,2419,2065,721,1324,20,31,29,2,288,268,0,20,0,35
95DD03W1,3474,2754,1109,1621,24,39,38,1,634,575,12,40,7,47
95DD04W1,1926,845,309,522,14,863,819,44,163,157,0,4,2,55
95DD05W1,1739,917,318,583,16,648,647,1,126,114,3,6,3,48
95DD06W1,2427,2111,1120,990,1,16,16,0,264,246,0,18,0,36
95DD07S1,1596,1143,626,510,7,147,139,8,258,241,3,13,1,48
95DD07S2,1767,1400,584,802,14,124,72,52,202,192,0,3,7,41
95DD08W1,2083,895,478,404,13,285,198,87,844,775,0,53,16,59
95DD09W1,2572,2274,1229,1042,3,40,40,0,218,185,1,32,0,40
95DD10W1,2805,1983,944,1028,11,450,354,96,323,301,0,19,3,49
95DD11W1,2363,1033,320,704,9,676,603,73,615,570,5,19,21,39
95DD12W1,2582,2322,1289,1033,0,51,44,7,142,128,2,9,3,67
95DD13W1,1743,1106,496,594,16,239,211,28,366,343,2,20,1,32
95DD14S1,1601,1311,554,747,10,63,56,7,201,182,0,14,5,26
