GeographyCode,QS409NI0001,QS409NI0002,QS409NI0003,QS409NI0004,QS409NI0005
95AA01S1,982,378,586,18,0
95AA01S2,1814,1034,726,43,11
95AA01S3,1494,966,518,10,0
95AA02W1,1734,966,719,39,10
95AA03W1,1822,957,789,70,6
95AA04W1,3002,1836,1097,60,9
95AA05W1,2654,1387,1150,82,35
95AA06S1,1953,843,1026,70,14
95AA06S2,2651,1003,1536,92,20
95AA07W1,2119,1233,832,46,8
95AA08W1,1676,787,830,54,5
95AA09W1,2143,1125,968,46,4
95AA10W1,1953,1084,815,54,0
95AA11S1,2698,1493,1170,30,5
95AA11S2,2431,1198,1203,17,13
95AA12W1,2775,1910,828,28,9
95AA13S1,1707,876,773,33,25
95AA13S2,1561,763,738,56,4
95AA14W1,2302,1411,832,49,10
95AA15S1,2630,1192,1365,60,13
95AA15S2,1472,649,723,83,17
95AA16W1,1807,877,858,65,7
95AA17W1,2142,971,1076,86,9
95AA18W1,2373,1719,607,42,5
95AA19W1,2645,1108,1315,188,34
95BB01S1,1574,864,688,18,4
95BB01S2,2035,1081,924,30,0
95BB02W1,2334,1472,804,52,6
95BB03S1,2026,1169,825,20,12
95BB03S2,2191,1327,801,54,9
95BB04S1,1399,982,411,6,0
95BB04S2,1610,1145,439,11,15
95BB05S1,1490,956,521,8,5
95BB05S2,1911,1157,698,43,13
95BB06W1,2870,1707,1099,50,14
95BB07S1,1601,998,569,24,10
95BB07S2,1295,733,522,40,0
95BB08S1,1331,626,640,54,11
95BB08S2,1294,584,696,14,0
95BB09S1,1291,838,435,16,2
95BB09S2,1618,1000,582,25,11
95BB10S1,1663,1126,475,40,22
95BB10S2,1615,1245,332,28,10
95BB11S1,1408,741,642,18,7
95BB11S2,1495,1004,470,16,5
95BB12S1,1440,720,644,62,14
95BB12S2,1336,894,411,23,8
95BB13S1,1392,775,589,28,0
95BB13S2,1466,757,644,51,14
95BB13S3,1580,723,801,37,19
95BB14S1,1510,1010,494,6,0
95BB14S2,1578,1019,524,35,0
95BB15S1,2005,1072,855,53,25
95BB15S2,1484,732,732,13,7
95BB16S1,1533,1018,498,17,0
95BB16S2,1600,1141,437,18,4
95BB17S1,1793,765,966,44,18
95BB17S2,1742,937,766,33,6
95BB18S1,1688,888,732,62,6
95BB18S2,2524,1564,954,6,0
95BB19S1,1557,864,667,21,5
95BB19S2,1777,898,848,26,5
95BB19S3,1391,639,723,18,11
95BB20S1,1844,900,875,69,0
95BB20S2,1524,609,839,62,14
95BB21S1,2379,1225,1109,45,0
95BB21S2,2320,1275,984,56,5
95BB22S1,1525,701,760,57,7
95BB22S2,1468,611,788,52,17
95BB23S1,1540,955,563,18,4
95BB23S2,1436,820,592,21,3
95CC01W1,2376,1075,1152,132,17
95CC02W1,2693,1237,1310,124,22
95CC03W1,2791,1129,1407,175,80
95CC04W1,2384,1002,1253,116,13
95CC05W1,2749,1357,1245,121,26
95CC06S1,1458,838,604,12,4
95CC06S2,1292,717,516,54,5
95CC07W1,3475,1499,1851,97,28
95CC08W1,2511,1175,1234,86,16
95CC09S1,1485,874,586,25,0
95CC09S2,1838,1056,741,41,0
95CC10W1,2495,1533,922,36,4
95CC11W1,1787,928,770,81,8
95CC12W1,2751,1325,1327,81,18
95CC13W1,2474,1228,1083,147,16
95CC14W1,3017,1631,1343,31,12
95CC15W1,2893,1491,1287,82,33
95CC16W1,2801,1477,1273,42,9
95CC17W1,2724,1318,1344,30,32
95CC18W1,2309,1521,690,58,40
95CC19W1,2720,1459,1186,60,15
95CC20S1,1308,740,550,8,10
95CC20S2,1658,817,774,67,0
95CC21W1,2925,1656,1211,44,14
95CC22W1,1724,1015,641,50,18
95DD01W1,2031,1403,619,0,9
95DD02S1,1453,837,595,21,0
95DD02S2,2419,1385,1016,12,6
95DD03W1,3474,2344,1090,18,22
95DD04W1,1926,967,881,62,16
95DD05W1,1739,714,888,125,12
95DD06W1,2427,1521,846,51,9
95DD07S1,1596,982,597,17,0
95DD07S2,1767,1152,586,12,17
95DD08W1,2083,1147,814,98,24
95DD09W1,2572,1750,793,27,2
95DD10W1,2805,1563,1140,79,23
95DD11W1,2363,1024,1177,103,59
95DD12W1,2582,1517,999,66,0
95DD13W1,1743,871,766,85,21
95DD14S1,1601,864,677,53,7
95DD14S2,1667,1160,491,16,0
95DD15W1,3451,1779,1581,76,15
95DD16W1,2943,1799,1096,40,8
95DD17W1,3461,1957,1443,46,15
95DD18W1,1813,1155,603,43,12
95DD19S1,1855,940,880,22,13
95DD19S2,1460,922,520,12,6
95DD20W1,1742,926,731,72,13
95DD21W1,2130,1177,865,64,24
95DD22S1,1537,916,584,33,4
95DD22S2,1581,843,645,72,21
95DD23W1,2490,1617,845,15,13
95DD24W1,2692,1336,1240,99,17
95EE01W1,1895,766,1028,70,31
95EE02W1,2095,1160,861,68,6
95EE03W1,1983,1068,861,43,11
95EE04W1,1990,924,1007,51,8
95EE05W1,1497,905,553,31,8
95EE06W1,2278,817,1291,149,21
95EE07W1,1798,968,785,40,5
95EE08W1,1633,1055,538,40,0
95EE09W1,1859,869,914,58,18
95EE10W1,1797,726,960,90,21
95EE11W1,1677,852,780,29,16
95EE12W1,2500,1324,1083,74,19
95EE13W1,1529,986,506,29,8
95EE14W1,2684,1520,1084,75,5
95EE15W1,1728,881,778,64,5
95EE16W1,2111,1052,943,97,19
95FF01S1,2098,1203,867,24,4
95FF01S2,2655,1689,934,32,0
95FF02W1,2817,1307,1403,103,4
95FF03W1,3006,1441,1453,94,18
95FF04W1,2629,1513,1063,53,0
95FF05W1,2563,1484,1015,62,2
95FF06S1,1974,1079,860,14,21
95FF06S2,2080,1136,902,37,5
95FF07W1,2763,1259,1403,91,10
95FF08W1,2328,1316,995,17,0
95FF09W1,2521,1292,1126,85,18
95FF10W1,3473,1924,1456,64,29
95FF11W1,2582,1403,1101,70,8
95FF12W1,2721,1463,1211,39,8
95FF13W1,2708,1536,1072,82,18
95FF14W1,2413,1668,721,22,2
95FF15W1,2680,1312,1267,88,13
95FF16W1,2317,1491,785,30,11
95FF17W1,1717,970,689,51,7
95GG01S1,1765,892,778,81,14
95GG01S2,1464,673,717,57,17
95GG01S3,1616,738,803,53,22
95GG02S1,1745,810,817,97,21
95GG02S2,2018,788,1097,128,5
95GG02S3,2224,845,1167,162,50
95GG03S1,1952,1276,638,26,12
95GG03S2,1833,1167,610,23,33
95GG03S3,2072,1309,696,45,22
95GG04S1,1708,760,854,79,15
95GG04S2,1564,610,832,113,9
95GG04S3,1636,891,670,49,26
95GG05S1,1777,1068,661,30,18
95GG05S2,2009,1096,819,67,27
95GG05S3,2106,1139,845,96,26
95GG06S1,1866,932,793,99,42
95GG06S2,1779,974,739,62,4
95GG06S3,1922,938,930,39,15
95GG07S1,1844,772,890,110,72
95GG07S2,1922,744,987,161,30
95GG07S3,1701,657,927,105,12
95GG08S1,1394,759,576,44,15
95GG08S2,1730,876,765,73,16
95GG08S3,1786,882,830,56,18
95GG09S1,2089,1307,758,14,10
95GG09S2,1856,1053,758,41,4
95GG09S3,2110,1004,964,112,30
95GG10S1,1826,1033,648,123,22
95GG10S2,2171,1095,979,88,9
95GG11S1,1895,1092,691,78,34
