GeographyCode,QS602NI0001,QS602NI0002,QS602NI0003,QS602NI0004,QS602NI0005,QS602NI0006,QS602NI0007,QS602NI0008,QS602NI0009,QS602NI0010,QS602NI0011,QS602NI0012,QS602NI0013,QS602NI0014,QS602NI0015,QS602NI0016
95AA01S1,307,303,7,282,2,3,1,4,1,3,4,2,0,0,0,2
95AA01S2,562,479,38,304,3,43,15,67,9,0,83,53,1,4,18,7
95AA01S3,531,451,35,302,1,37,16,44,12,4,80,62,1,6,6,5
95AA02W1,711,496,76,350,0,15,7,15,30,3,215,132,0,13,56,14
95AA03W1,744,490,94,329,0,6,4,24,32,1,254,129,4,28,57,36
95AA04W1,918,766,61,434,3,80,26,141,16,5,152,104,2,12,26,8
95AA05W1,821,633,52,413,2,40,10,92,21,3,188,118,3,16,34,17
95AA06S1,615,488,87,308,2,21,5,39,23,3,127,73,2,13,32,7
95AA06S2,806,633,79,441,3,20,14,49,20,7,173,90,2,31,37,13
95AA07W1,733,562,63,331,0,36,14,97,20,1,171,99,2,11,47,12
95AA08W1,639,418,88,266,2,7,4,13,34,4,221,103,3,32,69,14
95AA09W1,856,574,101,389,3,13,13,18,34,3,282,138,5,36,75,28
95AA10W1,723,455,74,292,1,11,9,28,34,6,268,138,0,38,65,27
95AA11S1,1007,799,82,605,2,30,13,41,23,3,208,127,3,17,45,16
95AA11S2,812,701,46,547,0,20,13,60,12,3,111,74,1,8,19,9
95AA12W1,874,729,48,454,3,67,18,129,10,0,145,119,0,7,13,6
95AA13S1,568,436,47,300,0,18,10,39,16,6,132,75,1,15,35,6
95AA13S2,538,417,52,284,2,13,7,41,17,1,121,79,1,11,24,6
95AA14W1,670,547,46,330,2,56,9,90,12,2,123,97,2,7,9,8
95AA15S1,953,795,78,617,2,18,17,38,24,1,158,81,2,15,46,14
95AA15S2,568,423,59,295,0,8,9,14,32,6,145,53,3,24,51,14
95AA16W1,744,527,86,359,1,8,3,24,40,6,217,111,1,21,62,22
95AA17W1,808,583,93,393,0,12,7,35,42,1,225,121,2,27,60,15
95AA18W1,851,637,62,401,6,70,19,68,8,3,214,175,0,7,19,13
95AA19W1,740,558,75,301,0,48,12,104,18,0,182,77,2,26,45,32
95BB01S1,480,397,30,263,1,30,15,54,4,0,83,59,0,11,9,4
95BB01S2,696,576,59,394,2,32,12,60,13,4,120,97,1,7,13,2
95BB02W1,889,574,103,325,0,34,23,35,53,1,315,171,3,26,86,29
95BB03S1,751,516,76,340,0,20,9,32,36,3,235,159,1,11,47,17
95BB03S2,765,516,56,299,4,49,16,70,21,1,249,167,3,13,46,20
95BB04S1,542,374,57,237,0,14,13,29,21,3,168,124,0,9,33,2
95BB04S2,539,388,49,238,2,39,19,30,11,0,151,135,2,2,10,2
95BB05S1,497,388,38,212,2,40,18,66,12,0,109,80,0,7,17,5
95BB05S2,671,502,58,281,2,43,14,90,13,1,169,118,0,12,27,12
95BB06W1,1245,813,147,520,0,19,10,45,66,6,432,226,7,41,116,42
95BB07S1,657,453,76,292,0,19,7,31,26,2,204,122,4,22,46,10
95BB07S2,444,319,48,208,0,17,5,31,9,1,125,99,1,10,10,5
95BB08S1,478,305,47,192,0,6,8,29,19,4,173,106,2,13,43,9
95BB08S2,458,367,45,269,1,15,2,27,8,0,91,70,0,2,17,2
95BB09S1,482,355,53,223,0,16,12,43,7,1,127,108,1,4,10,4
95BB09S2,625,489,52,357,0,17,9,39,12,3,136,121,0,3,11,1
