Geography,GeographyCode,Total,SomeUlsterScots,SomeUlsterScots_pct
ANTRIM,N11000001,24639,2370,9.62
CRUMLIN,N11000003,5197,184,3.54
PARKGATE,N11000009,646,139,21.52
RANDALSTOWN,N11000010,4959,621,12.52
TEMPLEPATRICK,N11000011,1480,231,15.61
TOOME,N11000012,955,35,3.66
BALLYGOWAN,N11000022,3026,370,12.23
BALLYHALBERT,N11000023,1224,253,20.67
BALLYWALTER,N11000025,1961,479,24.43
CARROWDORE,N11000026,1023,152,14.86
CLOUGHEY,N11000027,1300,274,21.08
COMBER,N11000028,9236,1238,13.40
DONAGHADEE,N11000030,7131,1053,14.77
GREYABBEY,N11000032,858,264,30.77
KIRCUBBIN,N11000035,1043,127,12.18
LISBANE,N11000037,501,72,14.37
MILLISLE,N11000039,2449,377,15.39
NEWTOWNARDS,N11000040,28763,3893,13.53
PORTAFERRY,N11000041,2319,154,6.64
PORTAVOGIE,N11000042,2202,933,42.37
ARMAGH,N11000051,15645,873,5.58
HAMILTONSBAWN,N11000072,994,185,18.61
KEADY,N11000073,3167,103,3.25
LAURELVALE / MULLAVILLY,N11000076,1334,231,17.32
MARKETHILL,N11000081,1816,308,16.96
MILFORD,N11000083,530,20,3.77
POYNTZPASS,N11000088,600,28,4.67
RICHHILL,N11000089,2657,365,13.74
TANDRAGEE,N11000093,3403,502,14.75
AHOGHILL,N11000098,3415,957,28.02
BALLYMENA,N11000099,30145,5535,18.36
BROUGHSHANE,N11000100,3014,967,32.08
CARGAN,N11000101,594,56,9.43
CULLYBACKEY,N11000103,2578,807,31.30
GRANGE CORNER,N11000104,490,125,25.51
KELLS / CONNOR,N11000105,2020,536,26.53
PORTGLENONE,N11000107,1304,202,15.49
BALLYBOGY,N11000108,540,204,37.78
BALLYMONEY,N11000109,10683,3604,33.74
BALNAMORE,N11000110,801,289,36.08
BENDOORAGH,N11000111,607,242,39.87
CLOGH MILLS,N11000114,1188,330,27.78
DERVOCK,N11000117,728,328,45.05
DUNLOY,N11000119,1076,71,6.60
RASHARKIN,N11000123,1040,103,9.90
BANBRIDGE,N11000131,16827,1399,8.31
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6172,690,11.18
GILFORD,N11000137,1893,119,6.29
KINALLEN,N11000141,1086,134,12.34
LAWRENCETOWN,N11000142,948,37,3.90
LOUGHBRICKLAND,N11000145,755,59,7.81
RATHFRILAND,N11000147,2400,329,13.71
BELFAST CITY,N11000151,283631,21025,7.41
CARRICKFERGUS,N11000153,27350,3265,11.94
GREENISLAND,N11000154,5747,566,9.85
WHITEHEAD,N11000157,3467,464,13.38
CARRYDUFF,N11000159,6941,461,6.64
METROPOLITAN CASTLEREAGH,N11000162,56608,5205,9.19
MONEYREAGH,N11000163,1480,200,13.51
ARTICLAVE,N11000165,884,179,20.25
CASTLEROCK,N11000170,1137,237,20.84
CASTLEROE,N11000171,645,125,19.38
COLERAINE,N11000173,23720,3831,16.15
GARVAGH,N11000176,1218,278,22.82
KILREA,N11000179,1601,152,9.49
MACOSQUIN,N11000180,586,86,14.68
PORTBALLINTRAE,N11000182,492,176,35.77
PORTRUSH,N11000183,5981,1046,17.49
PORTSTEWART,N11000184,7661,1168,15.25
ARDBOE,N11000186,734,16,2.18
BALLYRONAN,N11000190,578,26,4.50
COAGH,N11000192,731,111,15.18
COOKSTOWN,N11000193,12063,1114,9.23
MONEYMORE,N11000203,2013,219,10.88
MOORTOWN,N11000204,520,9,1.73
POMEROY,N11000206,759,50,6.59
STEWARTSTOWN,N11000208,619,40,6.46
AGHAGALLON,N11000212,1112,31,2.79
BLEARY,N11000216,1073,79,7.36
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,69488,4646,6.69
DERRYMACASH,N11000220,687,22,3.20
DOLLINGSTOWN,N11000223,2173,282,12.98
DONAGHCLONEY,N11000224,1889,206,10.91
DRUMNACANVY,N11000225,1091,143,13.11
MAGHERALIN,N11000228,1904,140,7.35
SCOTCH STREET,N11000232,636,65,10.22
THE BIRCHES,N11000234,500,85,17.00
WARINGSTOWN,N11000235,3702,487,13.16
CLAUDY,N11000240,1294,77,5.95
CULMORE,N11000242,3527,132,3.74
DERRY CITY,N11000243,82149,3602,4.38
EGLINTON,N11000244,3458,284,8.21
LETTERSHENDONEY,N11000248,545,5,0.92
NEWBUILDINGS,N11000250,2722,434,15.94
STRATHFOYLE,N11000254,2504,62,2.48
ANNSBOROUGH,N11000258,762,7,0.92
ARDGLASS,N11000259,1685,47,2.79
BALLYNAHINCH,N11000263,5939,680,11.45
CASTLEWELLAN,N11000268,2715,78,2.87
CROSSGAR,N11000273,1920,96,5.00
DARRAGH CROSS,N11000274,509,17,3.34
DOWNPATRICK,N11000276,11107,267,2.40
DRUMANESS,N11000278,1271,18,1.42
DUNDRUM,N11000280,1502,130,8.66
KILLOUGH,N11000283,923,23,2.49
KILLYLEAGH,N11000284,2687,236,8.78
NEWCASTLE,N11000288,8006,467,5.83
SAINTFIELD,N11000290,3491,356,10.20
STRANGFORD,N11000294,549,23,4.19
THE SPA,N11000295,573,78,13.61
ANNAGHMORE (MID ULSTER LGD),N11000297,987,16,1.62
