Geography,GeographyCode,Total,SomeUlsterScots,SomeUlsterScots_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3235,268,8.28
Aldergrove,N08000102,4540,448,9.87
Antrim Centre,N08000103,3968,380,9.58
Ballyclare East,N08000104,3996,680,17.02
Ballyclare West,N08000105,3895,659,16.92
Ballyduff,N08000106,2941,377,12.82
Ballyhenry,N08000107,2634,200,7.59
Ballynure,N08000108,3501,781,22.31
Ballyrobert,N08000109,3686,652,17.69
Burnthill,N08000110,3588,365,10.17
Carnmoney,N08000111,2549,294,11.53
Carnmoney Hill,N08000112,3202,353,11.02
Clady,N08000113,3711,395,10.64
Collinbridge,N08000114,2834,111,3.92
Cranfield,N08000115,3064,519,16.94
Crumlin,N08000116,3606,144,3.99
Doagh,N08000117,3355,757,22.56
Fairview,N08000118,3014,310,10.29
Fountain Hill,N08000119,3369,391,11.61
Glebe (Antrim and Newtownabbey LGD),N08000120,2950,156,5.29
Glengormley,N08000121,3308,269,8.13
Greystone (Antrim and Newtownabbey LGD),N08000122,2941,359,12.21
Hightown,N08000123,3036,230,7.58
Jordanstown,N08000124,3169,387,12.21
Mallusk,N08000125,5988,418,6.98
Monkstown,N08000126,3593,432,12.02
Mossley,N08000127,3580,402,11.23
O'Neill,N08000128,3209,486,15.14
Parkgate,N08000129,3178,760,23.91
Randalstown,N08000130,3607,405,11.23
Rathcoole,N08000131,3239,433,13.37
Rostulla,N08000132,3824,442,11.56
Shilvodan,N08000133,3748,612,16.33
Springfarm,N08000134,5295,404,7.63
Steeple,N08000135,3654,405,11.08
Stiles,N08000136,3838,322,8.39
Templepatrick,N08000137,3411,567,16.62
Toome,N08000138,3791,327,8.63
Valley (Antrim and Newtownabbey LGD),N08000139,3581,169,4.72
Whitehouse,N08000140,3117,336,10.78
Aghagallon,N08000201,4862,165,3.39
Ballybay,N08000202,5258,612,11.64
Banbridge East,N08000203,4332,525,12.12
Banbridge North,N08000204,4161,390,9.37
Banbridge South,N08000205,4863,426,8.76
Banbridge West,N08000206,5244,321,6.12
Blackwatertown,N08000207,5311,391,7.36
Bleary,N08000208,4810,597,12.41
Brownlow,N08000209,6343,116,1.83
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,4928,144,2.92
Corcrain,N08000211,5240,120,2.29
Craigavon Centre,N08000212,6490,450,6.93
Demesne,N08000213,5451,262,4.81
Derrytrasna,N08000214,4799,179,3.73
Donaghcloney,N08000215,4764,559,11.73
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4668,544,11.65
Gilford,N08000217,4829,400,8.28
Gransha,N08000218,4972,834,16.77
Hamiltonsbawn,N08000219,4783,1047,21.89
Keady,N08000220,5007,247,4.93
Kernan,N08000221,5629,636,11.30
Killycomain,N08000222,5101,511,10.02
