Geography,GeographyCode,AllHouseholds
Airport,N10000101,7964
Antrim,N10000102,10223
Ballyclare,N10000103,7880
Dunsilly,N10000104,6561
Glengormley Urban,N10000105,9086
Macedon,N10000106,9274
Three Mile Water,N10000107,8469
Armagh,N10000201,12152
Banbridge,N10000202,13999
Craigavon,N10000203,10913
Cusher,N10000204,9702
Lagan River,N10000205,9510
Lurgan,N10000206,15382
Portadown,N10000207,12984
Balmoral,N10000301,10664
Black Mountain,N10000302,14624
Botanic,N10000303,20403
Castle,N10000304,14382
Collin,N10000305,13053
Court,N10000306,15267
Lisnasharragh,N10000307,12905
Oldpark,N10000308,14986
Ormiston,N10000309,15189
Titanic,N10000310,17735
Ballymoney,N10000401,9754
Bann,N10000402,6740
Benbradagh,N10000403,6639
Causeway,N10000404,10712
Coleraine,N10000405,10257
Limavady,N10000406,6582
The Glens,N10000407,6891
Ballyarnett,N10000501,9639
Derg,N10000502,7016
Faughan,N10000503,7309
Foyleside,N10000504,7398
Sperrin,N10000505,9684
The Moor,N10000506,7625
Waterside,N10000507,12265
Enniskillen,N10000601,7880
Erne East,N10000602,6050
Erne North,N10000603,6118
Erne West,N10000604,5422
Mid Tyrone,N10000605,6138
Omagh,N10000606,8023
West Tyrone,N10000607,6087
Castlereagh East,N10000701,9281
Castlereagh South,N10000702,9283
Downshire East,N10000703,6492
Downshire West,N10000704,7220
Killultagh,N10000705,7802
Lisburn North,N10000706,10075
Lisburn South,N10000707,9994
Ballymena,N10000801,10247
Bannside,N10000802,7739
Braid,N10000803,9321
Carrick Castle,N10000804,8054
Coast Road,N10000805,7661
Knockagh,N10000806,7363
Larne Lough,N10000807,7898
Carntogher,N10000901,5944
Clogher Valley,N10000902,7860
Cookstown,N10000903,9111
Dungannon,N10000904,9367
Magherafelt,N10000905,7111
Moyola,N10000906,6506
Torrent,N10000907,8109
Crotlieve,N10001001,10197
Downpatrick,N10001002,8529
Newry,N10001003,10893
Rowallane,N10001004,8675
Slieve Croob,N10001005,7781
Slieve Gullion,N10001006,10776
The Mournes,N10001007,11544
Ards Peninsula,N10001101,10311
Bangor Central,N10001102,11951
Bangor East and Donaghadee,N10001103,9693
Bangor West,N10001104,8775
Comber,N10001105,8227
Holywood and Clandeboye,N10001106,8634
Newtownards,N10001107,12854
