Geography,GeographyCode,AllHouseholds
Dunsilly_A,N21000001,1132
Dunsilly_B,N21000002,1162
Dunsilly_C,N21000003,873
Dunsilly_D,N21000004,1310
Dunsilly_E,N21000005,802
Dunsilly_F,N21000006,1282
Antrim_A,N21000007,702
Antrim_B,N21000008,665
Antrim_C,N21000009,961
Antrim_D,N21000010,944
Antrim_E,N21000011,749
Antrim_F,N21000012,999
Antrim_G,N21000013,1015
Antrim_H,N21000014,620
Antrim_J,N21000015,961
Antrim_K,N21000016,1026
Antrim_L,N21000017,771
Antrim_N,N21000018,810
Ballyclare_A,N21000019,810
Ballyclare_B,N21000020,1167
Ballyclare_C,N21000021,1165
Ballyclare_D,N21000022,1124
Ballyclare_E,N21000023,1158
Ballyclare_F,N21000024,1221
Ballyclare_G,N21000025,634
Ballyclare_H,N21000026,601
Three_Mile_Water_A,N21000027,995
Three_Mile_Water_B,N21000028,628
Three_Mile_Water_C,N21000029,711
Three_Mile_Water_D,N21000030,845
Three_Mile_Water_E,N21000031,974
Three_Mile_Water_F,N21000032,851
Three_Mile_Water_G,N21000033,952
Three_Mile_Water_H,N21000034,914
Three_Mile_Water_J,N21000035,663
Three_Mile_Water_K,N21000036,935
Macedon_A,N21000037,606
Macedon_B,N21000038,943
Macedon_C,N21000039,975
Macedon_D,N21000040,737
Macedon_E,N21000041,793
Macedon_F,N21000042,712
Macedon_G,N21000043,985
Macedon_H,N21000044,692
Macedon_J,N21000045,986
Macedon_K,N21000046,1005
Macedon_L,N21000047,840
Glengormley_Urban_A,N21000048,655
Glengormley_Urban_B,N21000049,974
Glengormley_Urban_C,N21000050,886
Glengormley_Urban_D,N21000051,906
Glengormley_Urban_E,N21000052,798
Glengormley_Urban_F,N21000053,801
Glengormley_Urban_G,N21000054,799
Glengormley_Urban_H,N21000055,653
Glengormley_Urban_J,N21000056,834
Glengormley_Urban_K,N21000057,856
Glengormley_Urban_L,N21000058,921
Airport_A,N21000059,690
Airport_B,N21000060,725
Airport_C,N21000061,881
Airport_D,N21000062,902
Airport_E,N21000063,1068
Airport_F,N21000064,808
Airport_G,N21000065,877
Airport_H,N21000066,1098
Airport_J,N21000067,916
Armagh_A,N21000068,1302
Armagh_B,N21000069,688
Armagh_C,N21000070,1317
Armagh_D,N21000071,1268
Armagh_E,N21000072,978
Armagh_F,N21000073,1162
Armagh_G,N21000074,1108
Armagh_H,N21000075,963
Armagh_J,N21000076,1122
Armagh_K,N21000077,1153
Armagh_L,N21000078,1091
Portadown_A,N21000079,1087
Portadown_B,N21000080,1030
Portadown_C,N21000081,615
Portadown_D,N21000082,1000
Portadown_E,N21000083,775
Portadown_F,N21000084,701
Portadown_G,N21000085,958
Portadown_H,N21000086,820
Portadown_J,N21000087,1057
Portadown_K,N21000088,953
Portadown_L,N21000089,843
Portadown_N,N21000090,635
Portadown_P,N21000091,630
Portadown_Q,N21000092,808
Portadown_R,N21000093,1072
Craigavon_A,N21000094,1020
Craigavon_B,N21000095,955
Craigavon_C,N21000096,777
Craigavon_D,N21000097,655
Craigavon_E,N21000098,987
Craigavon_F,N21000099,982
Craigavon_G,N21000100,844
Craigavon_H,N21000101,759
Craigavon_J,N21000102,988
Craigavon_K,N21000103,631
Craigavon_L,N21000104,612
Craigavon_N,N21000105,965
Craigavon_P,N21000106,738
Lurgan_A,N21000107,953
Lurgan_B,N21000108,866
Lurgan_C,N21000109,868
Lurgan_D,N21000110,961
Lurgan_E,N21000111,1176
Lurgan_F,N21000112,1113
Lurgan_G,N21000113,821
Lurgan_H,N21000114,820
Lurgan_J,N21000115,873
Lurgan_K,N21000116,839
Lurgan_L,N21000117,749
Lurgan_N,N21000118,751
Lurgan_P,N21000119,915
Lurgan_Q,N21000120,805
Lurgan_R,N21000121,1029
Lurgan_S,N21000122,1089
Lurgan_T,N21000123,754
Lagan_River_A,N21000124,797
Lagan_River_B,N21000125,730
Lagan_River_C,N21000126,575
Lagan_River_D,N21000127,709
Lagan_River_E,N21000128,773
Lagan_River_F,N21000129,1311
Lagan_River_G,N21000130,977
Lagan_River_H,N21000131,642
Lagan_River_J,N21000132,710
Lagan_River_K,N21000133,861
Lagan_River_L,N21000134,531
Lagan_River_N,N21000135,893
Banbridge_A,N21000136,866
Banbridge_B,N21000137,852
Banbridge_C,N21000138,732
Banbridge_D,N21000139,1322
Banbridge_E,N21000140,1249
Banbridge_F,N21000141,791
Banbridge_G,N21000142,766
Banbridge_H,N21000143,1135
Banbridge_J,N21000144,980
Banbridge_K,N21000145,1162
Banbridge_L,N21000146,1171
Banbridge_N,N21000147,1100
Banbridge_P,N21000148,834
Banbridge_Q,N21000149,1038
