Geography,GeographyCode,AverageHouseholdSize
Dunsilly_A,N21000001,2.8657243816254416
Dunsilly_B,N21000002,2.6953528399311533
Dunsilly_C,N21000003,2.8440366972477062
Dunsilly_D,N21000004,2.212213740458015
Dunsilly_E,N21000005,2.693266832917706
Dunsilly_F,N21000006,3.004680187207488
Antrim_A,N21000007,2.624285714285714
Antrim_B,N21000008,2.5622188905547225
Antrim_C,N21000009,2.5515088449531738
Antrim_D,N21000010,2.492584745762712
Antrim_E,N21000011,2.2072192513368982
Antrim_F,N21000012,2.205205205205205
Antrim_G,N21000013,2.0157635467980297
Antrim_H,N21000014,2.2483870967741937
Antrim_J,N21000015,2.3866943866943866
Antrim_K,N21000016,2.099609375
Antrim_L,N21000017,2.649805447470817
Antrim_N,N21000018,1.941903584672435
Ballyclare_A,N21000019,2.5012345679012347
Ballyclare_B,N21000020,2.5642123287671232
Ballyclare_C,N21000021,1.998280309544282
Ballyclare_D,N21000022,2.2580071174377223
Ballyclare_E,N21000023,2.488773747841105
Ballyclare_F,N21000024,2.5814905814905815
Ballyclare_G,N21000025,2.2145110410094637
Ballyclare_H,N21000026,2.6755852842809364
Three_Mile_Water_A,N21000027,2.228140703517588
Three_Mile_Water_B,N21000028,2.1640127388535033
Three_Mile_Water_C,N21000029,2.8820224719101124
Three_Mile_Water_D,N21000030,2.318343195266272
Three_Mile_Water_E,N21000031,2.595262615859938
Three_Mile_Water_F,N21000032,2.218566392479436
Three_Mile_Water_G,N21000033,2.524159663865546
Three_Mile_Water_H,N21000034,2.482494529540481
Three_Mile_Water_J,N21000035,2.2036199095022626
Three_Mile_Water_K,N21000036,2.26951871657754
Macedon_A,N21000037,2.6534653465346536
Macedon_B,N21000038,2.1813361611876987
Macedon_C,N21000039,2.2700205338809036
Macedon_D,N21000040,2.4219810040705565
Macedon_E,N21000041,2.1147540983606556
Macedon_F,N21000042,2.292134831460674
Macedon_G,N21000043,1.9137055837563453
Macedon_H,N21000044,1.7930535455861072
Macedon_J,N21000045,2.0669371196754565
Macedon_K,N21000046,1.8786069651741293
Macedon_L,N21000047,2.4343675417661097
Glengormley_Urban_A,N21000048,2.2931297709923664
Glengormley_Urban_B,N21000049,2.134358974358974
Glengormley_Urban_C,N21000050,2.624153498871332
Glengormley_Urban_D,N21000051,2.3653421633554084
Glengormley_Urban_E,N21000052,2.101123595505618
Glengormley_Urban_F,N21000053,2.3171641791044775
Glengormley_Urban_G,N21000054,2.32540675844806
Glengormley_Urban_H,N21000055,1.9754977029096479
Glengormley_Urban_J,N21000056,2.5442583732057416
Glengormley_Urban_K,N21000057,2.475467289719626
Glengormley_Urban_L,N21000058,2.756786102062975
Airport_A,N21000059,2.210144927536232
Airport_B,N21000060,2.3140495867768593
Airport_C,N21000061,2.7707150964812715
Airport_D,N21000062,2.7749445676274944
Airport_E,N21000063,2.753514526710403
Airport_F,N21000064,2.873762376237624
Airport_G,N21000065,2.8426453819840365
Airport_H,N21000066,2.609289617486339
Airport_J,N21000067,2.6967391304347825
Armagh_A,N21000068,2.8579109062980033
Armagh_B,N21000069,2.6031976744186047
Armagh_C,N21000070,2.2317629179331306
Armagh_D,N21000071,2.7263406940063093
Armagh_E,N21000072,2.8169734151329244
Armagh_F,N21000073,1.9595176571920758
Armagh_G,N21000074,2.7114517583408477
Armagh_H,N21000075,2.605839416058394
Armagh_J,N21000076,2.962566844919786
Armagh_K,N21000077,3.0588744588744587
Armagh_L,N21000078,2.408799266727773
Portadown_A,N21000079,2.7276908923643055
Portadown_B,N21000080,2.920619554695063
Portadown_C,N21000081,2.8341463414634145
Portadown_D,N21000082,2.453360080240722
Portadown_E,N21000083,2.59741935483871
Portadown_F,N21000084,2.0716332378223496
Portadown_G,N21000085,2.1127348643006263
Portadown_H,N21000086,2.296341463414634
Portadown_J,N21000087,2.76158940397351
Portadown_K,N21000088,2.4763903462749215
Portadown_L,N21000089,2.2523696682464456
Portadown_N,N21000090,2.4031496062992126
Portadown_P,N21000091,2.150554675118859
Portadown_Q,N21000092,2.7332506203473947
Portadown_R,N21000093,2.724813432835821
Craigavon_A,N21000094,3.0225711481844946
Craigavon_B,N21000095,2.8083769633507853
Craigavon_C,N21000096,2.6188630490956073
Craigavon_D,N21000097,2.564885496183206
Craigavon_E,N21000098,2.582741116751269
Craigavon_F,N21000099,2.6629327902240325
Craigavon_G,N21000100,2.772511848341232
Craigavon_H,N21000101,2.4544253632760897
Craigavon_J,N21000102,2.6419878296146044
Craigavon_K,N21000103,2.16852146263911
Craigavon_L,N21000104,2.6206896551724137
Craigavon_N,N21000105,2.759834368530021
Craigavon_P,N21000106,2.63550135501355
Lurgan_A,N21000107,2.9539748953974896
Lurgan_B,N21000108,2.820809248554913
Lurgan_C,N21000109,2.733256351039261
Lurgan_D,N21000110,2.9626168224299065
Lurgan_E,N21000111,2.4302721088435373
Lurgan_F,N21000112,2.5292003593890384
Lurgan_G,N21000113,1.928136419001218
Lurgan_H,N21000114,2.4890243902439027
Lurgan_J,N21000115,2.5684931506849313
Lurgan_K,N21000116,2.020286396181384
Lurgan_L,N21000117,1.8066666666666666
Lurgan_N,N21000118,2.8573333333333335
Lurgan_P,N21000119,2.3377049180327867
Lurgan_Q,N21000120,2.228960396039604
Lurgan_R,N21000121,2.3811833171677983
Lurgan_S,N21000122,2.38955087076077
Lurgan_T,N21000123,2.414569536423841
Lagan_River_A,N21000124,2.424812030075188
Lagan_River_B,N21000125,2.6452054794520548
Lagan_River_C,N21000126,2.6452173913043477
