Geography,GeographyCode,Total,NoCar,NoCar_pct
Antrim and Newtownabbey,N09000001,59460,9966,16.76
"Armagh City, Banbridge and Craigavon",N09000002,84641,13116,15.50
Belfast,N09000003,149207,50594,33.91
Causeway Coast and Glens,N09000004,57576,9353,16.24
Derry City and Strabane,N09000005,60935,14995,24.61
Fermanagh and Omagh,N09000006,45715,6442,14.09
Lisburn and Castlereagh,N09000007,60147,7821,13.00
Mid and East Antrim,N09000008,58283,10164,17.44
Mid Ulster,N09000009,54005,7040,13.04
"Newry, Mourne and Down",N09000010,68397,9904,14.48
Ards and North Down,N09000011,70444,10884,15.45
