Geography,GeographyCode,Total,OwnerOccupied,OwnerOccupied_pct
Antrim and Newtownabbey,N09000001,59457,41729,70.18
"Armagh City, Banbridge and Craigavon",N09000002,84642,57295,67.69
Belfast,N09000003,149210,74814,50.14
Causeway Coast and Glens,N09000004,57578,37703,65.48
Derry City and Strabane,N09000005,60935,34448,56.53
Fermanagh and Omagh,N09000006,45714,31414,68.72
Lisburn and Castlereagh,N09000007,60145,44188,73.47
Mid and East Antrim,N09000008,58283,39887,68.44
Mid Ulster,N09000009,54007,36826,68.19
"Newry, Mourne and Down",N09000010,68398,46569,68.09
Ards and North Down,N09000011,70445,50052,71.05
