Geography,GeographyCode,Total,SocialRented,SocialRented_pct
Antrim and Newtownabbey,N09000001,59457,7613,12.80
"Armagh City, Banbridge and Craigavon",N09000002,84642,8890,10.50
Belfast,N09000003,149210,39217,26.28
Causeway Coast and Glens,N09000004,57578,7712,13.39
Derry City and Strabane,N09000005,60935,13830,22.70
Fermanagh and Omagh,N09000006,45714,4308,9.42
Lisburn and Castlereagh,N09000007,60145,7402,12.31
Mid and East Antrim,N09000008,58283,7168,12.30
Mid Ulster,N09000009,54007,5093,9.43
"Newry, Mourne and Down",N09000010,68398,7356,10.75
Ards and North Down,N09000011,70445,8876,12.60
