Geography,GeographyCode,Total,SocialRented,SocialRented_pct
ANTRIM,N11000001,10820,1927,17.81
CRUMLIN,N11000003,2013,251,12.47
PARKGATE,N11000009,279,28,10.04
RANDALSTOWN,N11000010,2112,253,11.98
TEMPLEPATRICK,N11000011,687,12,1.75
TOOME,N11000012,380,92,24.21
BALLYGOWAN,N11000022,1247,93,7.46
BALLYHALBERT,N11000023,529,11,2.08
BALLYWALTER,N11000025,909,159,17.49
CARROWDORE,N11000026,435,89,20.46
CLOUGHEY,N11000027,563,26,4.62
COMBER,N11000028,4281,735,17.17
DONAGHADEE,N11000030,3326,448,13.47
GREYABBEY,N11000032,423,66,15.60
KIRCUBBIN,N11000035,495,102,20.61
LISBANE,N11000037,205,9,4.39
MILLISLE,N11000039,1093,148,13.54
NEWTOWNARDS,N11000040,13018,2495,19.17
PORTAFERRY,N11000041,1025,204,19.90
PORTAVOGIE,N11000042,893,71,7.95
ARMAGH,N11000051,6504,1092,16.79
HAMILTONSBAWN,N11000072,391,10,2.56
KEADY,N11000073,1321,219,16.58
LAURELVALE / MULLAVILLY,N11000076,543,14,2.58
MARKETHILL,N11000081,795,124,15.60
MILFORD,N11000083,210,1,0.48
POYNTZPASS,N11000088,267,15,5.62
RICHHILL,N11000089,1131,81,7.16
TANDRAGEE,N11000093,1468,157,10.69
AHOGHILL,N11000098,1457,162,11.12
BALLYMENA,N11000099,13239,2364,17.86
BROUGHSHANE,N11000100,1380,208,15.07
CARGAN,N11000101,244,35,14.34
CULLYBACKEY,N11000103,1206,273,22.64
GRANGE CORNER,N11000104,198,11,5.56
KELLS / CONNOR,N11000105,877,118,13.45
PORTGLENONE,N11000107,587,121,20.61
BALLYBOGY,N11000108,227,12,5.29
BALLYMONEY,N11000109,4793,761,15.88
BALNAMORE,N11000110,341,66,19.35
BENDOORAGH,N11000111,233,9,3.86
CLOGH MILLS,N11000114,527,64,12.14
DERVOCK,N11000117,332,108,32.53
DUNLOY,N11000119,398,67,16.83
RASHARKIN,N11000123,424,94,22.17
BANBRIDGE,N11000131,7347,990,13.47
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,2662,301,11.31
GILFORD,N11000137,852,153,17.96
KINALLEN,N11000141,430,26,6.05
LAWRENCETOWN,N11000142,400,44,11.00
LOUGHBRICKLAND,N11000145,335,54,16.12
RATHFRILAND,N11000147,1041,187,17.96
BELFAST CITY,N11000151,127735,33625,26.32
CARRICKFERGUS,N11000153,12229,1718,14.05
GREENISLAND,N11000154,2609,418,16.02
WHITEHEAD,N11000157,1636,205,12.53
CARRYDUFF,N11000159,2795,151,5.40
METROPOLITAN CASTLEREAGH,N11000162,25209,3846,15.26
MONEYREAGH,N11000163,624,36,5.77
ARTICLAVE,N11000165,382,71,18.59
CASTLEROCK,N11000170,553,46,8.32
CASTLEROE,N11000171,283,31,10.95
COLERAINE,N11000173,10588,2111,19.94
GARVAGH,N11000176,532,142,26.69
KILREA,N11000179,691,149,21.56
MACOSQUIN,N11000180,251,70,27.89
