Geography,GeographyCode,Total,SocialRented,SocialRented_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,1536,186,12.11
Aldergrove,N08000102,1491,27,1.81
Antrim Centre,N08000103,1980,260,13.13
Ballyclare East,N08000104,1899,253,13.32
Ballyclare West,N08000105,1638,283,17.28
Ballyduff,N08000106,1437,255,17.75
Ballyhenry,N08000107,1043,21,2.01
Ballynure,N08000108,1420,24,1.69
Ballyrobert,N08000109,1485,6,0.40
Burnthill,N08000110,1659,241,14.53
Carnmoney,N08000111,1160,32,2.76
Carnmoney Hill,N08000112,1322,67,5.07
Clady,N08000113,1327,43,3.24
Collinbridge,N08000114,1126,4,0.36
Cranfield,N08000115,1160,61,5.26
Crumlin,N08000116,1424,202,14.19
Doagh,N08000117,1441,86,5.97
Fairview,N08000118,1239,84,6.78
Fountain Hill,N08000119,1359,111,8.17
Glebe (Antrim and Newtownabbey LGD),N08000120,1198,5,0.42
Glengormley,N08000121,1605,299,18.63
Greystone (Antrim and Newtownabbey LGD),N08000122,1455,464,31.89
Hightown,N08000123,1263,41,3.25
Jordanstown,N08000124,1197,4,0.33
Mallusk,N08000125,2299,33,1.44
Monkstown,N08000126,1593,463,29.06
Mossley,N08000127,1619,293,18.10
O'Neill,N08000128,1607,766,47.67
Parkgate,N08000129,1206,29,2.40
Randalstown,N08000130,1556,205,13.17
Rathcoole,N08000131,1518,486,32.02
Rostulla,N08000132,1404,1,0.07
Shilvodan,N08000133,1321,6,0.45
Springfarm,N08000134,2009,253,12.59
Steeple,N08000135,1691,502,29.69
Stiles,N08000136,1727,328,18.99
Templepatrick,N08000137,1424,17,1.19
Toome,N08000138,1316,113,8.59
Valley (Antrim and Newtownabbey LGD),N08000139,1689,509,30.14
Whitehouse,N08000140,1598,550,34.42
Aghagallon,N08000201,1759,49,2.79
Ballybay,N08000202,2371,657,27.71
Banbridge East,N08000203,1700,33,1.94
Banbridge North,N08000204,1794,237,13.21
