Geography,GeographyCode,Total,Level4Plus,Level4Plus_pct
ANTRIM,N11000001,20169,5513,27.33
CRUMLIN,N11000003,4163,1177,28.27
PARKGATE,N11000009,555,240,43.24
RANDALSTOWN,N11000010,4132,1195,28.92
TEMPLEPATRICK,N11000011,1298,578,44.53
TOOME,N11000012,754,229,30.37
BALLYGOWAN,N11000022,2521,810,32.13
BALLYHALBERT,N11000023,955,212,22.20
BALLYWALTER,N11000025,1644,337,20.50
CARROWDORE,N11000026,823,150,18.23
CLOUGHEY,N11000027,1057,295,27.91
COMBER,N11000028,7936,2477,31.21
DONAGHADEE,N11000030,6141,2088,34.00
GREYABBEY,N11000032,752,179,23.80
KIRCUBBIN,N11000035,891,143,16.05
LISBANE,N11000037,408,171,41.91
MILLISLE,N11000039,1996,490,24.55
NEWTOWNARDS,N11000040,24184,6505,26.90
PORTAFERRY,N11000041,1963,498,25.37
PORTAVOGIE,N11000042,1792,322,17.97
ARMAGH,N11000051,12663,3741,29.54
HAMILTONSBAWN,N11000072,757,221,29.19
KEADY,N11000073,2563,613,23.92
LAURELVALE / MULLAVILLY,N11000076,1081,327,30.25
MARKETHILL,N11000081,1446,370,25.59
MILFORD,N11000083,408,147,36.03
POYNTZPASS,N11000088,474,186,39.24
RICHHILL,N11000089,2221,656,29.54
TANDRAGEE,N11000093,2762,694,25.13
AHOGHILL,N11000098,2844,774,27.22
BALLYMENA,N11000099,25216,6459,25.61
BROUGHSHANE,N11000100,2552,740,29.00
CARGAN,N11000101,456,115,25.22
CULLYBACKEY,N11000103,2195,483,22.00
GRANGE CORNER,N11000104,373,127,34.05
KELLS / CONNOR,N11000105,1661,431,25.95
PORTGLENONE,N11000107,1070,296,27.66
BALLYBOGY,N11000108,442,129,29.19
BALLYMONEY,N11000109,8916,2304,25.84
BALNAMORE,N11000110,643,169,26.28
BENDOORAGH,N11000111,478,124,25.94
CLOGH MILLS,N11000114,979,205,20.94
DERVOCK,N11000117,592,99,16.72
DUNLOY,N11000119,857,200,23.34
RASHARKIN,N11000123,841,173,20.57
BANBRIDGE,N11000131,13933,4341,31.16
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,5065,1774,35.02
GILFORD,N11000137,1538,354,23.02
KINALLEN,N11000141,831,285,34.30
LAWRENCETOWN,N11000142,752,232,30.85
LOUGHBRICKLAND,N11000145,612,179,29.25
RATHFRILAND,N11000147,1951,415,21.27
BELFAST CITY,N11000151,238848,83520,34.97
CARRICKFERGUS,N11000153,23265,6308,27.11
GREENISLAND,N11000154,4807,1996,41.52
WHITEHEAD,N11000157,2983,1101,36.91
CARRYDUFF,N11000159,5705,2632,46.13
METROPOLITAN CASTLEREAGH,N11000162,47393,18761,39.59
MONEYREAGH,N11000163,1251,459,36.69
