Geography,GeographyCode,Total,Level4Plus,Level4Plus_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,2730,995,36.45
Aldergrove,N08000102,3846,1290,33.54
Antrim Centre,N08000103,3472,1004,28.92
Ballyclare East,N08000104,3316,856,25.81
Ballyclare West,N08000105,3184,1057,33.20
Ballyduff,N08000106,2529,560,22.14
Ballyhenry,N08000107,2191,860,39.25
Ballynure,N08000108,2920,1091,37.36
Ballyrobert,N08000109,3059,1116,36.48
Burnthill,N08000110,3040,823,27.07
Carnmoney,N08000111,2215,584,26.37
Carnmoney Hill,N08000112,2658,830,31.23
Clady,N08000113,3004,1084,36.09
Collinbridge,N08000114,2369,947,39.97
Cranfield,N08000115,2507,827,32.99
Crumlin,N08000116,2909,739,25.40
Doagh,N08000117,2798,1000,35.74
Fairview,N08000118,2489,599,24.07
Fountain Hill,N08000119,2810,987,35.12
Glebe (Antrim and Newtownabbey LGD),N08000120,2461,804,32.67
Glengormley,N08000121,2783,718,25.80
Greystone (Antrim and Newtownabbey LGD),N08000122,2406,440,18.29
Hightown,N08000123,2518,806,32.01
Jordanstown,N08000124,2619,1252,47.80
Mallusk,N08000125,4599,1977,42.99
Monkstown,N08000126,2866,801,27.95
Mossley,N08000127,2994,812,27.12
O'Neill,N08000128,2654,336,12.66
Parkgate,N08000129,2723,1110,40.76
Randalstown,N08000130,3009,845,28.08
Rathcoole,N08000131,2585,389,15.05
Rostulla,N08000132,3325,1871,56.27
Shilvodan,N08000133,2950,1100,37.29
Springfarm,N08000134,4131,1307,31.64
Steeple,N08000135,3007,570,18.96
Stiles,N08000136,3184,725,22.77
Templepatrick,N08000137,2895,1221,42.18
Toome,N08000138,3053,1024,33.54
Valley (Antrim and Newtownabbey LGD),N08000139,2889,665,23.02
Whitehouse,N08000140,2687,659,24.53
Aghagallon,N08000201,3946,1430,36.24
Ballybay,N08000202,4187,746,17.82
Banbridge East,N08000203,3589,1301,36.25
Banbridge North,N08000204,3498,1195,34.16
Banbridge South,N08000205,4069,1320,32.44
Banbridge West,N08000206,4242,1033,24.35
Blackwatertown,N08000207,4257,1340,31.48
Bleary,N08000208,3903,1426,36.54
Brownlow,N08000209,4829,1008,20.87
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,3969,896,22.57
Corcrain,N08000211,4153,727,17.51
Craigavon Centre,N08000212,5153,1731,33.59
Demesne,N08000213,4392,1430,32.56
Derrytrasna,N08000214,3843,1343,34.95
Donaghcloney,N08000215,3845,1350,35.11
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,3855,1476,38.29
Gilford,N08000217,3916,1176,30.03
Gransha,N08000218,3933,1337,33.99
Hamiltonsbawn,N08000219,3886,1230,31.65
Keady,N08000220,4042,1135,28.08
Kernan,N08000221,4592,1749,38.09
Killycomain,N08000222,4373,1154,26.39
Knocknashane,N08000223,3649,1102,30.20
Lough Road,N08000224,4429,1509,34.07
Loughbrickland,N08000225,4374,1535,35.09
Loughgall,N08000226,4265,1477,34.63
Magheralin,N08000227,4160,1621,38.97
Mahon,N08000228,4132,1166,28.22
Markethill,N08000229,4317,1336,30.95
Mourneview,N08000230,4337,795,18.33
Navan,N08000231,3972,1379,34.72
Parklake,N08000232,4345,993,22.85
Quilly,N08000233,3645,1248,34.24
