Geography,GeographyCode,Total,NoQuals,NoQuals_pct
Antrim and Newtownabbey,N09000001,116396,25055,21.53
"Armagh City, Banbridge and Craigavon",N09000002,170413,42898,25.17
Belfast,N09000003,279306,66815,23.92
Causeway Coast and Glens,N09000004,114155,29647,25.97
Derry City and Strabane,N09000005,118813,33689,28.35
Fermanagh and Omagh,N09000006,92013,23448,25.48
Lisburn and Castlereagh,N09000007,118922,21267,17.88
Mid and East Antrim,N09000008,113075,27480,24.30
Mid Ulster,N09000009,115659,31803,27.50
"Newry, Mourne and Down",N09000010,141995,32838,23.13
Ards and North Down,N09000011,133990,25684,19.17
