Geography,GeographyCode,Total,NoQuals,NoQuals_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,2730,529,19.38
Aldergrove,N08000102,3846,605,15.73
Antrim Centre,N08000103,3472,903,26.01
Ballyclare East,N08000104,3316,843,25.42
Ballyclare West,N08000105,3184,727,22.83
Ballyduff,N08000106,2529,682,26.97
Ballyhenry,N08000107,2191,330,15.06
Ballynure,N08000108,2920,478,16.37
Ballyrobert,N08000109,3059,511,16.70
Burnthill,N08000110,3040,702,23.09
Carnmoney,N08000111,2215,494,22.30
Carnmoney Hill,N08000112,2658,554,20.84
Clady,N08000113,3004,536,17.84
Collinbridge,N08000114,2369,339,14.31
Cranfield,N08000115,2507,537,21.42
Crumlin,N08000116,2909,643,22.10
Doagh,N08000117,2798,508,18.16
Fairview,N08000118,2489,544,21.86
Fountain Hill,N08000119,2810,614,21.85
Glebe (Antrim and Newtownabbey LGD),N08000120,2461,432,17.55
Glengormley,N08000121,2783,729,26.19
Greystone (Antrim and Newtownabbey LGD),N08000122,2406,777,32.29
Hightown,N08000123,2518,486,19.30
Jordanstown,N08000124,2619,267,10.19
Mallusk,N08000125,4599,544,11.83
Monkstown,N08000126,2866,771,26.90
Mossley,N08000127,2994,697,23.28
O'Neill,N08000128,2654,1009,38.02
Parkgate,N08000129,2723,407,14.95
Randalstown,N08000130,3009,732,24.33
Rathcoole,N08000131,2585,885,34.24
Rostulla,N08000132,3325,297,8.93
Shilvodan,N08000133,2950,496,16.81
Springfarm,N08000134,4131,823,19.92
Steeple,N08000135,3007,959,31.89
Stiles,N08000136,3184,884,27.76
Templepatrick,N08000137,2895,490,16.93
Toome,N08000138,3053,675,22.11
Valley (Antrim and Newtownabbey LGD),N08000139,2889,848,29.35
Whitehouse,N08000140,2687,771,28.69
Aghagallon,N08000201,3946,759,19.23
Ballybay,N08000202,4187,1567,37.43
Banbridge East,N08000203,3589,713,19.87
Banbridge North,N08000204,3498,815,23.30
Banbridge South,N08000205,4069,954,23.45
Banbridge West,N08000206,4242,1129,26.61
Blackwatertown,N08000207,4257,1096,25.75
Bleary,N08000208,3903,729,18.68
Brownlow,N08000209,4829,1572,32.55
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,3969,1448,36.48
Corcrain,N08000211,4153,1653,39.80
Craigavon Centre,N08000212,5153,1080,20.96
Demesne,N08000213,4392,1025,23.34
Derrytrasna,N08000214,3843,790,20.56
Donaghcloney,N08000215,3845,676,17.58
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,3855,614,15.93
Gilford,N08000217,3916,996,25.43
Gransha,N08000218,3933,762,19.37
Hamiltonsbawn,N08000219,3886,827,21.28
Keady,N08000220,4042,1110,27.46
Kernan,N08000221,4592,957,20.84
Killycomain,N08000222,4373,1495,34.19
Knocknashane,N08000223,3649,852,23.35
Lough Road,N08000224,4429,1066,24.07
Loughbrickland,N08000225,4374,952,21.76
Loughgall,N08000226,4265,954,22.37
Magheralin,N08000227,4160,754,18.12
Mahon,N08000228,4132,1076,26.04
Markethill,N08000229,4317,1045,24.21
Mourneview,N08000230,4337,1510,34.82
Navan,N08000231,3972,955,24.04
Parklake,N08000232,4345,1429,32.89
Quilly,N08000233,3645,747,20.49
Rathfriland,N08000234,3862,1015,26.28
Richhill,N08000235,3944,851,21.58
Seagahan,N08000236,4168,1069,25.65
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,5037,1758,34.90
Tandragee,N08000238,4047,1025,25.33
The Birches,N08000239,4652,1135,24.40
The Mall,N08000240,4387,1270,28.95
Waringstown,N08000241,4237,674,15.91
Andersonstown,N08000301,3868,1061,27.43
Ardoyne,N08000302,4055,1611,39.73
Ballygomartin,N08000303,4715,1359,28.82
Ballymacarrett,N08000304,4563,1621,35.52
Ballymurphy,N08000305,3864,1708,44.20
Ballysillan,N08000306,4183,1173,28.04
Beechmount,N08000307,4128,1240,30.04
Beersbridge,N08000308,5337,1623,30.41
Bellevue,N08000309,4330,999,23.07
Belmont,N08000310,3892,599,15.39
Belvoir,N08000311,4405,998,22.66
Blackstaff,N08000312,6240,1897,30.40
Bloomfield (Belfast LGD),N08000313,4973,1041,20.93
Cavehill,N08000314,3507,438,12.49
Central,N08000315,13982,2149,15.37
Chichester Park,N08000316,4374,980,22.41
Cliftonville,N08000317,4328,1176,27.17
Clonard,N08000318,4724,1609,34.06
Collin Glen,N08000319,4364,1275,29.22
Connswater,N08000320,4813,1171,24.33
Cregagh,N08000321,3635,859,23.63
Duncairn,N08000322,6846,1861,27.18
Dunmurry,N08000323,4310,651,15.10
Falls,N08000324,3874,1681,43.39
Falls Park,N08000325,3917,1033,26.37
Finaghy,N08000326,3704,551,14.88
Forth River,N08000327,3874,1350,34.85
Fortwilliam,N08000328,3856,962,24.95
Garnerville,N08000329,3895,681,17.48
Gilnahirk,N08000330,4071,815,20.02
Hillfoot,N08000331,3827,553,14.45
Innisfayle,N08000332,4346,959,22.07
Knock,N08000333,4113,478,11.62
Ladybrook,N08000334,3936,943,23.96
Lagmore,N08000335,5819,1190,20.45
Legoniel,N08000336,4587,1346,29.34
Malone,N08000337,3972,247,6.22
Merok,N08000338,3506,787,22.45
Musgrave,N08000339,4044,695,17.19
New Lodge,N08000340,3909,1779,45.51
Orangefield,N08000341,3917,686,17.51
Ormeau,N08000342,5518,850,15.40
Poleglass,N08000343,4317,1464,33.91
Ravenhill,N08000344,4002,540,13.49
Rosetta,N08000345,4801,612,12.75
Sandown,N08000346,3624,670,18.49
Shandon,N08000347,4393,786,17.89
Shankill (Belfast LGD),N08000348,4978,2264,45.48
Shaw's Road,N08000349,4317,1258,29.14
Stewartstown (Belfast LGD),N08000350,3747,1046,27.92
Stormont,N08000351,4117,606,14.72
Stranmillis,N08000352,7879,381,4.84
Sydenham,N08000353,4661,1089,23.36
Turf Lodge,N08000354,3547,1550,43.70
Twinbrook,N08000355,3777,1242,32.88
Upper Malone,N08000356,3972,752,18.93
Water Works,N08000357,5272,1908,36.19
Windsor,N08000358,10450,932,8.92
Woodstock,N08000359,5201,1402,26.96
Woodvale,N08000360,4125,1626,39.42
Aghadowey,N08000401,2762,651,23.57
Altahullion,N08000402,2465,697,28.28
Atlantic,N08000403,3776,673,17.82
Ballycastle,N08000404,2774,601,21.67
Ballykelly,N08000405,2486,722,29.04
Ballymoney East,N08000406,2505,822,32.81
Ballymoney North,N08000407,2832,771,27.22
Ballymoney South,N08000408,2717,820,30.18
Castlerock,N08000409,2784,579,20.80
Churchland,N08000410,3053,691,22.63
Clogh Mills,N08000411,2917,817,28.01
Coolessan,N08000412,2330,970,41.63
Dervock,N08000413,2733,743,27.19
Drumsurn,N08000414,2858,650,22.74
Dundooan,N08000415,3251,708,21.78
Dungiven,N08000416,2549,700,27.46
Dunloy,N08000417,2803,643,22.94
Feeny,N08000418,2721,776,28.52
Garvagh,N08000419,2694,751,27.88
Giant's Causeway,N08000420,2794,871,31.17
Greysteel,N08000421,3566,857,24.03
Greystone (Causeway Coast and Glens LGD),N08000422,2721,674,24.77
Hopefield,N08000423,2960,512,17.30
Kilrea,N08000424,2935,704,23.99
Kinbane,N08000425,3212,869,27.05
Loughguile and Stranocum,N08000426,2879,685,23.79
Lurigethan,N08000427,2263,456,20.15
Macosquin,N08000428,2770,729,26.32
Magilligan,N08000429,2971,970,32.65
Mountsandel,N08000430,3262,963,29.52
Portrush and Dunluce,N08000431,2456,647,26.34
Portstewart,N08000432,2553,465,18.21
Quarry,N08000433,3354,1192,35.54
Rasharkin,N08000434,3030,794,26.20
Roeside,N08000435,2268,685,30.20
Route,N08000436,2740,642,23.43
Torr Head and Rathlin,N08000437,2884,711,24.65
University,N08000438,3039,852,28.04
Waterside,N08000439,3469,953,27.47
Windy Hall,N08000440,3028,631,20.84
Artigarvan,N08000501,2850,824,28.91
Ballycolman,N08000502,2813,947,33.67
Ballymagroarty,N08000503,2917,876,30.03
Brandywell,N08000504,2564,1036,40.41
Carn Hill,N08000505,2278,760,33.36
Castlederg,N08000506,2761,1037,37.56
Caw,N08000507,3414,902,26.42
City Walls,N08000508,2820,1020,36.17
Claudy,N08000509,2816,717,25.46
Clondermot,N08000510,3127,766,24.50
Creggan,N08000511,2815,1019,36.20
Creggan South,N08000512,2839,1109,39.06
Culmore,N08000513,3404,446,13.10
Drumahoe,N08000514,3444,912,26.48
Dunnamanagh,N08000515,2757,898,32.57
Ebrington,N08000516,3263,788,24.15
Eglinton,N08000517,3051,623,20.42
Enagh,N08000518,3368,895,26.57
Finn,N08000519,3238,830,25.63
Foyle Springs,N08000520,2567,581,22.63
Galliagh,N08000521,2886,1165,40.37
Glenderg,N08000522,2528,935,36.99
Glenelly Valley,N08000523,2678,759,28.34
Kilfennan,N08000524,3676,562,15.29
Lisnagelvin,N08000525,2661,815,30.63
Madam's Bank,N08000526,2457,503,20.47
New Buildings,N08000527,2995,670,22.37
Newtownstewart,N08000528,2513,880,35.02
Northland,N08000529,4271,972,22.76
Park (Derry City and Strabane LGD),N08000530,2721,717,26.35
Shantallow,N08000531,2825,960,33.98
Shantallow East,N08000532,3353,761,22.70
Sheriff's Mountain,N08000533,2618,669,25.55
Sion Mills,N08000534,2972,1018,34.25
Skeoge,N08000535,4266,1021,23.93
Slievekirk,N08000536,2819,753,26.71
Springtown,N08000537,2368,622,26.27
Strabane North,N08000538,3136,1046,33.35
Strabane West,N08000539,2603,1020,39.19
Victoria (Derry City and Strabane LGD),N08000540,3355,854,25.45
Ballinamallard,N08000601,2364,511,21.62
Belcoo and Garrison,N08000602,2149,528,24.57
Belleek and Boa,N08000603,2509,647,25.79
Beragh,N08000604,2262,510,22.55
"Boho, Cleenish and Letterbreen",N08000605,2661,538,20.22
Brookeborough,N08000606,2010,502,24.98
Camowen,N08000607,2684,768,28.61
Castlecoole,N08000608,2578,588,22.81
Coolnagard,N08000609,2708,706,26.07
Dergmoney,N08000610,2180,540,24.77
Derrygonnelly,N08000611,2268,513,22.62
Derrylin,N08000612,2136,526,24.63
Donagh,N08000613,1983,521,26.27
Dromore (Fermanagh and Omagh LGD),N08000614,2080,531,25.53
Drumnakilly,N08000615,2373,522,22.00
Drumquin,N08000616,2262,644,28.47
Ederney and Kesh,N08000617,2218,615,27.73
Erne,N08000618,2529,831,32.86
Fairy Water,N08000619,2291,531,23.18
Fintona,N08000620,1989,653,32.83
Florence Court and Kinawley,N08000621,2239,577,25.77
Gortin,N08000622,2543,561,22.06
Gortrush,N08000623,2593,690,26.61
Irvinestown,N08000624,2645,732,27.67
Killyclogher,N08000625,2465,638,25.88
Lisbellaw,N08000626,2376,461,19.40
Lisnarrick,N08000627,2754,635,23.06
Lisnaskea,N08000628,2047,686,33.51
Maguiresbridge,N08000629,2582,612,23.70
Newtownbutler,N08000630,1951,541,27.73
Newtownsaville,N08000631,2276,526,23.11
Owenkillew,N08000632,2078,552,26.56
Portora,N08000633,2601,639,24.57
Rosslea,N08000634,1794,493,27.48
Rossorry,N08000635,2077,513,24.70
Sixmilecross,N08000636,2164,558,25.79
Strule,N08000637,2386,853,35.75
Tempo,N08000638,2224,562,25.27
Termon,N08000639,2063,451,21.86
Trillick,N08000640,1934,446,23.06
Ballinderry,N08000701,3081,491,15.94
Ballyhanwood,N08000702,2559,401,15.67
Ballymacash,N08000703,2499,451,18.05
Ballymacbrennan,N08000704,2529,360,14.23
Ballymacoss,N08000705,4452,933,20.96
Beechill,N08000706,2826,364,12.88
Blaris,N08000707,2832,579,20.44
Cairnshill,N08000708,2777,277,9.97
Carrowreagh,N08000709,4776,657,13.76
Carryduff East,N08000710,3026,483,15.96
Carryduff West,N08000711,2643,303,11.46
Derryaghy,N08000712,3693,739,20.01
Dromara,N08000713,2703,452,16.72
Drumbo,N08000714,2429,299,12.31
Dundonald,N08000715,2633,405,15.38
Enler,N08000716,2549,790,30.99
Galwally,N08000717,2501,359,14.35
Glenavy,N08000718,3042,432,14.20
Graham's Bridge,N08000719,2654,678,25.55
Harmony Hill,N08000720,2516,397,15.78
Hilden,N08000721,3178,909,28.60
Hillhall,N08000722,3140,674,21.46
Hillsborough,N08000723,2784,440,15.80
Knockbracken,N08000724,2807,317,11.29
Knockmore,N08000725,3581,851,23.76
Lagan,N08000726,2777,487,17.54
Lagan Valley,N08000727,2723,785,28.83
Lambeg,N08000728,3058,792,25.90
Lisnagarvey,N08000729,2520,616,24.44
Maghaberry,N08000730,3822,599,15.67
Magheralave,N08000731,3338,487,14.59
Maze,N08000732,2544,421,16.55
Moira,N08000733,3071,438,14.26
Moneyreagh,N08000734,2539,472,18.59
Newtownbreda,N08000735,2294,323,14.08
Old Warren,N08000736,3134,1009,32.20
Ravernet,N08000737,2501,304,12.16
Stonyford,N08000738,2509,471,18.77
Wallace Park,N08000739,3199,468,14.63
White Mountain,N08000740,4668,553,11.85
Academy,N08000801,2245,429,19.11
Ahoghill,N08000802,2903,673,23.18
Ardeevin,N08000803,2937,552,18.79
Ballee and Harryville,N08000804,2881,1128,39.15
Ballycarry and Glynn,N08000805,2990,554,18.53
Ballykeel,N08000806,2407,972,40.38
Boneybefore,N08000807,2462,458,18.60
Braidwater,N08000808,2628,693,26.37
Broughshane,N08000809,3073,796,25.90
Burleigh Hill,N08000810,2290,419,18.30
Cairncastle,N08000811,2757,454,16.47
Carnlough and Glenarm,N08000812,2561,672,26.24
Castle (Mid and East Antrim LGD),N08000813,3336,1042,31.24
Castle Demesne,N08000814,3582,1621,45.25
Craigyhill,N08000815,3091,860,27.82
Cullybackey,N08000816,2376,736,30.98
Curran and Inver,N08000817,2938,792,26.96
Fair Green,N08000818,3285,1192,36.29
Galgorm,N08000819,2665,504,18.91
Gardenmore,N08000820,2777,870,31.33
Glenravel,N08000821,2744,575,20.95
Glenwhirry,N08000822,2560,539,21.05
Gortalee,N08000823,2949,611,20.72
Grange,N08000824,2854,570,19.97
Greenisland,N08000825,2856,325,11.38
Islandmagee,N08000826,2554,451,17.66
Kells,N08000827,2772,605,21.83
Kilroot,N08000828,3376,515,15.25
Kilwaughter,N08000829,3763,609,16.18
Kirkinriola,N08000830,2573,603,23.44
Love Lane,N08000831,2598,610,23.48
Maine,N08000832,2421,571,23.59
Park (Mid and East Antrim LGD),N08000833,2453,603,24.58
Portglenone,N08000834,2635,644,24.44
Slemish,N08000835,2577,603,23.40
Sunnylands,N08000836,3143,974,30.99
The Maidens,N08000837,2836,846,29.83
Victoria (Mid and East Antrim LGD),N08000838,3512,749,21.33
Whitehead South,N08000839,2830,511,18.06
Woodburn,N08000840,2892,545,18.85
Ardboe,N08000901,2886,808,28.00
Augher and Clogher,N08000902,2679,657,24.52
Aughnacloy,N08000903,2805,784,27.95
Ballygawley,N08000904,2996,731,24.40
Ballymaguigan,N08000905,3148,680,21.60
Ballysaggart,N08000906,3886,1789,46.04
Bellaghy,N08000907,2882,667,23.14
Caledon,N08000908,3015,741,24.58
Castlecaulfield,N08000909,2893,631,21.81
Castledawson,N08000910,2957,817,27.63
Coagh,N08000911,2544,738,29.01
Coalisland North,N08000912,2859,713,24.94
Coalisland South,N08000913,3665,1114,30.40
Cookstown East,N08000914,3064,962,31.40
Cookstown South,N08000915,2765,845,30.56
Cookstown West,N08000916,2862,920,32.15
Coolshinny,N08000917,3156,644,20.41
Donaghmore,N08000918,2944,758,25.75
Draperstown,N08000919,2461,631,25.64
Fivemiletown,N08000920,2527,773,30.59
Glebe (Mid Ulster LGD),N08000921,3089,823,26.64
Killyman,N08000922,2761,571,20.68
Killymeal,N08000923,3764,1194,31.72
Lissan,N08000924,2768,789,28.50
Loughry,N08000925,2350,703,29.91
Lower Glenshane,N08000926,2424,590,24.34
Maghera,N08000927,2668,823,30.85
Moy,N08000928,2985,693,23.22
Moygashel,N08000929,2890,997,34.50
Mullaghmore,N08000930,3405,1139,33.45
Oaklands,N08000931,2582,659,25.52
Pomeroy,N08000932,2917,817,28.01
Stewartstown (Mid Ulster LGD),N08000933,2504,697,27.84
Swatragh,N08000934,2592,567,21.88
Tamlaght O'Crilly,N08000935,2782,694,24.95
The Loup,N08000936,3180,751,23.62
Tobermore,N08000937,2707,705,26.04
Town Parks East,N08000938,2822,881,31.22
Valley (Mid Ulster LGD),N08000939,2676,704,26.31
Washing Bay,N08000940,2802,604,21.56
"Abbey (Newry, Mourne and Down LGD)",N08001001,3332,1089,32.68
Annalong,N08001002,3404,787,23.12
Ballybot,N08001003,4212,1537,36.49
Ballydugan,N08001004,2949,550,18.65
Ballynahinch,N08001005,3733,961,25.74
Ballyward,N08001006,3509,674,19.21
Bessbrook,N08001007,4191,1185,28.27
Binnian,N08001008,3347,748,22.35
Burren,N08001009,3324,507,15.25
Camlough,N08001010,3125,729,23.33
Castlewellan,N08001011,3405,813,23.88
"Cathedral (Newry, Mourne and Down LGD)",N08001012,3230,922,28.54
Crossgar and Killyleagh,N08001013,3551,750,21.12
Crossmaglen,N08001014,2937,900,30.64
Damolly,N08001015,3453,948,27.45
Derryboy,N08001016,3259,678,20.80
Derryleckagh,N08001017,3665,638,17.41
Donard,N08001018,3127,638,20.40
Drumalane,N08001019,3925,939,23.92
Drumaness,N08001020,3241,656,20.24
Dundrum,N08001021,3537,711,20.10
Fathom,N08001022,3438,793,23.07
Forkhill,N08001023,3164,722,22.82
Hilltown,N08001024,3856,794,20.59
Kilkeel,N08001025,3058,1023,33.45
Kilmore,N08001026,3306,629,19.03
Knocknashinna,N08001027,3657,814,22.26
Lecale,N08001028,3455,822,23.79
Lisnacree,N08001029,3656,877,23.99
Mayobridge,N08001030,3968,886,22.33
Mullaghbane,N08001031,3306,759,22.96
Murlough,N08001032,3826,853,22.29
Newtownhamilton,N08001033,3226,924,28.64
Quoile,N08001034,3344,658,19.68
Rostrevor,N08001035,3553,708,19.93
Saintfield,N08001036,3340,484,14.49
St. Patrick's,N08001037,3705,808,21.81
Strangford,N08001038,3518,634,18.02
Tollymore,N08001039,3262,652,19.99
Warrenpoint,N08001040,3796,979,25.79
Whitecross,N08001041,3105,663,21.35
Ballycrochan,N08001101,2611,396,15.17
Ballygowan,N08001102,3529,598,16.95
Ballygrainey,N08001103,4687,846,18.05
Ballyholme,N08001104,3222,408,12.66
Ballymagee,N08001105,3285,388,11.81
Ballywalter,N08001106,3816,926,24.27
