Geography,GeographyCode,Total,WorkFromHome,WorkFromHome_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,1536,333,21.68
Aldergrove,N08000102,2480,901,36.33
Antrim Centre,N08000103,1884,256,13.59
Ballyclare East,N08000104,1780,285,16.01
Ballyclare West,N08000105,1756,304,17.31
Ballyduff,N08000106,1177,192,16.31
Ballyhenry,N08000107,1300,294,22.62
Ballynure,N08000108,1744,414,23.74
Ballyrobert,N08000109,1894,420,22.18
Burnthill,N08000110,1590,306,19.25
Carnmoney,N08000111,1103,193,17.50
Carnmoney Hill,N08000112,1558,324,20.80
Clady,N08000113,1867,432,23.14
Collinbridge,N08000114,1436,322,22.42
Cranfield,N08000115,1384,259,18.71
Crumlin,N08000116,1623,286,17.62
Doagh,N08000117,1751,330,18.85
Fairview,N08000118,1372,223,16.25
Fountain Hill,N08000119,1556,274,17.61
Glebe (Antrim and Newtownabbey LGD),N08000120,1429,310,21.69
Glengormley,N08000121,1476,227,15.38
Greystone (Antrim and Newtownabbey LGD),N08000122,1138,132,11.60
Hightown,N08000123,1519,284,18.70
Jordanstown,N08000124,1613,474,29.39
Mallusk,N08000125,3285,821,24.99
Monkstown,N08000126,1598,258,16.15
Mossley,N08000127,1688,283,16.77
O'Neill,N08000128,1197,121,10.11
Parkgate,N08000129,1710,435,25.44
Randalstown,N08000130,1719,268,15.59
Rathcoole,N08000131,1236,116,9.39
Rostulla,N08000132,1680,528,31.43
Shilvodan,N08000133,1850,364,19.68
Springfarm,N08000134,2637,338,12.82
Steeple,N08000135,1552,131,8.44
Stiles,N08000136,1742,191,10.96
Templepatrick,N08000137,1543,405,26.25
Toome,N08000138,1860,377,20.27
Valley (Antrim and Newtownabbey LGD),N08000139,1393,213,15.29
Whitehouse,N08000140,1240,191,15.40
Aghagallon,N08000201,2439,516,21.16
Ballybay,N08000202,2149,189,8.79
Banbridge East,N08000203,2108,456,21.63
Banbridge North,N08000204,1858,350,18.84
Banbridge South,N08000205,2220,348,15.68
Banbridge West,N08000206,2289,240,10.48
Blackwatertown,N08000207,2496,493,19.75
Bleary,N08000208,2374,386,16.26
Brownlow,N08000209,2482,264,10.64
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,1937,210,10.84
Corcrain,N08000211,2108,189,8.97
Craigavon Centre,N08000212,3260,408,12.52
Demesne,N08000213,2399,348,14.51
