nameA,personA,yearsA,nameB,personB,yearsB,tokenOverlap,signal
J. J. O'Kane,106825,1973-1973,J. O'Kane,104018,1969-1969,1.0,"near-identical strings split across persons (formatting alias, not a name change)"
Dr Michael ffrench O'Carroll,109102,1951-1951,Michael ffrench-O'Carroll,103512,1954-1957,0.8,"near-identical strings split across persons (formatting alias, not a name change)"
Ulster Christian Democratic Party list,108579,1996-1996,Ulster Democratic Party list,100130,1996-1996,0.8,"near-identical strings split across persons (formatting alias, not a name change)"
Conor Cruise O'Brien,3541,1969-1973,Conor O'Brien,108914,2020-2020,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Denis J. O'Driscoll,109030,1943-1943,Denis O'Driscoll,109039,1948-1948,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Dr John O'Connell,109100,1973-1992,John O'Connell,101951,1954-1969,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
John Joe O'Leary,109683,1951-1951,John O'Leary,100024,1943-2024,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
John O'Shea,109730,1918-1918,John Paul O'Shea,101954,2016-2024,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick J. O'Shea,110358,1948-1948,Patrick O'Shea,102066,1927-1937,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Professor Robert James Johnstone,105568,1921-1921,Robert James Johnstone,104186,1929-1938,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick J. O'Brien,110357,1948-1948,Patrick O'Brien,100761,1933-1969,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
John L O'Sullivan,101163,1937-1973,John O'Sullivan,100093,1923-1969,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
John L. O'Sullivan,101163,1961-1961,John O'Sullivan,100093,1923-1969,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Seán A O'Leary,103675,1965-1973,Seán O'Leary,100031,1927-2024,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Seán Gearóid Ó Buachalla,110633,2013-2013,Seán O Buachalla,102110,2007-2016,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Dr Tom O'Higgins,100194,1932-1951,Tom O'Higgins,100105,1943-1973,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Tom G O'Donnell,100795,1961-1984,Tom O'Donnell,102144,1921-1923,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas J O'Connell,100792,1922-1932,Thomas O'Connell,110815,1937-1937,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas J. O'Reilly,110794,1927-1927,Thomas O'Reilly,100340,1927-2023,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas O'Reilly,100340,1927-2023,Thomas P O'Reilly,103738,1944-1948,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
James Chichester-Clark,103868,1962-1969,James Dawson Chichester-Clark,104017,1960-1960,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Julie-Anne Corr,104837,2014-2014,Julie-Anne Corr-Johnston,26382,2017-2023,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Kevin O'Shiel,103441,1918-1918,Kevin Roantree O'Shiel,103872,1921-1921,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
Pol Bainin O Foighil,112424,1997-1997,Pol O Foighil,110473,1992-1992,0.75,"near-identical strings split across persons (formatting alias, not a name change)"
