class,keep,drop,name,keep_years,drop_years
SAME-SEAT-SEQUENCE,100023,117989,Thomas McEllistrim,1923-1965,1969-1997
STRAY-INTO-CURATED,6976,121989,Martin McGuinness,1982-2016,2011-2011
SAME-SEAT-SEQUENCE,100040,119437,William Davin,1923-1954,1922-1922
SAME-SEAT-SEQUENCE,100025,118546,Sean Brady,1932-1965,1927-1927
STRAY-INTO-CURATED,78445,119400,Michael Kennedy,1927-1961,1927-1927
STRAY-INTO-CURATED,78445,121307,Michael Kennedy,1927-1961,1927-1927
SAME-SEAT-SEQUENCE,100042,120755,Donnchadh O Briain,1933-1965,1932-1932
FORUM-DUPLICATE,100074,117874,Alliance list,1996-1996,1996-1996
FORUM-DUPLICATE,100074,118119,Alliance list,1996-1996,1996-1996
FORUM-DUPLICATE,100074,119300,Alliance list,1996-1996,1996-1996
FORUM-DUPLICATE,100074,119301,Alliance list,1996-1996,1996-1996
FORUM-DUPLICATE,100084,118129,UUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100084,118130,UUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100084,118539,UUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100084,119331,UUP list,1996-1996,1996-1996
SAME-SEAT-SEQUENCE,100059,117730,Gerald Bartley,1932-1932,1933-1961
SAME-SEAT-SEQUENCE,100149,119403,Neil T Blaney,1951-1989,1992-1992
FORUM-DUPLICATE,100108,117879,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100108,117880,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100108,119309,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100108,119310,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100109,118530,Independent (Alan Chambers) list,1996-1996,1996-1996
FORUM-DUPLICATE,117881,118530,Independent (Alan Chambers) list,1996-1996,1996-1996
FORUM-DUPLICATE,118124,118530,Independent (Alan Chambers) list,1996-1996,1996-1996
FORUM-DUPLICATE,118530,119311,Independent (Alan Chambers) list,1996-1996,1996-1996
FORUM-DUPLICATE,100130,117886,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,117886,118131,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,117886,119333,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,117886,119334,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,117886,119335,Ulster Democratic Party list,1996-1996,1996-1996
SAME-SEAT-SEQUENCE,100095,117731,Patrick Beegan,1932-1932,1933-1957
FORUM-DUPLICATE,100157,117780,NI Women's Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100157,117872,NI Women's Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100157,119293,NI Women's Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100157,119294,NI Women's Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,118128,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,118538,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,119327,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,119328,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,119329,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,119330,UKUP list,1996-1996,1996-1996
STRAY-INTO-CURATED,46823,121860,Michael Murphy,1951-1973,1969-1969
SAME-SEAT-SEQUENCE,100316,119396,Michael F. Kitt,1948-1969,1973-1973
SAME-SEAT-SEQUENCE,103760,118792,Tom Welby,2004-2024,1991-1999
FORUM-DUPLICATE,100344,117782,DUP list,1996-1996,1996-1996
FORUM-DUPLICATE,117781,117782,DUP list,1996-1996,1996-1996
FORUM-DUPLICATE,117782,118121,DUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,117877,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,118122,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,118123,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,118529,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,119306,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100346,117783,Natural Law list,1996-1996,1996-1996
FORUM-DUPLICATE,117740,117783,Natural Law list,1996-1996,1996-1996
FORUM-DUPLICATE,117783,119318,Natural Law list,1996-1996,1996-1996
FORUM-DUPLICATE,117783,119319,Natural Law list,1996-1996,1996-1996
STRAY-INTO-CURATED,12211,119380,John Norris,1989-2005,1998-1998
