source_fgb,name,code,objectid,area_sqkm,shape_length,shape_area,minElev_m,maxElev_m,minElev_ft,maxElev_ft
PC1970.fgb,SOUTH DOWN,,2121,,,,-3.9,846.6,-13,2778
PC1970.fgb,ARMAGH,,2122,,,,-60,575.9,-197,1889
PC1970.fgb,SOUTH ANTRIM,,2101,,,,-0.9,474.3,-3,1556
PC1970.fgb,BELFAST WEST,,2103,,,,-2,335.7,-7,1101
PC1970.fgb,BELFAST NORTH,,2102,,,,-2.4,338.3,-8,1110
PC1970.fgb,BELFAST EAST,,2105,,,,-12.1,182.9,-40,600
PC1970.fgb,BELFAST SOUTH,,2104,,,,-4.1,146.4,-13,480
PC1970.fgb,NORTH DOWN,,2120,,,,-29.6,219.6,-97,720
PC1970.fgb,NORTH ANTRIM,,2100,,,,-1.5,549.2,-5,1802
PC1970.fgb,MID ULSTER,,2141,,,,-0.7,677.2,-2,2222
PC1970.fgb,LONDONDERRY,,2142,,,,-4.6,677.5,-15,2223
PC1970.fgb,FERMANAGH AND SOUTH TYRONE,,2140,,,,11,661.6,36,2171
PC1982.fgb,SOUTH DOWN,,2122,,,,-3.9,846.6,-13,2778
PC1982.fgb,NEWRY AND ARMAGH,,2123,,,,-60,575.9,-197,1889
PC1982.fgb,UPPER BANN,,2124,,,,-12.3,154.7,-40,508
PC1982.fgb,BELFAST WEST,,2104,,,,-2.4,474.3,-8,1556
PC1982.fgb,BELFAST NORTH,,2103,,,,0.2,374.3,1,1228
PC1982.fgb,BELFAST EAST,,2107,,,,-12.1,174.1,-40,571
PC1982.fgb,BELFAST SOUTH,,2106,,,,-4.1,53.3,-13,175
PC1982.fgb,LAGAN VALLEY,,2105,,,,4.7,324.2,15,1064
PC1982.fgb,STRANGFORD,,2120,,,,-29.6,213.9,-97,702
PC1982.fgb,NORTH DOWN,,2121,,,,-0.2,203.8,-1,669
PC1982.fgb,EAST ANTRIM,,2101,,,,-1.4,473.6,-5,1554
PC1982.fgb,NORTH ANTRIM,,2100,,,,-1.5,549.2,-5,1802
PC1982.fgb,SOUTH ANTRIM,,2102,,,,10.6,357.3,35,1172
PC1982.fgb,FOYLE,,2142,,,,-2.3,677.5,-8,2223
PC1982.fgb,EAST LONDONDERRY,,2142,,,,-4.6,627.2,-15,2058
PC1982.fgb,MID ULSTER,,2141,,,,0.6,677.2,2,2222
PC1982.fgb,FERMANAGH AND SOUTH TYRONE,,2140,,,,11,661.6,36,2171
PC1995.fgb,SOUTH DOWN,,2122,,,,-3.9,846.6,-13,2778
PC1995.fgb,NEWRY AND ARMAGH,,2123,,,,-60,575.9,-197,1889
PC1995.fgb,UPPER BANN,,2124,,,,-12.3,154.7,-40,508
PC1995.fgb,BELFAST NORTH,,2103,,,,-2.4,374.3,-8,1228
PC1995.fgb,BELFAST EAST,,2107,,,,-12.1,175.5,-40,576
PC1995.fgb,BELFAST SOUTH,,2106,,,,-4.1,146.7,-13,481
