id,body,year,date,article,box_title,candidates,civgraph_file,civgraph_match,status,recommended_title,recommended_url,recommended_archive_url,host,kind,basis,scope,check,verifying_source_count,cited_source_count,related_wikipedia
1896 Dublin Corporation election#1,RoI local,1896,,1896 Dublin Corporation election,"Arran Quay Ward Electorate: 1,063",2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#2,RoI local,1896,,1896 Dublin Corporation election,Fitzwilliam Ward Electorate: 676,3,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#3,RoI local,1896,,1896 Dublin Corporation election,Inns Quay Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#4,RoI local,1896,,1896 Dublin Corporation election,Mansion House Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#5,RoI local,1896,,1896 Dublin Corporation election,Merchants' Quay Ward,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#6,RoI local,1896,,1896 Dublin Corporation election,Mountjoy Ward Electorate:~800,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#7,RoI local,1896,,1896 Dublin Corporation election,North City Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#8,RoI local,1896,,1896 Dublin Corporation election,Rotunda Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#9,RoI local,1896,,1896 Dublin Corporation election,Royal Exchange Ward Electorate: 385,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#10,RoI local,1896,,1896 Dublin Corporation election,South City Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
